start	end	text
0	2000	Allo ?
2000	3000	Ouais !
3000	4000	Allo ?
4000	5000	Allo ?
5000	6000	Allo ?
6000	7000	Allo ?
7000	8000	Allo ?
8000	9000	Ouais ça va ?
9000	10000	Ouais ça va avec toi mec !
10000	11000	Super !
11000	12000	Ah tu fais quoi ce soir ?
12000	14000	J'sais pas si c'est CaptainWeb, y a une petite soirée.
14000	16000	Oh j'suis le CaptainWeb, j'peux venir !
16000	18000	Ouais j'peux venir si tu veux !
18000	20000	Et euh j'peux ramener des potes ?
20000	22000	Ouais mais alors euh pas plus les un ou deux, c'est un petit comité !
22000	24000	Ouais ouais t'inquiète t'inquiète !
30000	44000	7ème étal sans ascenseur
44000	48000	Et ça sent déjà la sueur
48000	52000	Sentiment d'effroi et d'horreur
52000	56000	La porte s'ouvre, on a peur !
56000	60000	Accueilli à l'alcool de poivre
60000	64000	Y a des fricots, des becs de foie
64000	68000	C'est le rendez-vous des connards
68000	71000	Et ça va mal finir ce soir !
71000	75000	Bienvenue à l'apéro !
75000	78000	L'apéro du Cap T
78000	82000	Bienvenue à l'apéro !
82000	86000	L'apéro du Cap T
86000	98000	Car réveillis s'est installé
98000	102000	Entre l'entrée et les WC
102000	106000	Y a des mecs vénérants VR
106000	110000	Qui ont vomis sur leur tempère
110000	112000	Y a de l'insertion dans le salon
112000	116000	Et des coulisses dans les coulisses
116000	120000	Et ben Marcel tu pètes un blond
120000	124000	Il s'est même noyé dans sa vie !
124000	128000	Bienvenue à l'apéro !
128000	130000	L'apéro du Cap T
130000	132000	Bienvenue à l'apéro !
132000	136000	L'apéro du Cap T
136000	138000	L'apéro du Cap T
148000	151000	5h du mal tout le monde est chaud !
152000	155000	Ils viennent de brancher leur micro !
156000	159000	Connecte-toi sur leur réseau !
160000	163000	Ça y est c'est l'heure de l'apéro !
163000	167000	Bienvenue à l'apéro !
167000	169000	L'apéro du Cap T
169000	173000	Bienvenue
173000	174500	À l'apéro !
175000	177000	L'apéro du Cap T
179000	181000	Bienvenue à l'apéro !
182000	185500	Bienvenue à l'apéro !
186000	190000	Bienvenue à l'apéro !
190000	200160	Bienvenue à l'apéro, l'apéro du caractère
200160	208180	Bienvenue à l'apéro, l'apéro du caractère
208180	214180	Eh oui, bienvenue à vous bande de connards et de connasses
214180	217400	Nous sommes enfin là en live après quelques petits problèmes techniques
217400	219620	Mais vous êtes 134 en live, 139 maintenant
219620	222700	Donc ça va, c'est que vous avez tous retrouvé votre petit chemin
222700	225440	Voilà, si l'image est dégueulasse, c'est la faute de SFR, sachez-le
225440	228680	Voilà, exactement, et de l'LTP un peu aussi parce que c'est toujours de sa faute
228680	229860	C'est souvent de sa faute
229860	235180	Donc ce soir, c'est l'épisode 19 de la saison 9, le podcast numéro 277, lundi 25 juin 2018
235180	236100	Et nous recevons ce soir
236100	237940	Putain la vache et tu fais l'horloge parlant juste après
237940	240700	Ouais, exactement, ce soir nous recevons Sylvain et Olivier
240700	241460	Ouais
241460	242660	Bonsoir
242660	247200	Ça va, vous n'êtes pas endormi après ces multiples génériques, ces problèmes techniques ?
