start	end	text
0	3440	Bonne t'en pouvait !
3440	8000	Bonne t'en pouvait !
8840	12000	Bonne t'en pouvait !
12000	14600	Bienvenue à Femme de la Movies !
14600	16460	Normalement on a mis le générique et tout.
16960	18760	On est bien, on est chez Urbain,
19060	20980	il y a un tout petit peu d'éco j'espère que vous l'avez pas vous.
21160	23020	Ah oui c'est vrai que dans cette pièce il y a un peu d'éco,
23160	24060	pourtant c'est un peu rempli.
24180	26720	Mais tu sais ce qu'il faut faire pour qu'il n'y ait plus d'éco ?
26720	28800	Il faut qu'il y ait 50 spectateurs chez toi !
28800	29640	Ah !
29640	32700	si je pouvais déjà en avoir dans ma salle
32700	34320	au 50 ce serait pas mal
34320	36580	étape par étape d'abord chez toi et après ils payent
36580	38440	est-ce que tu peux dire que ma télé est grosse
38440	40580	je sais pas où elle est
40580	42600	déjà ça part pas bien
42600	44380	ah si non franchement
44380	46580	on doit avoir à peu près le même format parce que t'es déjà venu chez moi
46580	48440	non non elle est bien
48440	50740	pour moi je fais zéro grossophobie
50740	52500	en termes d'écran c'est jamais trop gros
52500	54500	ah non mais justement par contre
54500	56460	pour les écrans c'est l'inverse
56460	58760	les écrans vont être gros c'est de la slimophobie que tu peux pas faire
58760	60800	genre si tu vois un tout petit écran
60800	62100	faut pas te dire aider à les petites ta télé
62100	63980	c'est ça qui vexait la télé
63980	66780	je le fais pas à des potes je vais pas commencer à le faire du matérialifié
66780	68040	ça existe d'ailleurs la mégrophobie
68040	70520	c'est vrai qu'on est un peu dur avec les gens trop mèles
70520	72340	il y a plein de gens qui se sont fait
72340	72980	toi par exemple
72980	74860	on s'est déjà moqué de toi
74860	78320	non mais puis moi j'étais obèse morbide ado
78320	79880	ouais t'aurais con que t'aurais les deux
79880	83200	on peut même te faire de la normalphobie
83200	84700	toi t'es normal toi
84700	87360	regarde tes poignets ils sont tellement normaux
87360	88220	moi j'ai pas les poignets normaux
88220	90360	non mais c'était un quelqu'un de général
90360	91880	tout ne se rapporte pas à toi Urban
91880	94640	ouais bah moi je suis quelqu'un qui prend les choses très à cœur
94640	97060	Terrifier 3
97060	97520	hum
97520	99500	quel délice
99500	102620	bon alors pour une fois on fait un film en salle
102620	104640	on fait un film qui est vraiment fucked up
104640	107040	on fait un film qui marche
107040	109920	qui marche et on est dans l'actu par rapport à une période
109920	112380	alors c'est pas encore sorti l'épisode
112380	114040	mais on va essayer de faire le moins de montage possible
114040	115980	bah oui moi je pense qu'on peut le sortir avant Halloween celui-là
115980	116740	ah non mais il faut
116740	117040	voilà
117040	118880	il faut non mais on va faire zéro montage
118880	120000	franchement on fait zéro montage
120000	120720	même si on dit
120720	124060	après s'il y a des propos un peu bizarres sur Himmler
124060	124840	peut-être on les coupe
124840	126380	mais logiquement ça devrait pas arriver
126380	127200	Himmler ça va je crois
127200	127660	c'est
127660	128120	Mengele ?
128120	130940	il s'est pas abusé qu'il s'appelle Himmler
130940	132440	c'était genre quasi comme Hitler
132440	133360	on dirait vraiment
133360	133900	tu sais
133900	134900	dans ISS
134900	136400	quand ils avaient pas les vrais noms quoi
136400	136980	c'est genre
136980	138420	non mais c'est genre
138420	139780	Bargio
139780	141400	Hitler et David David
141400	142400	pour qui tu te prends
142400	143160	parce que
143160	143620	mais oui mais
143620	144520	t'es un nazi
144520	145620	t'essaies d'être un des nœuds
145620	147000	t'es dans le top 5 nazi
147000	148520	et t'es presque moi
148520	149140	c'est un hommage
149140	150080	c'est un hommage
150080	151500	c'est un hommage
151500	152620	alors que Goebbels
152620	154440	vraiment rien à voir
154440	156160	et en vrai c'est lui qui a beaucoup aidé
156160	158200	et depuis personne n'a trouvé
158200	160360	il n'y a rien qui ressemblait à Goebbels
160360	161320	Goebbels non
161320	161800	il y a
161800	162680	si il y a les gobo
162680	164340	les gobo
164340	165540	qui est une sorte de
165540	167100	d'hommage aux Transformers
167100	167980	ah oui
167980	169260	qui était déjà des faux
169260	169840	comme Himmler
169840	170140	des faux
170140	170420	bah ouais
170420	171440	tout se recoupe
171440	172460	c'est très bien
172460	173860	alors on connait plein de termes
173860	174860	et de personnalités
174860	176100	qui se rapportent au nazisme
176100	177240	par rapport à l'histoire
177240	177860	ça n'a rien à voir
177860	178540	avec une fascination
178540	179340	en tout cas je parle pour moi
179340	180340	en vrai moi j'en connais pas beaucoup
180340	180940	si tu veux on joue
180940	181780	si t'es un nazi
181780	182640	jusqu'à ce que t'en n'es plus
182640	183240	Hitler
183240	184380	Himmler
184380	185620	Goebbels
185620	186440	Mengele
186440	188040	Eva Braun
188040	190360	elle est pas vraiment nazie
190360	192000	elle est nazie par alliance
192000	193520	c'est comme un cousin
193520	194140	bah attends
194140	194600	mais attends
194600	194980	attends
194980	195740	mais c'est pas parce que
195740	196320	tu suscites l'air
196320	197020	que tu deviens nazi
197020	199440	ça se transmet pas par le sperme
199440	200780	ça se transmet par le
200780	201820	t'es une salope
201820	202660	qui suscite l'air
202660	202880	tu
202880	203380	tu
203380	204580	non alors
204580	205220	t'es complice
205220	205880	je suis pas d'accord
205880	206660	t'es complice
206660	207180	alors attends
207180	207640	regarde
207640	209060	non mais fallait pas raser la tête
209060	209660	à toutes les femmes
209660	210440	qui ont couché avec les allemands
210440	210860	j'y arrive
210860	211280	voilà
211280	211940	et bah voilà
211940	212660	mais oui mais là
212660	213640	c'est l'allemand ultime
213640	214720	c'est l'allemand
214720	216460	l'allemand qui les gouverne tous
216460	218840	c'est sauron Hitler
218840	219320	attends
219320	220680	Eva Braun t'aurait dit rien
220680	221860	non mais je la mets pas
221860	223040	dans la catégorie nazi
223040	223960	t'aurais fait une enquête
223960	224460	et t'aurais dit
224460	225660	bah elle est pas complice
225660	226340	non mais pour moi
226340	226720	c'est comme un cousin
226720	227720	c'est la meuf d'Hitler
227720	228740	bah ouais mais c'est cousin
228740	229380	par alliance
229380	230540	nazi par alliance
230540	231480	c'est pas la même chose
231480	232680	peut-être elle savait pas
232680	233800	peut-être qu'elle était là
233800	234440	qu'est-ce tu fais
234440	235860	quand tu pars le matin
235860	237240	c'est vrai que les hommes
237240	238400	parlent rarement de leur boulot
238400	238680	t'as vu
238680	239180	ouais
239180	240120	mais elle était dans le bunker
240120	240500	à la fin
240500	241120	elle s'est bien doutée
241120	241800	qu'il y avait un truc
241800	242960	mais peut-être qu'il lui a dit
242960	244360	qu'il y avait des radiations dehors
244360	245400	et que c'est tout
245400	246060	il fallait se cacher
246060	247140	et après elle allumait le gaz
247140	248320	une dernière fois malheureusement
248320	249020	peut-être qu'il lui a fait
249020	249840	une goodbye Lenin
249840	251680	elle a changé tout
251680	252660	non non c'est pas les nazis
252660	253500	elle pourrait pas accepter
253500	254420	que ce soit les nazis
254420	256240	bon bah donc
256240	257220	à part ces propos là
257220	258040	normalement ça devrait aller
258040	258500	franchement ouais
258500	259820	on vient vous parler
259820	261480	bizarrement du film de clown
261480	262700	qui marche le plus
262700	264300	de ce mois d'octobre 2024
264300	265040	est-ce qu'il y avait
265040	265920	une seule chance
265920	267280	que ce soit le film de clown
267280	267860	qui marche mieux
267860	268680	que l'autre film de clown
268680	270280	c'est ce qui se passe
270280	271260	me fait un peu penser
271260	272100	que je suis peut-être
272100	272460	dans le coma
272460	273080	et que j'imagine
273080	274460	tout ce qui est en train d'arriver
274460	275260	toi tu kiffes là
275260	276360	surtout que t'as tes potes
276360	276920	de Shadows
276920	278200	qui sont un peu à la
278200	278540	ouais
278540	279420	à la distrib
279420	280200	enfin en tout cas
280200	281080	ils ont participé
281080	282860	au projet pour la sortie
282860	283500	on leur fait de la pub
283500	284580	jusqu'à ce qu'ils nous sponsorisent
284580	285160	mais on le fera quand même
285160	285740	avec plaisir
285740	287320	Shadows est à 4,99
287320	287980	ouais
287980	289280	et il y a même ce mois-ci
289280	289960	ils sont à 1 euro
289960	290580	voilà
290580	291440	s'il y a un code
291440	292340	je crois qu'il faut donner un code
292340	293040	mais nous on en a pas
293040	293840	parce qu'on en a pas donné
293840	294420	mais par contre
294420	295440	si vous allez sur le site
295440	296020	il doit en avoir
296020	296620	alors franchement
296620	297620	1 euro c'est comme si
297620	298200	c'était un code
298200	299180	je sais que sur la chaîne
299180	300460	de Haz l'épouvantail
300460	301200	double pub
301200	302680	et bien lui
302680	303300	il donne un code
303300	303960	pour 1 euro
303960	304540	par mois
304540	305020	mais j'ai déjà fait
305020	305520	des podcasts
305520	306320	chez eux moi
306320	307160	et je crois qu'il était là
307160	307420	d'ailleurs
307420	308680	c'est un gars
308680	310180	qui est un accent belge
310180	310780	ouais bah c'est lui
310780	311620	j'en ai fait un avec lui
311620	313100	on parlait de Maxine
313100	313400	peut-être
313400	313840	je sais plus
