start	end	text
0	1780	Bonjour et bonsoir c'est encore nous
1780	3420	C'est pardon je vais péter mais c'est fou
3420	4980	On est en plein été là j'ai l'impression
4980	7100	Et on vous met quand même du bonus c'est incroyable
7100	8720	Il y a du rap on vous en met quand même
8720	11900	On se retrouve cette semaine avec Moon et Silly Boy Blue
11900	13340	Deux épisodes où on parle un peu
13340	15440	Metal et cinéma de genre donc si vous aimez un peu
15440	17060	Croquer cela n'hésitez pas
17060	19500	Je vous fais des bisous, laissez des bonnes notes sur vos applis de podcast
19500	20380	Et à ce moment
30000	38540	Et d'ailleurs petite info factuelle
38540	40620	On a je crois que c'est cette semaine
40620	42840	Où il y a dix jours on a pour la première fois
42840	44920	Assisté à la
44920	46620	Megabaisse de Baleine
46620	47220	En vidéo
47220	48640	Je rigolais parce que je pensais à autre chose
48640	51000	Comment tu fais ?
55000	58000	Waouh
58000	61540	Non mais donc premier rapport filmé
61540	63940	Rapport homosexuel entre deux baleines
63940	65460	Alors on rappelle qu'on est toujours sur part
65460	66860	Donc j'ai pété mon apierre là-bas
66860	67700	Le premier
67700	69920	C'est la première fois qu'on a réussi à
69920	71240	Comment c'est quoi le mot ?
71240	72000	A retranscrire
72000	72740	Enfin à
72740	73460	Un porno
73460	74180	Un porno baleine
74180	75060	A filmer ça
75060	76280	Les scientifiques ont filmé
76280	77480	Le mating
77480	78580	Je sais pas comment dire en français
78580	79860	Je suis genre d'accouplement
79860	80460	Accouplement
80460	81480	Et voilà donc
81480	82480	Deux baleines mâles
82480	83840	Qui ont copulé
83840	84540	Et c'est la première fois
84540	85540	Je crois que c'était il y a dix jours
85540	86320	Que la news est tombée
86320	87700	Ah gay en plus
87700	88640	Oui ?
88640	89560	Bah ouais
89560	91680	C'est genre
91680	94120	Deux mâles
94120	95160	C'est parce que vous voyez pas
95160	96760	A quel point c'est énorme
96760	97960	Pour le comité scientifique
97960	99440	Mais en tant que grand fan de balètes
99440	102160	C'est un peu le Moby Dick
102160	104920	De la recherche
104920	105740	Moby Dick Dick
105740	107080	Bah oui Moby Dick Dick
107080	110560	C'est ouf
110560	111560	C'est trop cool
111560	112200	Non mais
112200	113120	Bravo
113120	113780	C'est énorme
113780	114660	Bravo mes puces
114660	116060	Ils ont fait comment ?
116060	117120	Ah bah ça j'ai pas vu la vidéo
117120	119020	Tira sur VK
119020	120000	T'appelles ça ?
120000	121900	Une levrette de baleines ?
121900	122540	Bah je sais pas
122540	123240	Moi j'en sais rien
123240	124380	Tu vois c'est toujours
124380	125180	Encore t'as des trucs
125180	126520	Très normés sur le sexe
126520	127380	Je pense qu'il y a plein d'autres choses
127380	129200	Putain merci d'être normé
129200	130340	Quand tu me parles de sexe
130340	131200	De baleines quoi
131200	132520	J'en sais rien
132520	133620	J'ai vraiment zéro nom
133620	134940	J'ai même pas oué le trou
134940	135840	Après horrible
135840	136980	Je crois que cette année
136980	138460	C'était la première fois
138460	140440	On a 30 baleines sont mortes de faim
140440	141500	Et de soif
141500	142080	Voilà
142080	143480	J'ai eu plein de facts sur les baleines
143480	144140	Voilà
144140	145400	Tu sais que
145400	146860	La plupart des baleines
146860	148760	Meurent en se noyant
148760	149940	Horrible
149940	150960	Mais en même temps attends
150960	151420	C'est vrai
151420	152360	Bah je te crois
152360	153500	Elles deviennent tellement vieilles
153500	155020	Que du coup elles partent trop loin
155020	156920	Et puis t'as vu qu'elles doivent respirer assez souvent
156920	158020	Bah elles se sont trop loin
158020	158740	De la surface
158740	159680	Et elles se noient
159680	161160	Des fois aussi c'est parce que
161160	161940	C'est un truc de ouf
161940	163440	Tu sais quand elles ont environ 1 ou 2 ans
163440	165240	Des fois elles ont des maladies sur les fans
165240	166340	Et il y a les
166340	167640	Les vieilles baleines
167640	168560	Qui les prennent
168560	170640	Qui les étouffent doucement
170640	172860	C'est un running gag
172860	174420	Que personne n'aura à part nous trois
174420	175900	J'adore cette histoire
175900	178040	Tu sais c'est un traumatisme pour Ava
178040	179280	C'est un peu un traumatisme
179280	179760	Mais ouais
179760	183420	Non mais j'avoue
183420	184860	Grosse plongée de baleines
184860	185120	Elle se dit
185120	185700	Oh là là
185700	186760	J'ai oublié de remonter
186760	187980	Et pas c'est triste
187980	189540	Je crois qu'elles deviennent séniles quoi
189540	191200	C'est le lion
191200	192840	Je suppose que la sortie est vers là-bas
192840	193620	Elles oublient
193620	194440	Elle est dans le mauvais
194440	195400	Non je trouve ça ouf
195400	197320	Elles sont incapables de voir aussi
197320	198220	D'imaginer que
198220	199900	Genre il y a autre chose
199900	201500	De l'oxygène en bas
201500	202400	Tellement
202400	203920	C'est toi qui ramène des docu-animés
203920	204300	A chaque fois
204300	205580	Et là je t'ai volé ton rôle
205580	206740	Non mais il n'y a pas de problème
206740	208000	J'en ai vu beaucoup sur les baleines
208000	208820	Mais je n'ai jamais vu ça
208820	210080	Non et puis cette vidéo du pingouin
210080	210880	Qui part tout seul
210880	211880	Je l'y pense beaucoup
211880	213820	C'est un peu un Roman Empire
213820	215020	C'est quoi ?
215020	215680	T'as une vidéo
215680	217500	Où t'as la meute de pingouin
217500	218320	Et t'as le gars qui dit
218320	219020	Ouais je vous suis plus
219020	219780	Et il dit
219780	221240	Bah ouais je vais me suicider tout seul
221240	222220	Et t'as vraiment le petit pingouin
222220	222620	Qui part
222620	224000	Comme ça
224000	225600	Et t'as la voix de Athenboro
225600	226020	Ou je sais pas quoi
226020	226600	Qui dit bon bah
226600	227600	America
227600	228740	Is lucky
228740	230400	Non mais il se barre tout seul
230400	230940	Et tu sais très bien
230940	231680	Que c'est la mort pour lui
231680	232380	Mais il dit bah ouais
232380	233020	Ciao les potes
233020	233600	Vous allez saouler
233600	233980	Je sais pas quoi
233980	235380	Il veut se suicider
235380	236180	Et cette vidéo
236180	237640	Me rend triste
237640	239560	Attends je crois qu'il y a un setup à ça
239560	240500	Putain mais il sent pas
240500	240920	C'est des trucs
240920	242480	Non mais je crois qu'il y a un bail
242480	243460	Tu sais les pingouins
243460	245380	Pour définir que je veux
245380	246140	M'accouper avec toi
246140	247220	C'est dans rencontre
247220	248460	Je te donne une petite pierre
248460	249420	Non mais ça y a même un galet
249420	250140	Le galet
250140	250760	Ça c'est ouais
250760	251800	Je me demande s'il y a pas
251800	253100	Le truc qui n'a pas de galet frérot
253100	253960	Il n'est pas misquasse
253960	255380	Non mais c'est pas dans rencontre
255380	257180	Putain
257180	258240	C'est pas dans la marche de l'empereur
258240	259580	Non c'est dans le Werner Herzog
259580	260240	Qui se passe
260240	260820	Oui ça c'est ça
260820	262200	Ok je l'ai vu
262200	262540	Ouais
262540	263460	Super de cul
263460	264020	Oh là là
264020	265580	Ces rencontres aux confins de la terre
265580	266060	En tout comme ça
266060	266600	Je sais plus
266600	267680	Mais il revient
267680	268620	Ah il revient
268620	269200	Ouais ouais
269200	270280	Oh bah faut me dire ça
270280	271400	Mais t'es du contexte les gars
271400	272380	Non mais je crois qu'il revient ouais
272380	273640	Mais par contre le docu est assez ouf
273640	274940	Parce qu'il n'y a pas trop d'animaux
274940	275200	Au final
275200	275940	Ils filment
275940	277520	Une base scientifique
277520	279140	Arctique ou Antarctique
279140	279640	Je sais plus jamais
279640	280640	Pôle Sud
280640	281980	En T
281980	282320	Bref
282320	283140	Et ils sont
283140	284280	En fait ils vivent ensemble
284280	285460	Dans un endroit où tu peux pas sortir
285460	286240	Parce qu'il fait trop froid
286240	287340	Et c'est que des scientifiques
287340	288060	Ils sont tous fous
288060	288600	Ok
288600	290520	Tu vois qu'ils sont tous un peu tarés
290520	291320	Zenzolins quoi
291320	292300	Zenzolins total
292300	292920	Ok
292920	293980	Très bon docu
293980	294700	Bah petit recoupe
294700	296360	Mais l'épisode avec Marie
296360	298560	Il est très cool
298560	299380	C'est vrai que c'est trop marrant
299380	300740	De voir les différences des yeux
300740	302080	Entre Rémi qui dit
302080	302740	Oh je sais pas
302740	303580	J'étais triste
303580	304860	Et les yeux qui dit
304860	306060	Oh c'était trop bien l'épisode
306060	306460	Ouais
306460	307960	Non mais l'épisode il était cool
307960	308160	Mais
308160	309380	It was fucking
309380	310560	You know it was sad
310560	312900	Bah ouais mais ça fait du bien aussi des fois
312900	313540	J'étais pas triste
313540	314400	En fait j'étais juste
314400	316060	Ça venait après
316060	317640	J'en ai vraiment ralculé
317640	318600	Je crois que j'en ai marrant
318600	319260	Pas des podcasts
319260	320260	Bah t'es dans un mood
320260	321620	Sauf le nôtre qui est vraiment incroyable
321620	322380	Mais ça c'est peut-être
322380	323560	Dans le top de
323560	324980	Et c'est marrant le truc
324980	325420	Très bon
325420	327300	Très bon pré-shot là
327300	329300	Le truc de la voix intérieure
329300	330080	C'est un truc que
330080	331400	Je découvre cette semaine
331400	332200	Ouais tu vois
332200	332960	Non mais
332960	333820	Ça c'est fou ça
333820	334360	Non alors
334360	335580	On a déjà eu masse
335580	337160	La conversation avec des potes
337160	337520	En mode
337520	338340	Ceux qu'on ont
338340	338920	Ceux qu'on n'ont pas
338920	340340	Ce que je découvre cette semaine
340340	341860	C'est la puissance
341860	343340	De choisir la voix
343340	343860	Qui te parle
343860	345180	C'est à dire que moi
345180	346120	Quand
346120	348040	De manière générale
348040	349120	Je me parle comme une merde
349120	350480	Ouais
350480	351260	Non mais
351260	352180	Voilà
352180	353140	Et
353140	354180	Par contre
354180	355100	Avec quel accent
355100	357600	C'est la suite qui va te faire rire
357600	359260	Ce week-end
359260	360000	J'ai regardé Speedon
360000	360660	Ouais
360660	362340	Et depuis lundi
362340	363160	Je me parle
363160	364300	Comme si je commentais
364300	365400	Un speedrun de ma vie
365400	365480	Ok
365480	366660	Et ben
366660	367860	Je me sens vachement mieux
367860	369260	Mais de ouf
369260	371180	On parle de la voix intérieure
371180	371400	Encore
371400	371680	Ça nous
371680	372120	Matrix
372120	373260	Et
373260	374360	Et c'est fou
374360	375180	D'avoir
375180	377060	Genre
377060	378360	Ma voix dans la tête
378360	379480	Qui dit des trucs positifs
379480	379800	En mode
379800	380820	Là ça marche pas
380820	381380	Mais c'est pas grave
381380	382300	On va prendre la route B
382300	383140	Enfin vraiment
383140	384780	C'est
384780	386660	Le pouvoir de la voix intérieure
386660	387920	C'est trop intéressant aussi
387920	389660	Ça rebondit sur quelque chose
389660	390200	Que j'ai découvert
390200	390840	Vous voulez pas faire pipi
390840	392440	Non mais en fait
392440	393120	C'est tout ça fou
393120	394040	J'ai envie de vraiment
394040	395120	De te regarder un truc dessus
395120	395860	Alors attendez
395860	397060	Est-ce que
397060	397940	Est-ce que
397940	398460	Certes
398460	399840	On partage la même passion
399840	400520	Après je sais pas si
400520	401660	On va peut-être pas le garder
401660	401960	Mais
403260	403880	Sur TikTok
403880	405380	Nous on regarde beaucoup
405380	406980	Quoi ?
406980	407380	Frère
407380	408140	Il faut en parler
408140	408940	Enfin je sais pas
408940	409540	Moi ça me pense
409540	410600	Enfin des personnes
410600	411180	Tu sais qui ont des
411180	411900	TDI
411900	412680	TDI là
412680	413540	Tu connais ?
413540	414820	Troubles dissociatifs
414820	416040	De l'identité
416040	416280	Ouais
416280	417320	Tu connais ?
417320	417580	Ouais
417580	417900	Ok
417900	418880	Parce que du coup
418880	419520	Est-ce que ça peut pas être
419520	420340	Une espèce de version
420340	420900	Je dois me dire
420900	423260	Pourquoi ça va venir où là ?
423260	423700	On va pas
423700	424900	Pourquoi on parle de ça ?
424900	426720	Tu veux dire que le dialogue
426720	427800	Non il n'y a rien de
427800	428700	Non non non
428700	429040	Du coup
429040	430840	Tu vois d'avoir des dialogues intérieurs
430840	432200	C'est une version peut-être
432200	433820	À l'opposé d'un avoir zéro
433820	435320	Un expression
435320	437820	C'est un truc où t'as littéralement
437820	439900	Une chorale dans la tête quoi
439900	441940	Une chorale dans le sens
441940	442520	Ça peut être une expression
442520	443500	Parce que moi la chorale
443500	444580	J'ai toutes les voix
444580	446880	Toi tu te parles comme ça dans la tête ?
446880	447200	Je peux
447200	448720	Ah oui mais complètement
448720	449200	Enfin même
449200	450180	Toi tu te parles comment dans ta tête ?
450180	450660	Dans les livres
450660	451720	Chacun a une voix différente
