start	end	text
1000	5800	Putain Rémi, je suis frustré, j'ai envie de rencontrer notre auditorat.
6020	12740	Je comprends, si seulement on avait un endroit qui pourrait revenir, un endroit où il aurait de la mécanique et aussi de l'ondulation.
13240	16180	Attends, tu parles de la mécanique ondulatoire près de Bastille à Paris ?
16180	18020	Mon dieu, c'est une idée brillante Pierre !
18020	19300	Mais quand est-ce qu'on pourrait se retrouver ?
19300	22120	Je sais pas, quelque chose ou ces deux chiffres. Le 22 septembre !
22120	24520	22 septembre, mais genre à 21h ?
24520	26780	Ouais, 21h ça me semble absolument parfait !
26780	29180	Pour enregistrer un pardon GPT en live...
29180	29980	En live !
29980	30780	En public !
30780	33020	Oui, je suis devenu Jeff Panaclock !
33020	34080	Avec vous !
34080	34900	Avec vous !
34900	41600	Et pour cela, n'hésitez pas à nous envoyer votre réservation sur le compte Pardon GPT sur Instagram.
42240	49180	Ouais, ça sera juste après le dernier Comedy Club avant la fin du monde, avec du stand-up, ensuite Pardon GPT en live, et ensuite quoi ?
49180	53720	Bah ensuite c'est encore un bar, donc ensuite on va pouvoir rester dans le bar et boire des bières !
53720	59960	Alors n'hésitez pas à nous rejoindre le 22 septembre à la mécanique ondulatoire pour Pardon GPT live !
59960	60760	Et un flipper !
60760	61160	Et un flipper !
61160	61260	Et un flipper !
61260	62060	Et un flipper !
62060	62560	Et un flipper !
62560	64060	Et un flipper !
