start	end	text
0	4000	Le 22 septembre à la mécanique conduatoire, on a fait ça !
30000	31440	Avec vous !
31440	32220	Bonjour, bonsoir.
32420	32780	Bonsoir.
33060	34160	Comment t'appelles-tu ?
34160	35200	Moi je m'appelle Thibaut.
35400	37280	T'as regardé sur la feuille ?
37280	39260	Vos idées !
39260	40820	Qu'as-tu à nous proposer Marine ?
40820	43180	Moi je vous propose de construire un gratte-ciel à mains nues.
43420	43940	Ah putain.
44040	44360	C'est tout.
44460	45420	Des hot takes !
45420	47940	Ça me réveille la nuit, je vous jure !
47940	52400	Personne quoi, personne, personne saute dessus, c'est là devant tout le monde à chaque fois.
52880	55940	Oh là là, ils ont pas d'argent ? Oui parce qu'ils sont pas chers !
55940	57820	Ça me rend fou quoi !
57820	59880	Et les aléas du direct !
59880	61700	Ah merde, j'ai pas rec !
61700	64140	Ah putain ! Je crois que j'ai pas rec non plus là-bas !
64140	65640	Ah ouais, merde, on a pas lancé ça !
65640	66580	Vas-y attends, on lance les vidéos !
66580	67540	Des professionnels !
67540	69860	Ouais, au moins j'ai pleuré, ça bosse hein putain !
69860	75580	Alors si vous voulez participer au prochain enregistrement, rendez-vous le 6 octobre et toujours à la Mecca !
75580	77800	Réservation en DM sur Insta !
77800	80840	Miam, miam, miam, miam !
80840	84720	Miam, miam, miam !
