start	end	text
0	1800	pas trop fort, pas trop dans le micro
1800	3740	attention tu te calmes déjà
3740	5200	ça devrait être bon
5200	8180	écoute tu sais quoi à chaque fois on commence le podcast
8180	9800	et puis je t'engueule
9800	11740	moi je t'avoue que j'ai un peu fait le tour
11740	13800	de toute cette histoire d'engueulade
13800	15440	voilà parce que qu'est-ce que je vais dire
15440	17340	t'es con, t'es moche, tu pues
17340	19360	t'as commencé par Toto, Clément
19360	20580	est-tu une putain de grosse merde
20580	22460	je t'avoue que moi ma famille écoute
22460	24420	donc c'était trop
24420	27740	bon et puis de toute façon je me dis les gens savent que t'es con
27740	28920	ah non mais moi c'est simple
28920	31220	ma seule remarque c'est
31220	33060	les gens savent que
33060	34380	nous ne sommes pas amis
34380	37860	donc tu peux dire, tu peux y aller, t'es qu'une merde
37860	39240	d'accord, vas-y
39240	41000	écoute je dis rien, c'est mieux, générique
41000	43060	générique je pense que c'est peut-être mieux
43060	45200	3, 4, plutôt
45200	46940	plutôt ghostique ouais
46940	49400	plutôt, plutôt ghostique
49400	51180	je suis gentil, il est méchant, on est
51180	52720	plutôt ghostique ouais
52720	54800	ah t'avais bossé toi, j'ai tenté une quinte mais ça n'a pas marché
54800	56900	c'est pas mal, les gens me demandent souvent
56900	59060	parce que les gens me parlent du podcast dans la rue
59060	59800	je marche dans la rue
59800	60780	hé podcast
60780	62620	j'ai dit hé je m'appelle pas podcast mon pote
62620	63080	excellent
63080	64980	et ils me disent qui est le gentil, qui est le méchant finalement
64980	67300	alors la première fois que je l'ai chanté
67300	68400	c'était moi le gentil, toi le méchant
68400	69920	j'ai dit je suis gentil, il est méchant
69920	70700	oui mais maintenant on dit
70700	71680	en même temps maintenant on le dit tous les deux
71680	72020	voilà
72020	73180	c'est peut-être aux gens de le décider
73180	73980	peut-être que ça change
73980	75200	même si à mon avis ils le savent
75200	76960	oui à mon avis ils le savent
76960	78740	moi aussi je le sais
78740	80120	à mon avis
80120	80720	ouais
80720	82200	ils le savent ouais
82200	82700	ouais ouais
82700	83340	ouais
83340	83980	c'est bien clair
83980	84460	ouais
84460	85180	c'est bien clair
85180	85580	ouais
85580	87100	alors épisode 4
87100	87860	épisode 4
87860	89560	déjà direct
89560	92060	déjà merci à tous les gens qui commentent
92060	92700	qui nous aiment
92700	94400	on a atteint les 100 personnes sur Facebook
94400	95020	tout à fait
95020	95760	100 likes
95760	96700	c'est énorme
96700	98460	merci tout ça
98460	100320	pour les gens des petits nouveaux
100320	101200	parce qu'il va y avoir des petits nouveaux
101200	102180	parce qu'il y a toujours des petits nouveaux
102180	102460	on sera partout
102460	103860	le podcast c'est pas compliqué
103860	104540	Clément et moi
104540	105080	on arrive
105080	106400	on prépare 3-4 sujets
106400	107140	desquels on veut parler
107140	107900	l'autre ne le sait pas
107900	108420	ne le sait pas
108420	109180	de quoi va-t-il parler
109180	109820	et ne le sait pas
109820	111100	on se surprend
111100	112040	on parle
112040	114720	la discussion va où elle va
114720	116580	vous savez
116580	117740	l'important dans la vie
117740	118760	est-ce que c'est pas de
118760	119920	et là c'est à toi Clément
119920	120460	improviser
120460	121580	oui voilà
121580	122440	c'est pas ce que je voulais dire
122440	123620	c'est marrant
123620	124400	on termine nos phrases
124400	124620	tu vois
124620	125320	on se complète un peu
125320	125700	ouais ouais
125700	126060	c'est marrant
126060	126660	parce que moi je pensais
126660	127700	que t'allais terminer bien
127700	128140	ouais
128140	129120	de improviser
129120	129820	c'est vrai que ça faisait bizarre
129820	130460	bon je t'en prie
130460	131260	allez ça fait encore une fois
131260	132180	deux semaines qu'on s'est pas vu
132180	133520	tu étais en voyage
133520	134440	aux îles Ferroé je crois
134440	134720	c'est vrai
134720	135340	exactement
135340	137000	j'étais l'autre bout
137000	138380	pas l'autre bout du monde
138380	139380	mais ça ressemblait quand même
139380	139780	pas mal
139780	141220	on était un peu isolés
141220	142480	et du coup on a encore
142480	143060	plein de choses à dire
143060	143820	parce que
143820	145120	parce que j'ai raté
145120	145640	pas mal de choses
145640	146340	t'as surtout raté
146340	147380	mon changement de sexe
147380	147820	ah
