start	end	text
0	1860	Waouh !
1860	2620	Ça va Clément ?
2620	6020	Tu sais combien on a fait des coups à la dernière fois ?
6020	6560	Aucune idée.
7020	9040	Un million ?
9040	9360	Bah non.
10740	12860	Effectivement non, parce que ça marche pas.
13480	15620	Est-ce qu'on le fait pour que ça marche ?
15620	16220	Moi oui.
16660	19960	T'as besoin de ça pour vivre un peu mieux peut-être ?
19960	20940	J'attendais des femmes,
21180	22860	j'attendais de l'amour, j'attendais de la drogue,
22960	23460	j'ai rien eu.
24800	26240	Sache que je rejette
26240	28540	toute la faute
28540	30400	de l'échec de ce podcast.
30640	31440	Tout.
32740	34840	Et j'ai fait tomber à le coup le pas.
35200	35640	Dis pourquoi.
35640	37000	Sur moi ?
37000	37600	C'est de ta faute.
38360	40900	Alors, je pense que...
40900	42580	Pourquoi ce serait de ma faute ?
42580	45420	Peut-être parce que j'ai pas assez amené de mystères.
45560	47160	Les gens voulaient des gens qui disparaissent,
47280	48340	pourquoi les forêts n'existent pas.
48340	50420	Et ça fait trois épisodes que j'ai arrêté.
50500	51540	Mais un truc me t'a rodé.
51840	54220	Est-ce que tu penses pas que le fait que t'es très con,
54880	56140	c'est un petit peu...
56140	57800	Mais ça tu vois, tu l'as déjà abordé au début,
57800	58480	je suis très con,
58820	60720	tu l'as répété à plusieurs reprises,
60820	61800	je suis très bien aussi.
62140	64060	C'est vrai, tu te l'as dit moche comme un cul,
64260	64820	je cite.
65060	65420	Effectivement.
66780	67540	Et je me disais,
67620	69300	ben non, podcast, audio,
69520	70860	les gens s'en foutent de mon visage.
71260	73280	Donc peut-être le fait que t'es stupide.
73380	74760	Je pense que s'il y a un truc,
75180	77900	je pense peut-être on devrait plutôt partir
77900	80640	sur une alchimie qui ne se crée pas.
80880	80960	Voilà.
81740	82020	Peut-être.
82100	83380	Tu vois, peut-être que tu ne m'inspires pas,
83560	84600	peut-être que je ne t'inspire pas,
84700	85960	peut-être que tu sais,
85960	87220	dans un couple, au bout d'un moment,
87600	88220	tu le sens très vite.
88500	89260	Oui, mais comment ça se fait
89260	90340	qu'on, même dès le début,
90440	91680	ça soit mal passé ?
91680	92260	Oui, non, mais c'est ça.
92480	93280	On est comme un couple
93280	94640	qui se serait pécho sous,
95060	96240	par dépit en fin de soirée
96240	97200	parce que tout le monde est parti,
97320	98000	il ne reste que nous deux.
98760	100200	Ou on est un couple à l'envers.
100680	101240	C'est-à-dire qu'on est
101240	102240	Benjamin Button du couple.
102360	102700	C'est-à-dire que là,
102700	103820	on a tous les moments de merde,
103980	104540	sans sexe,
104600	105280	où on se déteste.
105500	106220	Mais peut-être,
106300	107840	si on continue le podcast 40 ans,
108320	108600	ça va se...
108600	109360	Ah, ça pourrait être pas mal.
109720	109940	OK.
109940	110940	Bon, alors on va faire ce qu'on est
110940	111440	dans 40 ans.
111480	113600	On va finir sur les chapeaux de...
113600	114320	Alors, écoutez,
114420	114900	ce qu'il faut faire,
114960	115840	si vous n'aimez pas le podcast,
116000	117000	écouter pendant 40 ans
117000	117360	et normalement,
117380	117740	ça va être bien.
117780	118340	Voilà, c'est ça.
118600	120060	3, 2, 1, générique.
120720	121120	Plutôt,
121600	122520	plutôt caustique.
122660	122840	Ouais.
123600	123920	Plutôt,
124080	125380	plutôt caustique.
125500	126160	Je suis gentil,
126280	126860	il est méchant,
126960	128300	on est plutôt caustique.
129520	130720	Plutôt caustique.
132120	133840	Plutôt caustique.
137440	138040	Bonsoir.
138740	139100	Bonsoir,
139100	139660	urbain.
139800	140580	Nous enregistrons
140580	141360	toujours le soir.
141740	142280	Nous, c'est le soir.
142600	143440	Voilà, on n'est pas du matin.
143540	143980	On devrait essayer.
144480	145340	Creatures of the night.
145400	146220	Creatures of the night,
146340	147520	comme les chauves-souris.
147840	148080	Après,
148820	149640	on enregistre le soir,
