start	end	text
0	4020	Clément est un sac à merde
4020	5460	Un vrai gros con
5460	7100	Un enculé
7100	10340	C'est vraiment une putain de merde
10340	11180	T'aimes la chanson ?
11180	11660	Ouais c'est pas mal
11660	13500	Vas-y recommence
13500	16480	Clément est un sac à merde
16480	16880	Ouais bah non
16880	18740	Bah non j'aime pas
18740	19920	Bah non j'aime pas non
19920	22160	Bah parce que chaque épisode ça commence pareil
22160	24880	Bah oui bah tu fais ta petite chanson
24880	27040	Tu fais ta petite insulte alors Clément est un sac à merde
27040	27600	Bah non
27600	29280	T'as reconnu la chanson ?
29280	29480	Non
29480	30480	C'était placebo
30480	32740	Ah c'était placebo ça ?
32740	32920	Ouais
32920	36700	Parce que c'est vraiment un con
36700	39820	T'un gros con
39820	40520	Ça me fait pas marrer
40520	43580	Clément est un vrai gros con
43580	45000	Un gros con
45000	46580	Ouais mais ça me fait pas
46580	47700	Tu arrêtes ?
47700	47920	Ok
47920	48460	Merci
48460	49680	Bah je me suis dit si c'est une chanson que t'es
49680	50920	Y'a qu'une chanson dans ce podcast
50920	51760	Une seule
51760	52280	Ouais
52280	52660	Trois
52660	53360	Quatre
53360	54540	Plutôt
54540	55920	Plutôt que ghostique
55920	57240	On est plutôt
57240	58700	Plutôt que ghostique
58700	59360	Je suis gentil
59360	60020	Il est méchant
60020	61460	On est plutôt ghostique
61460	61960	Ouais
61960	63920	Bonsoir
63920	65920	Bonsoir
65920	66760	Ça va Urbain ?
66760	67560	Mais ça va
67560	68960	Super
68960	69300	Super
69300	70120	T'es de retour de vacances
70120	70880	T'es un peu bronzé
70880	71740	Banane
71740	72400	La méga banane
72400	72840	Ah ouais
72840	73700	110%
73700	74640	Wouh
74640	77100	Alors là je suis prêt à croquer cette rentrée
77100	78100	Je sens que t'as faim
78100	81320	Je suis pas du tout dégoûté que les vacances soient terminées
81320	81340	Non pas du tout
81340	82820	C'était vraiment dix jours
82820	83940	C'était assez
83940	85060	C'était vraiment
85060	86280	Sur une année c'est énorme
86280	87160	Ah ouais c'est énorme
87160	88620	Attends mais qu'est-ce qu'il faut chier les gens
88620	89540	D'ailleurs on s'est tous dit
89540	91600	Est-ce qu'il en fait pas un peu trop ?
91600	92060	Ah ouais ouais non
92060	93360	Au bout de trois jours je me suis dit
93360	93600	Hé
93600	94640	J'ai l'air bossé
94640	96300	Et tu vois moi je prends trois semaines cette année
96300	98200	C'est trop hein
98200	99020	Ouais là je repars deux semaines
99020	100220	Tu sais Macron qui a raison
100220	100900	On est bien
100900	101540	Mais ouais
101540	102700	Il s'est passé
102700	104080	Que deux semaines
104080	105460	Mais qu'est-ce qu'il s'est passé de choses pour le podcast ?
105460	105880	Plein de choses
105880	106860	C'est incroyable
106860	107200	C'est vrai
107200	109620	On est à 52 notes sur iTunes
109620	109940	52
109940	110420	Bravo
110420	114060	Au moins 5 notes depuis la dernière fois
114060	114540	Déjà
114540	115220	Non non
115220	116200	Bien plus que ça
116200	116360	Bien plus
116360	117960	Et on est à 18 commentaires
117960	119700	18 commentaires et
