start	end	text
0	720	C'est bon ?
720	840	Oui.
980	1820	Ça enregistre ?
1820	2520	Oui, ça enregistre là.
2880	3080	Ok.
3340	4920	Bah écoute, vas-y, je te laisse lancer.
5040	5700	Ouais, bah je commence.
5840	8500	Bah salut Clément, ça va ?
8500	10100	Super de te retrouver, ça fait longtemps.
10620	12000	On commence pas comme ça d'habitude ?
12560	16120	Oui, d'habitude je t'insulte maintenant, c'est fini.
16180	18920	Bah d'habitude, à chaque épisode quand même, tu m'as insulté.
19020	19800	Oui, mais c'est fini là.
19860	22480	Tu te souviens, t'avais même fait une chanson de placebo où tu te foutais de ma gueule.
22560	24660	Oui, mais attends, c'était il y a déjà presque un mois.
25200	26200	Voilà, on a passé la...
26200	27900	Attends Clément, je t'aime bien en fait.
27900	31640	D'accord, ah oui, donc on va commencer le podcast comme ça quoi.
32440	35160	Attends, pardon, tu préférais que je t'insulte ?
35160	39620	C'est pas une question de préférence, je dis juste que les auditeurs étaient habitués à un certain standing,
39780	40960	et puis que là tu...
40960	42880	J'ai l'impression que tu relâches un peu la pression quoi.
42960	45120	Je pensais avoir changé, mais enfin...
45120	47580	Est-ce que c'est de la flemme ? Est-ce que c'est par paresse ? Moi c'est ça que je me demande.
48200	48960	Bref, c'est pas grave.
49500	49940	Sale con.
50820	51300	Ouais, vas-y.
52140	52580	Grosse...
52580	54480	Ah putain, grosse merde ?
54480	54700	Ouais.
54960	55700	Ah t'aimes bien ça ?
55700	56240	Ouais, vas-y, vas-y.
56560	57880	T'es une vieille pute ?
57880	61760	Ça lance, vas-y, ça démarre, tu sens que le pot, tu vois, le caustique se lance.
61880	65640	T'es un sac à foutre, tu ressembles à rien, je paierai pas 2€ pour te baiser,
66320	72160	gros enculé, t'es raciste, t'es bête, je te déteste, personne t'aime,
72320	76480	parce que t'es vraiment un sac à merde, t'es la pire des putes quoi.
77160	79580	T'es la pire des putes.
79660	80940	Là je trouve que t'es allé un peu loin par contre.
81220	83240	Ah ouais ? Bah tu vois c'est le problème, c'est pour ça que j'ai essayé d'arrêter.
83520	84540	Là tu m'as blessé.
85460	87040	Bon, générique ?
87040	87480	Générique.
88320	89420	3, 4.
89920	97800	Plus tôt, plus tôt gazing, on est plus tôt, plus tôt gazing, je suis j'en ai mes j'en ai mes j'en ai mes j'en ai mes j'en ai.
100600	101600	Salut !
101600	104040	Salut les loulous, ça faisait...
104040	105360	M'Bai !
105360	106480	M'Bai !
106480	108280	Putain, c'est la rentrée ?
108280	109660	C'est la rentrée.
110140	111040	C'est la vraie rentrée.
111300	112340	C'est la vraie rentrée.
112520	113860	Un peu tard peut-être, mais...
113860	116060	Voilà, voilà, Clément, tu es allé en vacances.
116740	119760	Tu n'es pas un juilletiste, tu n'es pas un haussien.
119860	119980	Non.
119980	122000	Tu es un septembrose.
122480	123240	Je suis un septembrose.
123240	123980	Enfin, je suis un peu tout.
124400	124860	Un peu tout.
125160	126180	Mais notamment septembrose.
126220	129560	Peut-être un branleur qui profite du système et puis qui prend ses vacances tout le temps.
129580	130260	Peut-être, exactement.
