start	end	text
0	8440	On a une passion, c'est François Cluzet, on aime bien François, François Cluzet, il est gentil, parfois méchant, on aime bien François Cluzet !
8440	11600	Pas mal hein ? Ah ça swing !
11600	13820	Mais il y a un petit côté, on fait toujours la même chanson.
14280	17660	C'est vrai qu'on fait un peu, toujours la même chanson, c'est vrai.
18160	19820	Énervant, énervant pour les gens.
19960	22140	Ok, mais qu'est-ce que tu me proposes en échange ?
22140	25380	Je me propose de faire un autre générique, voilà, que je vais faire.
25480	26240	Qui le fait ?
26240	27280	Je vais le faire, mais dans le futur.
27280	27780	Tu le fais ?
27780	28140	Dans le futur.
28140	30220	Donc ça se trouve, ça sera de la merde.
30240	31860	Ça sera peut-être de la merde, mais on le fait, on l'envoie.
32320	34160	Et on fait, d'accord, vas-y, balance.
34340	36140	3, 2, 1, générique !
41000	43460	Qu'est-ce que tu racontes, je ne parle pas de ton fils.
47580	49320	Qu'est-ce que tu racontes, je ne parle pas de ton fils.
51380	52580	Tu es complètement con, quoi.
55000	57480	Qu'est-ce que tu racontes, je ne parle pas de ton fils.
58140	82200	Voilà, là on vient de…
82200	86100	Voilà, là on vient de l'écouter.
86120	89260	Plutôt bien réussi si on estime que ça s'est bien passé.
89380	92180	Si on estime que Moi du futur va bien faire le générique, on est hyper content.
92380	94200	Et puis si ça ne marche pas, tu mettrai autre chose.
94580	96600	Oui, autre chose.
96820	98140	On mettrai autre chose, voilà.
98180	98560	Pas de souci.
99080	103200	Alors, c'est parti pour le premier épisode de Passion Cluset !
105240	107100	Je décapsule ma bière.
107220	109180	Je baisse un peu parce que ça sature un poil.
109180	111340	Alors, en l'honneur du Dieu François.
112200	114200	Passion Cluset, c'est quoi ?
114200	115700	C'est un podcast.
116840	119380	Hors série qui fait partie du Pluto Caustic Universe.
119460	121060	Bien sûr, du Pluto Caustic Verse.
121120	121800	Du Pluto Verse.
122420	123220	Du Caustic Verse.
123280	123560	Du Caustic Verse.
123560	124540	Oui, si tu veux, d'accord.
125280	127880	Voilà, j'ai un ami fan de François Cluset qui m'appelle.
128620	129380	Qui ne l'est pas.
129460	130040	Il l'a senti.
130060	130680	Qui ne l'est pas.
130780	132180	Il l'a senti, en plus il ne m'appelle jamais.
132720	135460	Donc c'est une série de hors série.
135900	137540	Parce qu'il y en aura plusieurs a priori.
137740	139700	Espérons, si le premier ne nous coûte pas trop cher.
139700	139820	Voilà.
139820	142720	Ah non, si ça marche ou pas, ça, j'en ai rien à foutre.
142960	144840	Il ne faut pas qu'émotionnellement, ça nous coûte trop cher.
145480	145820	Très bien.
146140	146720	Moi, je suis blindé.
147820	149560	Oui, oui, mais parlez de mon François comme ça.
150180	151020	On va se mettre à nu.
151560	152020	C'est sûr.
152380	153700	Et c'est lui se met à nu.
153960	155500	On lui doit ça de se mettre à nu.
155500	156880	C'est vrai, parce qu'il se met à nu pour la France.
156880	165400	J'ai essayé d'expliquer à quelqu'un que je connais bien, qui n'est pas de ce pays, et qui ne voyait pas ce que je pouvais lui expliquer à François Cluzet.
165480	171120	Je dis François Cluzet, pour moi c'est un mélange, parce que cette personne est américaine, de Tom Hanks.
171400	171640	D'accord.
171700	173340	Je dirais que c'est notre Tom Hanks, il peut jouer le...
173340	174660	Bienveillance peut-être, de Tom Hanks.
175200	178060	Mais aussi, il a ce petit côté Nicolas Cage.
178260	185840	C'est-à-dire que je l'aimerais dans un film, peu importe que ce soit un bon film ou pas, et c'est un très bon acteur.
186640	188160	Mais qui a aussi parfois fait des merdes.
188160	191160	Est-ce que tu penses qu'il a cette folie à Nicolas Cage, ou c'est juste...
191740	193160	Le parallèle, c'est juste...
193880	194400	N'importe.
195080	196840	Quel que soit le film dans lequel il joue, j'aimerais.
196920	201840	Il a la folie Cage, et je pense que s'il avait un aussi mauvais agent que Nicolas Cage, il ferait tous les films.
201840	202100	D'accord.
202100	205140	D'accord. Après, il faut reconnaître que depuis quelques années, il tourne énormément quand même.
205300	206000	Il tourne beaucoup.
206200	207000	Sans trop regarder.
207700	209320	Parfois sans regarder. Et merci.
209940	210540	Alors, merci à lui.
210560	211400	Parce que ça nous offre des bons films.
211400	216100	Et donc, si on devait résumer ce podcast, c'est qu'ensemble...
216680	217120	Ensemble.
217400	222820	Nous allons parler d'un film de François Cluzet pendant tout l'épisode.
222840	224880	Voilà. Un Passion Cluzet, un film de François Cluzet.
225540	227960	Un film où il a relativement un rôle principal.
227960	230200	À moins qu'on aille à Passion Cluzet 72.
230480	230620	Oui.
230620	232600	Pour faire le premier caméo.
232720	234280	Parce qu'attention, il en a fait.
234360	235520	Et il y a aussi plusieurs périodes.
235960	239040	Dans les années 70-80, plutôt 80, il avait commencé en années 80.
239160	240420	On va voir sa page du Capitaine tout à l'heure.
240800	242860	Il fait beaucoup de chabroles, beaucoup de trucs hyper sérieux.
242860	243940	C'est un jeune premier.
243940	250160	Nous, on vous avoue, avec Clément, on a cette passion Cluzet qui nous anime.
250160	253000	Surtout, c'est le Cluzet d'après 2000.
253620	258660	Le Cluzet récent, le Cluzet qui s'impose en tant que premier rôle et qui peut porter un film à lui tout seul.
259320	262100	Et pour moi, François Cluzet, c'est un peu Barbie.
262560	264520	C'est-à-dire que c'est Cluzet médecin.
264760	264880	Oui.
264880	266100	Cluzet prof.
266160	267420	Il pourrait faire tous les métiers comme ça.
267740	270040	Et d'autant qu'il se grime.
270540	272880	C'est un acteur qui se grime assez facilement.
273100	276500	Que ce soit dans le film que nous aborderons tout à l'heure, voire dans d'autres.
277500	279380	Une moustache qui est un mulet.
