start	end	text
0	5900	Clément, Clément est une merde, un putain de sale con, un connard, un coco, un coco.
5980	9300	C'est marrant parce que tu vois là j'ai baissé ton micro et du coup les gens ne t'entendent plus.
9460	10320	Là je peux le remonter.
11200	12260	Tu peux le refaire ?
12260	17280	Non ce que je te propose c'est qu'on chante directement, qu'on passe directement, on rentre immédiatres.
17540	18500	Ah tu veux chanter la chanson ?
18500	21400	Clément est un gros con, un putain de connard.
21400	23220	Non mais je préfère celle de placebo moi tu sais.
23740	27140	En fait j'ai hésité à beaucoup de chansons sur lesquelles t'insulter et je trouve que
27140	29140	Ah ah, vous mangez une soupe au poulet.
29140	33260	Je mange une petite soupe de noodles très pimentée.
33640	34120	Très très pimentée.
34120	36820	Ecoutez, si vous n'êtes pas prêt pour prendre celle au piment, vous ne prenez pas celle au piment.
36820	41780	Alors attends, excuse-moi mais là je devais reconnaître du AA.
43780	58560	Clément d'un grand, une grosse merde, un centime, fais le lepain.
59140	61820	Ok, j'ai reconnu mais tu...
61820	65060	En fait j'ai l'impression que je l'ai parfaitement, j'en ai un peu sur la fin.
67120	67480	Tu vois ?
67480	68620	Regarde, regarde, franchement.
71820	72140	Non.
72420	73200	Non, je ne l'ai pas ?
73200	75820	Non mais c'est dommage que ce soit un podcast purement audio.
75820	76820	Oui parce que...
76820	79880	Parce qu'on sent, il y a un travail, il y a une gymnastique.
80000	81960	Et d'ailleurs, je t'ai préparé un gag.
82120	82500	Oh !
83120	83380	Voilà.
83740	88260	Alors là, vous ne pouvez pas l'entendre mais c'est très fort ce que j'ai fait.
88700	90560	Tu peux expliquer aux auditeurs un peu ce qui vient de s'est passé ?
90560	97720	À peine, et je tournais le regard une seconde pour regarder ma soupe au poulet.
98340	101560	Je relève les yeux vers Urbain et là, il est doté...
102560	110380	Alors ce sont des lunettes de soleil aux branches jaunes fluo dotées d'un petit logo Batman.
110380	118160	Et sur les lunettes, se sont greffées, je ne sais pas, une sorte de masque de Batman très très mal fait.
118360	118700	D'accord.
119020	119280	Tout petit.
119520	120080	Donc c'est excellent.
120360	122280	Donc je pense qu'il faudra qu'on poste la photo.
122620	123020	Je vais peut-être en prendre une fois.
123020	123560	Il n'y a pas besoin.
123820	124660	Pour la montrer au...
124660	125760	Je crois que les gens ont eu ta description.
126420	126620	Voilà.
126940	129480	Pour récapituler un petit peu ce qui s'est passé, j'ai l'impression que c'est très important.
129620	129760	Ouais.
131900	137760	Clément parlait et d'un coup, à sa surprise, j'ai mis un artifice, une sorte de...
138400	138880	Postiche.
139020	139760	Voilà, un postiche.
139760	143740	Je me suis grimé en quelque sorte afin de provoquer l'hilarité qui n'a pas manqué.
144120	144540	J'ai ri.
144960	145220	Voilà.
145720	148540	Et j'ai vraiment mis trop de poulets, trop de piment.
148740	149420	Il n'y a jamais assez de poulets.
149460	149980	Je vais en chier.
150520	155180	Donc on peut considérer que c'est le pire début de l'histoire du podcast.
155440	158000	Encore que le premier, il faudrait qu'on réécoute le tout premier.
158760	162080	Et encore non, le tout premier, il y avait un moment de grâce vu qu'on avait inventé sur le tas.
162320	162540	Oui.
162800	163460	Au doigt mouillé.
163560	164120	Ce générique.
164140	164600	Ce générique.
164600	165420	Ce générique.
165760	167600	Que nous allons interpréter maintenant.
168400	168820	C'est parti.
168820	170140	Plutôt.
170300	171380	Plus le ghost dig.
171460	172680	On est plus d'au.
173000	173980	Plus le ghost dig.
174020	175360	Je suis gentil et les gens.
175480	176660	On est plus le ghost dig.
177600	178140	Ça faisait longtemps.
178260	179080	Les affaires reprennent.
179120	179860	Ça faisait longtemps.
179960	182000	Ça fait presque plus d'un mois qu'il n'y a pas eu de plus de ghost dig.
182060	184540	Le dernier, c'était le 30 septembre.
184900	187160	Il s'est passé énormément de choses.
187400	190160	Entre temps, il s'est passé surtout un passion clusé.
190600	191000	Merci.
191340	191860	On peut pas.
191860	194180	merci parce que vous nous avez laissé
194180	195860	zéro commentaire sur iTunes
195860	196700	après Passion Cluset
196700	197900	zéro
197900	199640	alors on en a eu un peu partout
199640	200820	mais on a eu beaucoup d'écoutes
200820	201820	beaucoup d'écoutes
201820	203540	autant que sur un Pluto Caustique
203540	204900	comme quoi les hors série pour vous
204900	205700	ça ne vous dérange pas
205700	207220	ou alors les chiffres de Pluto Caustique
207220	208260	sont tellement merdiques
208260	210160	qu'on pourrait faire n'importe quoi
210160	211200	et il y aurait quand même
211200	212540	1500 blairaux pour l'écouter
212540	213620	merci à tous
213620	215860	car vous étiez 1500 sur le Passion Cluset
215860	217440	un beau score
217440	218920	ce que je trouve déjà
218920	220480	1500 personnes qui se retrouvent
220480	221960	autour de François Cluset
221960	223420	pour moi c'est déjà assez
223420	225220	t'imagines dans une salle de spectacle ?
225220	225840	c'est énorme
225840	226540	ça fait 1500
226540	228760	t'imagines on organise une projo un jour
228760	230320	un jour il y aura un Passion Cluset
230320	230580	une nuit Cluset
230580	233000	1500 on va falloir les trouver
233000	234500	vous en avez trouvé d'autres sur Twitter
234500	235000	des Clusos ?
235000	235800	il y en a plein de Clusos
235800	236500	les Clusos
236500	238320	ou si vous connaissez les Clusos
238320	239160	faites-leur partager
239160	240220	et puis voilà
240220	241540	on le répète
241540	242980	on peut devenir Clusos
242980	243760	bien sûr
243760	244700	on a tous en nous
244700	245600	un Clusos
245600	247360	on n'a pas le même Cluset
247360	248480	mais on a
248480	249600	non
249600	250980	bon ça n'a pas marché
250980	252200	on n'a pas le même maillot
252200	252920	mais
252920	254340	on a la même Cluset ?
254340	255240	non toujours pas
255240	255460	attends
255460	255860	on va y aller
255860	257120	putain
257120	257780	tu vas le trouver
257780	258400	c'est pas compliqué
258400	259000	c'est pas grave
259000	259720	non non
259720	260600	si c'est grave
260600	260900	reviens
260900	261220	reviens
261220	261500	reviens
261500	262620	les gens ils veulent
262620	265340	que je trouve le slogan
265340	266300	par rapport à l'arbitrage
266300	268340	ça va les faire marrer
268340	270120	bois un petit truc là
270120	270780	tiens
270780	272320	ça va les faire marrer Clément
272320	273340	bah vas-y alors
273340	275040	laisse moi un peu de temps
275040	275320	écoute
275320	276520	reprenons à la base
276520	276820	c'est
276820	278760	on n'a pas le même maillot
278760	279700	mais on a la même passion
279700	280120	oui
280120	280460	ok
280460	281200	donc là c'est
281200	282180	on n'a pas par exemple
282180	283260	la même télé
283260	284760	mais on a le même Cluset
284760	285360	on a le même Cluset
285360	286300	voilà
286300	288820	ça va pas bien vous ce soir
288820	290240	on sent que c'est compliqué
290240	290940	alors ce qui est marrant
290940	292180	tu me disais ça
292180	292960	juste avant le début
292960	294200	c'est que
294200	295160	contrairement à d'habitude
295160	296280	là c'est toi qui n'as rien
296280	297020	je n'ai rien
297020	297640	et moi
297640	298800	contrairement à d'habitude
298800	299620	et je vais même vous dire mieux
299620	300760	je vais saborder votre épisode
300760	301800	ah tu vas plomber
301800	302340	tous mes sujets
302340	302980	bah là par exemple
302980	303860	tu parles je te coupe
303860	305500	et puis je vais
305500	305920	et puis
305920	306940	t'as décidé d'être sur un épisode
306940	308500	un peu vindicatif
308500	309360	trois sujets
309360	311560	tu peux les dire
311560	312180	chaque fois je vais te dire
312180	313040	c'est de la merde ton sujet
313040	313680	ah mais moi en plus
313680	314180	j'en suis conscient
314180	315600	parce que c'est des vieux sujets
315600	316180	de reste
316180	317100	de vieux podcast
317100	318640	tu as les creuser
318640	319440	dans mes notes
319440	320700	la vieille chaussette
320700	321360	du podcast
321360	322720	alors le premier c'est
322720	324080	est-ce que je suis autiste
324080	325100	c'est de la merde
325100	325600	j'ai l'impression
325600	327240	d'être sur le spectre
327240	327760	un petit
327760	328700	je sais pas où
328700	329240	mais j'ai l'impression
329240	330440	alors tu serais pas
330440	331080	et je crois
331080	332240	ça m'étonne venant de toi
332240	333940	parce que t'aimes bien
333940	334800	critiquer les gens
334800	335800	qui s'auto-diagnostiquent
335800	336080	des trucs
336080	336380	bien sûr
336380	337260	voilà
337260	338000	est-ce que tu serais pas
338000	338660	juste un connard
338660	339760	alors non mais ça je suis
339760	341300	c'est marrant que tu le dis
341300	342060	je déteste
342060	342420	c'est ça
342420	343220	ces gens qui s'inventent
343220	344480	moi je suis complètement
344480	345040	Asperger
345040	346540	tu n'es pas Asperger
346540	347480	tu n'as juste pas d'amis
347480	349280	si tu te forces un petit peu
349280	349920	bon bref
349920	350960	moi je dois être bipolaire
350960	352520	parce que des fois je vais bien
352520	353460	et puis des fois je vais pas bien
353460	354500	c'est pas normal ça
354500	355740	je suis bipolaire
355740	356920	ça c'est ta voix de bipolaire
356920	357900	non
357900	359000	ça c'est ta voix de mec
359000	360080	qui se croit bipolaire
360080	360500	bien sûr
360500	360880	ah ouais
360880	361680	bah oui
361680	363540	ce matin j'étais chanchant
363540	364760	je suis bipolaire
364760	365900	alors ça c'est tous les casse-cou
365900	366440	ils vont t'expliquer
366440	367200	qu'ils sont bipolaires
367200	368240	qu'est-ce qu'il y a
368240	368840	comme autre maladie
368840	369840	Asperger évidemment
369840	372080	un mec qui a regardé
372080	373140	une saison de Big Bang Theory
373140	374220	vous voyez persuadé d'être Asperger
374220	374600	bah oui
374600	376340	c'est vrai une fois je savais pas trop
376340	377100	dire bonjour au revoir
377100	377480	tu vois
377480	380100	j'avais des problèmes sociaux
380100	381120	en fait je suis cool
381120	382400	en fait c'est juste une maladie
382400	383480	mais je suis comme Sheldon
383480	385640	t'es juste un gars bizarre
385640	386580	tu sais quoi
386580	387800	je vais le dire
387800	389080	c'est horrible
389080	390180	parce que j'en connais plein
390180	391440	et tu sais pas bien
391440	392440	et que surtout sur Twitter
392440	393460	internet
393460	393960	il y en a plein
393960	394600	des gens comme ça
394600	396220	j'ai aucun respect
396220	396700	pour les gens
396700	397760	qui savent pas
397760	399640	gérer les relations sociales
399640	400260	ah ouais
400260	400880	aucun
400880	402220	putain
402220	403380	j'estime
403380	405180	que c'est des cons
405180	407000	parce que tu trouves ça facile
407000	408800	bah pour moi c'est sûr
408800	409720	de gérer une relation sociale
409720	410720	je trouve que
410720	411520	ouais les gens qui font
411520	412920	comment tu fais
412920	413940	moi je sais pas
413940	414840	je vais mettre au quadrion
414840	415420	en public
415420	417260	c'est parce que
417260	417760	j'ai toujours peur
417760	418380	que c'est des bêtises
418380	420160	aucun respect pour toi
420160	420640	d'accord
420640	421440	je t'en ai
421440	422480	quelque part
422480	423220	quelque part
423220	424640	quelque part
424640	425160	d'accord
425160	425820	et est-ce que tu crois
425820	426920	que ça les encourage
426920	428480	à se sentir bien en société
428480	429780	si quand enfin
429780	430680	ils ouvrent leur coeur
430680	431200	pour te dire
431200	432760	je suis pas très à l'aise
432760	433220	en société
433220	434120	toi tu leur chies
434120	434660	alors par contre
434660	435200	c'est pas du tout
435200	435600	ce que je fais
435600	436980	alors ça
436980	438260	je reconnais
438260	439540	et là tu brandis ton doigt
439540	440280	et je brandis mon doigt
440280	440720	et les deux doigts
440720	441580	non non parce que
441580	442160	autant
442160	443920	en fait j'emmerde
443920	444400	les gens
444400	445880	qui s'en plaignent
445880	446240	d'accord
446240	446980	mais
446980	447820	ah oui d'accord
447820	448640	je sais très bien
448640	449560	reconnaître un gars
449560	450080	qui est comme ça
450080	450840	et je vais l'aider
450840	451700	je suis même
451700	453360	et je peux te l'avouer
453360	453760	maintenant
453760	454560	ouais
454560	456040	sauveteur de blague
456040	459300	ça te fait trop de mal
459300	459840	excusez moi
459840	460020	en fait
460020	461820	t'as décidé d'être chiant
461820	462420	pendant tout le podcast
462420	462880	moi j'ai décidé
462880	463420	de faire des bruits
463420	463820	de noodles
463820	464280	bien sûr
464280	465300	donc je peux manger
465300	465780	mes noodles
465780	466940	on sera sur une sorte
466940	467840	de long épisode
467840	468340	je n'ai pas décidé
468340	468840	d'être chiant
468840	469800	j'ai décidé d'être moi
469800	471080	oui
471080	473600	non mais que ça soit clair
473600	474480	potato
474480	475700	patato
475700	476120	comme on dit
476120	478640	je me reconnais bien là
478640	481020	et je me reconnais bien là
481020	481400	bien là
481400	483700	la langue de shakespeare
483700	485140	mêlée au jeu de mots
485140	486280	des progiens
486280	487520	j'ai envie
487520	488200	vous savez quoi
488200	488840	j'ai envie de faire
488840	489320	la bande annonce
489320	489980	de votre spectacle
489980	490660	musique
490660	493280	ce grand troubadour
493280	493900	du rire
493900	495320	que vous avez pu reconnaître
495320	495820	benoît Paulward
495820	497860	je voulais pas faire
497860	498460	benoît Paulward
498460	498880	bon alors
498880	499720	benoît Paulward
499720	500680	est en train
500680	501060	il fait la promo
501060	501380	de mon spectacle
501380	501860	oui
501860	505120	ce grand troubadour
505120	505720	du rire
505720	506760	que vous avez pu voir
506760	507800	sur internet
507800	510800	ah c'est pas bon
510800	511320	ça va être long
511320	511860	ça va être
511860	514600	manipule à la fois
514600	515520	les jeux de mots
515520	516540	caustiques
516540	517500	ainsi
517500	520140	ouais
520140	521600	ah bah tu vas jusqu'au bout
521600	522400	moi je te sors pas d'ici
522400	523340	t'es tombé dans le puits
523340	524860	moi je reprends
524860	525040	ouais
525040	526660	retrouver tous les lundis
526660	528360	sur la scène du point virgule
528360	529700	Clément
529700	531680	pardon pardon
531680	532140	j'y arrive
532140	532620	j'y arrive pas
532620	532860	voilà
532860	534400	comme quoi tu vois finalement
534400	535180	comme quoi l'impro
535180	535800	c'est pas donné à tout le monde
535800	536580	c'est pas donné à tout le monde
536580	537780	mais c'est toi qui m'as niqué
537780	539060	avec Benoît Paulward
539060	539620	parce qu'elle a blâche
539620	540720	excuse moi
540720	541660	pourquoi un belge
541660	542720	teaserait mon spectacle
542720	543760	je me suis auto-niqué
543760	544200	je vais pas faire
544200	544800	enfin remarque si
544800	545720	je pourrais me lancer en Belgique
545720	546700	ils me connaissent pas trop
546700	547480	tu pourrais
547480	548320	tu pourrais un belge
548320	549440	ouais
549440	551940	ah j'ai du sang belge
551940	552360	ah bon
552360	553360	j'ai un huitième de sang belge
553360	553840	parle moi de ça
553840	554580	un quart de sang
554580	555160	j'en sais rien
555160	555980	on m'a juste dit ça
555980	556580	ça vient de l'Est
556580	558100	qui t'a dit ?
558100	558680	bah mon père
558680	559980	qu'il tient de son grand-père
559980	560440	mais après
560440	561180	il y a longtemps
561180	562860	c'est des histoires d'alcoolique
562860	563860	de sartois
563860	564620	ah non non
564620	565200	on est mi-belge
565200	566660	aucun rapport avec la Sarthe
566660	568140	on y a posé nos sacs
568140	570620	ah parce que ça vient d'où votre famille ?
570620	570900	l'Est
570900	572180	de l'Est
572180	573160	le Grand Est
573160	574480	côté maternel
574480	575280	on vient du Nord
575280	576460	donc on est sur quelque chose
576460	577120	de très sympa
577120	578580	donc c'est assez sommaire
578580	579720	vous êtes que dans les directions
579720	581120	non c'est le Nord
581120	582140	le département
582140	582680	ah d'accord
582680	583300	ah oui oui oui
583300	584320	non parce qu'on direct
584320	585920	un mec de Game of Thrones
585920	587420	la famille vient du Grand Nord
587420	588820	là-bas ça vient de l'Est
588820	590380	on s'est arrêté
590380	590980	où la charrue
590980	592320	s'est pétée
592320	593300	puis on a construit une cabane
593300	594980	donc le Nord
594980	595920	le Maroil
595920	596800	il y a son
596800	598200	les familles ouvrières
598200	598420	voilà
598420	599520	qui ont fui la guerre
599520	600820	et qui sont descendus dans l'Ouest
600820	602600	vous êtes fils de charon ?
602600	603760	fils de charon ?
603760	603860	non
603860	604480	les gueules cassées
604480	607820	les gueules noires
607820	609520	c'est un fils de gueules
609520	609880	c'est pas pareil
609880	610360	gueules noires
610360	611000	les gueules noires
611000	611520	les gueules cassées
611520	612200	ouais non non
612200	614380	côté maternel c'est ça
614380	617080	on est sur du ch'ti
617080	618160	alors
618160	620120	nous on a jamais mis en avant
620120	620500	ce côté
620500	622740	ma grand-mère m'appelait ma biloute
622740	623840	mais elle avait pas cet accent
623840	624500	putain mais attends
624500	625260	mais j'apprends ça
625260	626060	c'est vrai tu savais pas ?
626060	627100	parce que t'es le deuxième
627100	628980	Norman Tavo
628980	630540	que je connais bien
630540	631780	il l'est plus que moi
631780	632660	ah bah lui il est à fond
632660	633660	lui il est à fond
633660	634220	parce que moi j'ai
634220	635800	en fait elle a fui
635800	636600	pendant la guerre
636600	637760	et elle s'est retrouvée
637760	638340	dans l'Ouest
638340	638980	mais je te jure
638980	639940	pardon hein
639940	641360	mais Norman je m'y suis fait
641360	642720	mais toi là de savoir
642720	643900	qu'en fait t'es un peu un ch'ti
643900	645540	je te jure ça m'agace un petit peu
645540	646780	c'est un truc que je savais pas sur toi
646780	647340	ça m'énerve
648160	649500	parce que c'est pire
649500	652800	j'ai pas été élevé
652800	653580	dans cette culture ch'ti
653580	654080	parce que
654080	655180	à 16 ans
655180	655820	elle a dû se barrer
655820	656880	mais elle avait des restes
656880	657840	c'est à dire pour manger du maroil
657840	659100	pour aller travailler à la mine
659100	659760	pour fuir la guerre
659760	661100	parce que les allemands
661100	662180	ils étaient dans le nord
662180	664120	ce qui fait que
664120	665380	il y a une sorte de
665380	666600	petite
666600	667480	petite
667480	669200	petite orage
669200	669680	tu vois
669680	670540	mais pas grand chose
670540	673160	par contre du côté de mon père
673160	674880	là on vient de
674880	675540	de l'Est
675540	676820	je crois que c'est
676820	677440	c'est dur l'Est
677440	678060	Alsace
678060	678800	c'était dur aussi
678800	680060	peut-être un peu plus le sud
680060	680480	et donc
680480	681400	il y a eu du Belge
681400	681920	et il y a eu de l'Allemand
681920	683520	mais ça je connais pas trop
683520	684160	cette histoire là
684160	684900	donc t'es vraiment
684900	687540	ta passion pour tout ce qui est le nord
687540	688800	en général
688800	689540	on peut le dire
689540	690500	que pour toi Clermont-Ferrand
690500	691080	c'est Marseille
691080	692140	et qu'on est déjà dans le sud
692140	693960	t'es quand même un gars
693960	695320	fasciné par la Scandinavie
695320	695960	tout ce qui est
695960	698160	personne qui mange des chauves-souris
698160	700340	tu vois en Irlande
700340	701260	les Celtes
701260	703320	t'aimes bien quand il pleut
703320	705600	globalement t'es un gars du nord
705600	707500	mais on comprend maintenant
707500	709180	pourquoi tu t'habilles en noir
709180	710720	pourquoi tu es
710720	711740	clairement oui
711740	713940	j'ai pas d'origine marseillaise
713940	714440	ça c'est certain
714440	714800	donc
714800	715700	d'accord
715700	717180	on peut dire
717180	718700	globalement que t'es contre le sud
718700	719180	donc t'es genre
719180	720600	t'as pu dire du mal du Pays Basque
720600	721120	par exemple
721120	721940	faux
