start	end	text
0	4800	Clément est d'un putain de connard, une raclure, une sale merde, un con
4800	9660	En plus il est carrément moche et c'est pas comme s'il sentait bon
9660	12940	Je sais pas pourquoi j'ai pris la voix de Stéphane et cher
12940	16400	Du coup je change les paroles de ce seul type
16400	23200	Et tous les gens censés dire au bon débat
23200	28340	Bon vent à cette ordure et son visage ingrat
28340	33200	Ces paroles avaient un rapport avec ce que j'avais dit avant
33200	35060	Mais je l'ai pas dit
35060	38340	Parce que
38340	42900	J'ai pris la voix de Stéphane et cher du coup j'ai changé les paroles
42900	45080	Je préfère quand tu m'insultes parce que là ça n'a aucun sens
45080	47700	Et ça n'a plus de sens
47700	51360	Rassure-toi t'es quand même un con
51360	55360	L'épisode 11
55360	56740	Épisode 11
56740	59060	Parce que le 10 a été perdu, c'est plutôt crastique
59060	61600	Bravo !
61600	64120	Alors on s'est demandé parce que quand on perd un enfant
64120	67740	Est-ce que le prochain on l'appelle pareil que celui qu'on a perdu ?
67740	68460	On ne sait pas
68460	71760	En tout cas on est d'accord que c'est l'épisode 11, l'épisode 10 a existé
71760	73280	Il existe dans nos cœurs
73280	74340	Mais il est mort
74340	76520	Voilà, on rappelle pour ceux qui ne nous suivent pas sur Facebook
76520	78560	On a enregistré l'épisode 10
78560	81100	Et il s'est perdu dans la carte SD
81100	82000	On ne sait pas où il est
82000	83900	C'est fou, peut-être qu'un jour on le retrouvera
83900	85280	Alors ça serait fou
85280	86780	Ce serait incroyable
86780	88620	Ce serait incroyable
88620	90980	Toujours est-il que là, il a disparu, on ne l'a pas
90980	92880	Et en parler, ça nous fait mal
92880	94060	A toi comme à moi
94060	97020	Donc on va passer très vite à l'épisode 11
97020	97920	Rentrer dans le...
97920	101200	Alors je tiens juste à dire que même si on ne le regrette pas
102080	104500	Et que le 2 était difficile
104500	107420	C'était con parce que c'était de loin notre meilleur épisode
107420	108600	Ah mais de loin !
108600	109340	De très loin !
109340	111140	On a bu du champagne
111140	111800	C'est vrai
111800	113480	On a mangé du Saint-Nectaire
113480	115800	La bouteille de champagne a explosé en plein épisode
115800	117020	Il s'est passé plein de trucs
117020	118020	Si vous saviez
118020	119260	Mais vous ne saurez jamais
119260	120160	Désolé
120160	121580	Mais c'est pas grave
121580	123180	Parce que vous êtes maintenant
123180	125100	Avec le nouvel épisode
125100	126560	Je me suis raté
126560	127740	Parce que vraiment je suis...
127740	128860	Et tout le monde l'a entendu
128860	130520	Et je pourrais le couper au montage
130520	131420	Mais je ne le ferais pas
131420	131980	Pas le faire
131980	132920	De...
132920	134580	Plutôt caustique
134580	136080	Plutôt
136080	137440	Plutôt caustique
137440	138740	On est plutôt
138740	140180	Plutôt caustique
140180	141560	Il est méchant
141560	143500	On est plutôt caustique
143500	144780	Ah voilà !
144780	145600	Et ben enfin !
145600	146580	Et ben tu vois la dernière fois
146580	147660	Peut-être on n'avait pas la pêche
147660	148680	Mais là cet épisode
148680	150420	Ca ne va pas buguer
150420	151080	Et j'ai bossé
151080	152360	Je peux autant te dire que j'ai bossé
152360	152980	J'ai des sujets
152980	153360	J'ai que ça
153360	153860	Moi aussi
153860	154780	J'en ai à foison
154780	155180	Ben commence
155180	156340	Allez on enchaîne direct
156340	157500	Je ne te demande pas comment tu vas
157500	158320	Tu ne me demandes pas comment je vais
158320	159180	Premier sujet
159180	161240	C'est un sujet qu'on m'a...
161240	162600	Soufflé
162600	163420	Allez à la vôtre
163420	164020	Au vin
164020	164960	On avait essayé au champagne
164960	165440	Au rouge
165440	166000	On est quand même mieux
166000	166720	Allez on est au rouge
166720	167700	Domaine de la combe d'ue
167700	168760	C'est un rasto 2014
168760	169000	Voilà
169000	170200	A tous ceux qui nous écoutent
170200	171700	Ben...
171700	172180	Le matin
172180	173460	Ben n'hésitez pas
173460	174240	A boire un petit rougeau
174240	175380	Ca niquera votre journée
175380	176400	Voilà
176400	177180	Ah oui
177180	179620	T'as déjà essayé de boire le matin ?
179620	180320	Pas du rouge
180320	182460	C'est pas la bonne réponse
182460	182980	Non
182980	184340	Merde ouais non
184340	185360	Non jamais ça
185360	186580	Oui voilà ça c'est mieux
186580	188120	Ah du le petit
188120	189320	Quand on mange aussi du camembert
189320	189940	C'est du le petit
189940	191260	Sache que j'ai des histoires
191260	191900	Sur le le petit
191900	192340	C'est vrai
192340	193480	Ben on parlera camembert après
193480	195900	Merci beaucoup pour le camembert
195900	196280	C'est parti
196280	196700	Premier sujet
196700	197900	Qui nous a été soufflé
197900	200240	Par un auditeur
200240	201260	Sur Twitter
201260	202220	Qui a dit
202220	203140	Que ça serait sympa
203140	204440	De parler de ces gens
204440	205360	Qui une fois
205360	206900	Que l'avion a atterri
206900	207620	Ils applaudissent
207620	209120	Ah c'est pas eux
209120	209700	Mais pas mal
209700	211000	Non pas ouf comme sujet
211000	211300	Les gens
211300	211940	Qui une fois
211940	213100	Que l'avion a atterri
213100	213440	Oui
213440	215020	Se lèvent
215020	215340	Oui
215340	216900	Parce que moi
216900	217420	J'avais pensé
217420	217840	Qu'ils diraient
217840	218820	Le fond exploser
218820	219380	Et c'est vrai que c'est
219380	220000	Ouh
220000	220840	T'es là
220840	222360	Tu viens faire un Paris-Nice
222360	223120	Surtout n'attendez pas
223120	223660	Qu'il ait atterri
223660	224440	Pour le faire exploser
224440	224680	Oui
224680	225660	Ce serait dommage
225660	226780	Plus sympa en vol
226780	227660	Ne serait-ce que visuellement
227660	228260	Il y a plus de
228260	229260	Est-ce que tu crois
229260	230000	Qu'un jour
230000	230820	Il y a un terroriste
230820	231600	Qui est rentré
231600	232480	Qui a passé la douane
232480	233620	Puis il s'est posé
233620	234960	Et puis une cacahuète
234960	235860	Un champagne
235860	237620	Un film avec Louis de Funes
237620	238400	A la fin il a atterri
238400	238920	Putain
238920	240820	J'ai pas fait exploser l'avion
240820	241700	Je me suis laissé prendre
241700	243080	Par le film avec Vincent De Nienne
243080	245220	Tu sais où il est déguisé en meuf
245220	245780	Ouais
245780	246980	Bah je me suis laissé prendre
246980	247920	Et puis du coup
247920	248360	J'ai pas pensé
248360	249000	Tu t'es pas pensé ?
249000	249440	J'appelle
249440	250620	Oh merde
250620	251820	Oh putain
251820	253020	Quand je vais le dire
253020	254580	Quand je vais le dire à l'orga
254580	256000	Que j'ai oublié d'exploser l'avion
