start	end	text
0	2000	Musique
30000	48560	Toujours ému
48560	49860	Toujours aussi moi
49860	52700	Si vous avez d'autres extraits
52700	54740	que je pourrais insérer sur cet instrumental
54740	55420	dites le nous
55420	57520	Ou bien on ne touche pas à une oeuvre d'art aussi belle
57520	59220	on se dit qu'elle est gravée
59220	61500	Elle n'est jamais dans l'histoire du podcast
61500	64460	Et bien c'est parti pour le deuxième épisode
64460	66040	Passion Cluzet
66040	67900	Alors Passion Cluzet, tu satures un peu
67900	69500	parce qu'on est content d'être là finalement
69500	70520	C'est ça l'histoire
70520	73240	Disons que la saturation
73240	76020	n'est pas une personnification du jeu
76020	77540	de François Cluzet
77540	80140	Alors aujourd'hui Urbain, Passion Cluzet
80140	82080	numéro 2, déjà ça veut dire qu'on arrive
82080	84520	à faire un hors-série de plus de deux épisodes
84520	86080	Enfin en tout cas de plus d'un épisode
86080	87700	Aucune rubrique
87700	89540	Aucune rubrique de plus d'austique n'a tenu
89540	89980	Voilà
89980	92560	Donc là on est sur quelque chose d'inédit
92560	93160	C'est historique
93160	95900	Et aujourd'hui, alors après l'école buissonnière
95900	97240	où on était sur un Cluzet
97240	97820	Buissonnière
97820	98720	Buissonnière
98720	101580	Moi je suis le team buissonnière
101580	102280	Oui c'est normal
102280	104720	Thierry ou Thierry ?
104720	105120	Thierry
105120	107140	Ah voilà, on est d'accord sur celui-là
107140	109860	Je reconnais bien là votre académisme
109860	111700	Forcené
111700	113120	Je suis assez cartésien
113120	113660	Je suis assez
113660	114180	Oui oui
114180	116440	Vous êtes d'une famille de profs
116440	117320	C'est ça oui exactement
117320	117960	Oui voilà
117960	118580	Donc vous êtes
118580	120560	Vous vous sentez un petit peu
120560	125880	Après on était profs dans le grand ashram du gourou de la région
125880	126820	Ah oui
126820	127460	On était pas dans le
127460	128180	Attention
128180	128980	Oui c'est pas non plus le
128980	130020	Non non
130020	133140	Vous n'êtes pas un prof gilet jaune
133140	134900	Au loin de là
134900	135320	Oh non
135320	136220	Oui à vous le peuple
136220	137100	Gilet jauné
137100	138220	Oui c'est ça
138220	139060	C'est ce que je sens
139060	141380	Dans ce petit ton
141380	142660	Un petit peu dégueulasse
142660	144020	Qui ne manquera pas d'énerver les français
144020	144880	Mais enfin passons
144880	146820	De quelle France tu parles ?
146820	147580	Moi c'est surtout ça que je veux
147580	148480	Oui voilà je crois qu'il y a deux frances
148480	149180	Celle des ronds-points
149180	150100	Votre France
150100	151420	N'est pas ma France
151420	152140	Allez
152140	153120	Je pense que ça c'est clair
153120	154580	Alors après l'école buissonnière
154580	155680	Qui était quand même une belle France
155680	156800	Dans l'école buissonnière
156800	157900	C'était un peu notre France
157900	158980	C'était là
158980	160660	On va partir dans une autre France
160660	161500	Là on part sur une France
161500	162300	Beaucoup plus morne
162300	164340	Beaucoup moins nostalgique finalement
164340	165460	Puisque plus proche de nous
165460	167460	La France peut être
167460	169460	De la pleine crise
169460	170360	Des pleines retombées
170360	171340	De la crise de 2009
171340	172380	La crise des subprimes
172380	173640	Je crois que c'est la France
173640	174280	C'est la même
174280	175280	Mais imaginez
175280	176580	Toutes les forêts ont été rasées
176580	177400	Il n'y a plus de serre
177400	178780	Et il reste un décathlon à la place
178780	180560	Et un grand parking
180560	181360	Autour du décathlon
181360	182140	Un grand parking
182140	184700	Ce soir on parle de 11.6
184700	185800	11.6
185800	186660	Chez d'oeuvre
186660	187320	Chez d'oeuvre
187320	189000	Du film de braquage
189000	190580	Un film sombre
190580	191200	Oui
191200	192640	Un film
192640	193760	Qu'on aura le temps
193760	195100	Plus tard peut-être
195100	195720	De rapporter
195720	196400	De placer
196400	198320	Dans l'immense univers
198320	200100	Dans la matemande cinématographique
200860	201420	Dans le cluverse
