start	end	text
0	4900	Vraiment un con, c'est un connard, c'est une putain de putain de merde
4900	7020	Donc tu décides de commencer la saison 2
7020	10880	Un zelcon qui fait j'ai de faire un podcast avec ce blaireau
10880	12580	Sur les mêmes bases que la première saison
12580	15680	Vraiment un putain de con
15680	18320	Je crois qu'en vrai ça me fait un peu chier que tu commences
18320	20820	D'accord, d'accord, d'accord, ça va, pardon, pardon
20820	21940	Ouais, peut-être que les gens...
21940	23380	Tu as reconnu la chanson ?
23380	23640	Non
23640	24300	Je l'ai très mal chantée
24300	25560	Non, je l'ai très mal...
25560	26680	D'habitude je les chante mal
26680	28500	Mais là je ne sais pas ce que c'est la saison 2
28500	31920	Je me suis fermé, tu sais, comme une petite...
31920	34400	Si quelqu'un reconnaît la chanson, il aura le droit
34400	38400	Il aura le droit à l'épisode 11
38400	41920	Enfin pas celui qu'on a perdu pour toujours
41920	42800	Ah !
42800	44260	Tu m'as fait une tête comme si...
44260	45160	J'ai cru que tu l'avais retrouvé
45160	47040	Tu l'as, tu l'as, salopard
47040	48240	T'as failli me tuer
48240	50580	Non, mais il y a un épisode qu'on a enregistré
50580	52000	Et qu'on n'a pas encore sorti
52000	54520	C'est ça, un épisode bonus ?
54520	55080	Voilà, bonus
55080	58460	Alors si la personne a trouvé la chanson que je viens de massacrer en français
58460	59460	Il peut...
59460	59640	Voilà
59640	61020	C'est un sacré cadeau que tu leur fais
61020	62600	Tout ça pour dire que c'est la saison 2 !
62600	63880	Mais oui, bravo !
63880	66860	Alors on a fait une petite pause, voilà
66860	67960	T'es au Bahama
67960	68800	C'est vrai ?
68800	69600	Ah oui mon pote
69600	70880	Sympa, moi j'étais...
70880	71480	Les chansons...
71480	73040	Les gens sont cons en fait là-bas
73040	73680	A la santé
73680	75080	3, 4
75080	77700	Plus d'eau, plus de gâstic
77700	80200	On est plus d'eau, plus de gâstic
80200	81560	Je suis gentil, toujours méchant
81560	83460	On est plus de gâstic
83460	85460	Oh !
85460	87300	Oh là là !
87300	88400	Quel jour on est ?
88400	89100	Quel jour on est ?
89100	90920	Je sais plus, je ne sais pas
90920	92020	On est le 13 mai
92020	93100	On est le 13 mai
93100	95120	Et qu'est-ce qui s'est passé il y a un an ?
95120	95800	Un an tout pile
95800	96520	Pile !
96520	98160	Nous avons créé notre compte Twitter
98160	99960	At PlutoCaustic
99960	100600	Et...
100600	101060	D'une chose
101060	102740	Et l'épisode
102740	104200	Le premier épisode
104200	104860	Qui s'appelait
104860	105660	De PlutoCaustic
105660	107480	Un dinosaure nommé Jean-Jacques
107480	107820	Je crois
107820	108600	Ah dis donc !
108600	110020	Bonne mémoire effectivement
110020	110720	Et sorti
110720	112020	Et donc c'est l'un an de PlutoCaustic
112020	113460	Et c'est pour ça qu'on ne pouvait pas
113460	115220	Après vous avoir fait tant attendre
115220	116260	Trop attendre pour la saison 2
116260	117440	Alors on enregistre le 13
117440	119080	Savoir que vu nos qualités de montage
119080	120160	Ça devrait sortir en 2022
120160	120620	C'est ça
120620	123260	C'est parti !
123260	123580	C'est...
123580	125080	Alors bon là t'as eu le temps de les préparer
125080	125460	Et tes sujets
125460	126120	Donc t'as des sujets
126120	127060	C'est à dire que j'ai pas
127060	129040	Si non
129040	130300	J'ai plus préparé
130300	131060	Mais j'ai pas
131060	133060	Ouais non
133060	135000	En fait j'ai pas masse de trucs
135000	137140	Non mais il y a eu 5 mois
137140	138300	Ouais mais 5 mois
138300	141000	Bah déjà ça filoche
141620	142500	Non mais ça filoche
142500	144220	Mais ça d'accord !
144220	144600	Attention
144600	145640	Non mais là dessus
145640	147000	Il a énormément plu
147000	149060	A torrent
149060	149540	Et à torrent
149540	151440	Ce qui moi me perturbe énormément
151440	152040	Parce que je comprends
152040	152780	Et également
152780	153700	Non je plaisante
153700	154280	Attends je vais plein de sujets
154280	154780	T'as des sujets
154780	156200	Oh là là tu m'as fait peur
156200	157340	Alors on va commencer tout de suite
157340	158020	Et très rapidement
158020	159260	Parce que comme tu le sais
159260	161060	Je suis un peu pressé ce soir
161060	162280	Et oui parce que ce soir
162280	162960	Vous regardez
162960	163720	Derrick
163720	164880	Je regarde Derrick
164880	166060	Avec ma compagne
166060	167060	Comme tous les lundis soir
167060	167920	Comme tous les lundis soir
167920	168920	C'est la dernière saison
168920	169300	C'est la dernière saison de Derrick
169300	170300	C'est là où Derrick
170300	171460	On va apprendre des choses
171460	172060	Il paraît
172060	173200	Sur son passé
173200	174720	Alors je vais commencer tout de suite
174720	175620	Par te mettre dans le bain
175620	176100	Avec
176100	177000	Déjà déjà moi
177000	177940	J'avais dit
177940	179900	Que je buvais pas la deuxième saison
179900	180880	Et bah tu m'as amené
180880	181600	Une bière
181600	182320	De marque
182320	183120	De marque
183120	183620	Je ne peux pas dire
183620	184960	Et bah je vais la boire
184960	185040	De marque faible
185040	185780	Je vais la boire
185780	187340	Oui c'est peut-être la pire bière
187340	188420	Non il y a pire
188420	190220	Mais bon on est pas sur quelque chose d'incroyable
190220	191820	Je vais commencer tout de suite
191820	192480	Par un petit quiz
192480	193660	C'est un quiz rapide
193660	194540	Ça va nous prendre 5 minutes
194540	194800	Oui c'est parti
194800	198100	Groupe de Frenchpop
198100	199260	Lesquels existent
199260	200260	Lesquels n'existent pas
200260	200920	D'accord
200920	201880	Petit fantôme
201880	202400	Existe
202400	203580	Vendredi sur mer
203580	204420	Pas existe
204420	205520	Faux ça existe
205520	207220	Oui et puis on dit existe pas
207220	207860	Papa existe
207860	209040	C'est quand on est un débile
209040	210200	Donc petit fantôme
210200	210720	Tu as raison
210720	212860	Donc petit fantôme
212860	213660	Existe
213660	214700	Vendredi sur mer
214700	215780	Existe
215780	217080	Est-ce qu'on peut dire
217080	218240	Dommage que ça existe
218240	219820	Mais ça veut dire que ça existe
219820	220420	Oui mais tu peux
220420	220960	T'as le droit
220960	222600	Alors je vais dire dommage que ça existe
222600	223140	Voyou
223140	224220	Existe
224220	225500	Petit croissant
225500	226900	Existe pas
226900	227700	Ah bien joué
227700	229120	Requin chagrin
229120	230080	Existe
230080	231040	Bagarre
231040	231940	Existe
231940	232960	Vilain vilain
232960	234320	Existe pas
234320	235420	Petit biscuit
235420	236300	Existe
236300	237420	Bleu toucan
237420	240400	Dommage que ça existe
240400	241080	Ouais bien joué
241080	241700	Petit rouge
241700	243080	Existe pas
243080	243920	Putain t'as tout bon
243920	245420	Oh la fin du jeu t'as tout bon
245420	246060	Incroyable
246060	247520	Je pensais que j'allais te piéger
247520	249220	Parce que je les connaissais quasiment pas
249220	250100	Mais bravo
250100	252660	Et bah moi c'est de
252660	255680	Realler sur la première page des Unrock
255680	257540	Et ne pas lire les articles
257540	259540	Mais quand même retenir quelques informations
259540	261940	J'y vais tous les jours pour me rappeler des trucs que j'ai pas envie de lire
261940	264480	Et alors on préfère Petit Fantôme ou Petit Biscuit ?
264480	266000	Mais attends pardon excuse moi
266000	269700	Mais il y a l'air d'avoir pas mal de phénomènes électropop
269700	271920	Qui déferle sur une vague
271920	272580	Tous
272580	275200	Attends je crois qu'ils déferlent tous sur la vague électropop du moment
275200	276680	Sur la vague indie pop même
276680	277080	Indie pop
277080	278960	Mais est-ce qu'ils déferlent sur cette vague ?
278960	279640	Ah ils déferlent
279640	280620	Un duo
280620	283440	Un duo savamment décalé
283440	283860	J'ai lu
283860	286440	Mais c'est des sensations du moment ou pas ?
286440	287700	Est-ce que c'est des sensations du moment ?
287700	289700	La plupart sont des sensations du moment
289700	290960	Parce que moi j'écoute en musique
290960	292760	J'écoute que des sensations du moment
292760	294540	Voilà c'était mon premier petit test
294540	294840	Parce que
294840	295200	Je suis
295200	296520	Fallait qu'on s'échauffe un petit peu
296520	298240	Je suis presque énervé d'avoir tout eu
298240	299500	Bah ça m'embête parce que
299500	300360	On dirait que je suis fan
300360	301620	Non mais c'est parce que je suis aussi teubé
301620	302960	C'est à dire que je mets 3 bons infos
302960	303680	3 bons infos
303680	304800	3 bons infos
304800	305760	Du coup forcément bah t'es
305760	307540	Je faisais ça dans les QCM
307540	308200	Quand je savais rien
308200	308920	J'ai essayé de
308920	310620	T'as déjà fait des QCM à l'école
310620	311740	A essayer de trouver
311740	315220	Au lieu d'essayer de réviser
315220	316660	J'ai essayé de trouver le pattern
316660	317880	Comme dans un jeu vidéo du prof
317880	318780	Ouais mais sauf que moi
318780	319780	J'ai toujours été bon en l'école
319780	324000	Alors
324000	324840	D'accord
324840	326700	T'as redoublé toi ?
326700	328260	T'as redoublé ta seconde
328260	328660	Super
328660	329820	Pardon
