start	end	text
0	2000	Zé Marny ? Zé Marny !
16000	18000	Rien à dire, c'est parfait.
18000	20000	Tu peux me répondre si tu veux.
20000	24000	Pas de problème, là, si je te donne un autre couplet ou si...
24000	25000	Ah non.
25000	29000	Moi je peux pas me permettre de chier comme ça sur Monsieur Eddy.
29000	33000	Et rapport à ça, est-ce que tu sais pour qui il a écrit, par exemple ?
33000	35000	Eddy Mitchell ? Sur la route de Memphis ?
35000	38000	Non, non, par exemple, pour qui lui il a écrit ?
38000	40000	On parle de Claude Moine ?
40000	41000	Je te parle de Claude Moine.
41000	43000	Non de naissance, Claude Moine. C'est bon, j'allais t'interroger là-dessus.
43000	45000	Ah bah t'inquiète, j'y connais.
45000	47000	Tu m'as l'air assez calé sur...
47000	49000	J'y connais, je m'y connais.
49000	51000	Pour qui il a écrit ? Il a écrit pour...
53000	55000	Bah je sais pas.
55000	57000	C'est ça ton problème, c'est que t'es crée.
57000	58000	Vas-y parce que...
58000	59000	J'en sais rien moi, je sais pas.
59000	61000	Ah t'es d'accord, y'a rien d'accord, allez générique.
61000	63000	1, 2, 3, calme.
63000	67000	Plutôt, plutôt costille.
67000	73000	On est plutôt, plutôt costille.
73000	76000	Je suis gentil.
76000	78000	Il est méchant.
78000	83000	On est plutôt costille.
83000	89000	Ah ouais, ouais, ouais, c'était blues, c'était autre chose.
89000	90000	Voilà, peut-être les gens sont dessus.
90000	91000	J'ai l'impression que vous êtes blues vous.
91000	92000	Moi je suis blues.
92000	93000	Moi je suis blues.
93000	94000	Moi je suis blues.
94000	96000	Vous sentez un peu cette souffrance d'un peuple quoi.
96000	97000	Et bah bienvenue dans ce...
97000	98000	Il y a plus de costumes, voilà.
98000	101000	Alors qui démarre vraiment moteur, là c'est parti.
101000	102000	Vitesse de croisière.
102000	103000	Moteur !
103000	105000	Épisode hommage à Jean-Pierre Mocky.
105000	106000	À Jean-Pierre Mocky.
106000	107000	Qui est mort hier.
107000	108000	Qui nous a quittés hier.
108000	109000	Alors, bon voilà.
109000	112000	Pardon, je trouve ça drôle parce que tout le monde partage ces histoires de moteur,
112000	115000	les streptease qu'il a fait, mais c'est quand même un mec qui a fait 100 films.
115000	116000	Voilà, 60 ans, 60 ans.
116000	119000	C'est pas qu'un tocard qu'il faut retrouver à crier moteur sur...
119000	120000	Bien sûr, bien sûr.
120000	121000	C'est l'histoire du cinéma aussi Jean-Pierre Mocky.
121000	122000	C'est vrai.
122000	123000	Mais bon voilà.
123000	126000	En même temps, moi j'en ai vu pas mal de ses films, je vous conseille pas.
126000	130000	De là à faire un Mockyverse, un passion Mocky.
130000	131000	Ah non, non, c'est impossible.
131000	132000	Je sais pas.
132000	136000	Par contre, hier j'ai vu du coup un extrait d'un de ses films que j'aimerais bien voir.
136000	137000	Ouais.
137000	140000	Où c'est des mecs de l'Assemblée nationale qui décident que rien marche alors qu'on va...
140000	142000	Moteur !
142000	144000	Oh putain, moteur !
144000	146000	Il est où ce con de Perchman ?
146000	148000	Et c'est quoi, c'est l'Assemblée nationale ?
148000	149000	Et en gros, il décide que rien ne marche.
149000	152000	Du coup, on va faire les ministres et...
152000	156000	Enfin, on va organiser les ministres et plus le ministre aura une grosse bite,
156000	157000	plus il aura un poste haut.
157000	158000	Donc la plus grosse bite.
158000	159000	D'accord.
159000	160000	Voilà.
160000	161000	Et à un moment, il y avait cette punch.
161000	164000	Y a rien qui a marché, la France sera gouvernée par des grosses bites.
164000	166000	Et on s'est dit, bon, ça va peut-être pas le coup une heure et demie,
166000	167000	mais il y a peut-être un film qui se cache derrière...
167000	168000	Ça se tense, pourquoi pas ?
168000	169000	Tu as le nom ?
169000	170000	Non, tu ne le disais plus ?
170000	172000	Bah non, non, parce que c'était un super mash-up de plein de films.
172000	173000	Ah oui, d'accord.
173000	175000	Bon, tapez, moquiez, grosse bite, et puis amusez-vous.
175000	176000	Oui, ça doit se trouver.
176000	177000	Ça doit se trouver.
177000	178000	Comment se passe votre été ?
178000	180000	C'est un jour dégueulasse aujourd'hui, les gens ne peuvent pas le voir à la radio,
180000	182000	mais c'est le premier jour dégueulasse de l'été peut-être.
182000	183000	Peut-être du mois d'août en tout cas.
183000	191000	Alors moi, personnellement, je vous avoue que n'étant pas particulièrement fan de grande chaleur,
191000	196000	je préfère un 25 degrés pluvieux à un 40 frappant.
196000	198000	Oui, en ce moment-là, il fait très chaud et très humide.
198000	199000	Mais en ce moment, c'est chiant.
199000	203000	Voilà, exactement, parce qu'aujourd'hui, il fait orageux, lourd, pesant.
203000	209000	Et donc, je n'avais pas particulièrement prévu de parler de la météo dans Plutôt Costi.
209000	211000	Mais je vois qu'elle m'aupèse.
211000	212000	Mais là, ouais.
212000	214000	Là, je dis merde.
214000	215000	Là, je dis stop.
215000	216000	Là, j'ai tapé du point sur la table.
216000	221000	Parce que tu vois, moi, je n'ai pas payé pour ce...
221000	222000	Déjà, vous n'avez pas payé.
222000	224000	Déjà, de base, je ne paie pas.
224000	225000	Payé, déjà ?
225000	226000	Je ne paie pas.
226000	232000	Mais tu vois, un printemps pourri, pluvieux, non-stop, un juillet caniculaire,
232000	236000	là, le mois d'août, la pluie et le chaud.
236000	237000	Oui.
237000	238000	Aujourd'hui, c'est pour événement.
238000	242000	On n'est plus que début août, on est mi-août.
242000	245000	On est 9, écoutez.
245000	246000	Écoutez.
246000	247000	Bah alors ?
247000	248000	Écoutez, oui, oui, vous avez raison.
248000	249000	Non, je me vois le 14.
249000	250000	Bah ouais, je me vois le 14.
250000	252000	Et alors, voilà, donc des vacances.
252000	255000	Moi, mes vacances n'ont pas encore commencé finalement.
255000	256000	Ce n'est pas des vacances.
256000	258000	Les vacances commenceront d'ici quelques semaines.
258000	259000	En revanche.
259000	260000	En revanche.
260000	266000	Je veux dire que vous, vous avez eu droit à un été déjà riche en émotions.
266000	269000	Je suis déjà allé à Montréal, effectivement.
269000	270000	Et je n'ai ramené aucun accent.
270000	271000	Je ne tente pas de faire l'accent.
271000	272000	C'est vrai.
272000	273000	Et tant mieux.
273000	274000	Et tant mieux pour eux.
274000	278000	Même si j'ai bien rigolé, puisque effectivement, si vous vous dites, ah, est-ce qu'ils disent
278000	279000	des mots marrants ?
279000	280000	Oui.
280000	281000	Tout le temps.
281000	284000	Ils disent croustillé pour crackers, ce qui me fait hurler de rire.
284000	285000	D'accord.
285000	287000	Ils disent, le lait, la marque du lait, ça s'appelle le Quai bon.
287000	289000	Parce qu'il est bon, en fait, sûrement.
289000	290000	C'est du Quai bon, quoi.
290000	292000	C'est triste ou c'est pas triste ?
292000	294000	Ça me faisait rire, moi, en tout cas.
294000	295000	C'est assez drôle d'être à New York.
295000	297000	En fait, ça ressemble à New York.
297000	300000	Mais les gens parlent français comme ça, ce français bizarre.
300000	302000	J'ai trouvé ça exceptionnel.
302000	303000	Écoutez, Montréal.
303000	304000	C'est vrai que c'était une belle vue.
304000	305000	Tout m'a plu.
305000	306000	Tout m'a plu.
