start	end	text
0	2340	Je crois que c'est parti.
2480	3000	C'est parti.
3180	5040	Alors, vraiment, j'ai bien réfléchi.
5160	5320	Ouais.
5680	8980	Donc, je ne t'insulterai plus en chanson.
9060	10540	C'est sympa, parce que de toute façon, la dernière fois,
10700	11720	vu que c'est moi qui ai fait le montage,
11880	14100	j'ai coupé à peu près tous les moments où tu m'insultais.
14240	14420	Oui.
14920	16380	Je suis encore capable de le faire cette semaine.
16680	18340	Donc, je n'insulterai plus en chanson.
18900	20800	Je t'insulterai en musique de film.
21360	21560	Ah.
22180	22720	Bon, ça change.
24220	27580	Clément est un connard, un beau connard.
27580	28040	C'est un quiz.
28360	29300	Est-ce que c'est un quiz ?
29300	29800	C'est un quiz.
29900	30660	Ok, vas-y, d'accord.
32360	33220	Ah, j'avais qu'une musique de film.
33560	37140	Ah, tu peux contre-attaquer en m'insultant avec une musique de film.
37160	37880	Ah, mais moi, je refuse de t'insulter.
37980	40020	Non, mais tu as une culture sinoche, tu as une culture péloche.
40520	41080	Bon, vite fait.
41440	41660	Allez.
43340	43620	Ok.
45200	47180	Urbain, sale, grosse merde,
47420	49800	t'es qu'un sac à foutre,
49900	51400	t'es qu'une merde,
51760	54080	une sourasse.
56480	57420	Ah, Jurassic Park.
57460	58080	Oui, bien joué.
58080	59020	Bien joué, bien joué.
59300	61300	Je m'excuse pour sourasse.
61480	62480	Je n'utilise jamais ça.
62860	63520	Je n'y crois pas.
63620	64680	Oui, il n'y a pas de race.
64720	65740	À part celle qu'on se met.
66040	67120	Le samedi soir
67120	68540	et le jeudi soir
68540	69640	et le mercredi
69640	70260	car je suis
70260	71700	alcoolique.
72500	73560	Et c'est un vrai problème.
73720	74000	Ouais, ouais.
75640	76500	En parlant de ça,
76560	78060	j'ai ramené des petits cadeaux.
78200	79500	Ah, des petites milliardistes.
80060	80520	Ah, oh là là.
80980	82040	Cet épisode, attention,
82460	83420	ce sera un tour de France.
84060	84400	Oh là là.
84400	85820	J'ai un petit...
85820	86360	Vas-y, on va...
86360	86820	Alors, attends.
87000	88360	Bon, attends, je t'en fais une dernière.
88660	89080	Voilà, voilà.
90780	91500	Clémentin con,
91900	92680	un connard.
93780	94660	Clémentin con,
94900	96240	c'est un putain.
96240	96980	C'est là qu'on voit
96980	98460	que notre culture cinématographique
98460	100160	est proche de celle
100160	101020	de Thibaut InShape.
101480	102140	À savoir,
102400	103040	on connaît,
103540	103940	finalement,
104320	105720	les classiques hollywoodiens.
106580	107420	Non, mais c'est les B.O.
107420	108220	Tu n'as pas fait la musique
108220	109120	d'un Romère, par exemple.
109220	109540	T'aurais pu.
109660	110340	Non, mais parce que
110340	111240	personne n'aurait reconnu.
111860	112480	Mais je peux te faire
112480	113000	un film français.
113140	113680	Je peux te faire...
113680	116080	Tiens, fais-moi le...
116080	117440	celui qui a donné
117440	118500	la version ragale.
119620	119900	Ah oui,
119960	120580	le Soupo Chou ?
