start	end	text
0	3000	1 1
3000	5120	Zébardie
5120	7080	Zébardie
7080	8340	Zébardie
8340	9800	C'est parti, oui
9800	11500	Bon ben on y arrive, finalement
11500	13180	Ohlala, quelle galère
13180	17540	Soutien aux cheminots
17540	19460	Soutien aux cheminots
19460	20420	100%
20420	22840	Et ça c'est ce que je disais il y a 10 jours
22840	26240	Parce que là, on est sur un soutien
26240	27820	Soutien
27820	29560	Mais moyen
29560	33300	On est sur, je pense, une de nos plus grosses épreuves
33300	35120	Ah ben là, c'est la plus longue
35120	37640	C'est-à-dire que nous, si on fait la grève, tout le monde s'en branle
37640	39320	Ben d'ailleurs, on l'a fait
39320	41140	On ne dérange personne
41140	43260	Mais on doit soutenir
43260	45360	T'inquiète, il y en a qui sont contents
45360	47700	Parce que là, pendant 15 jours
47700	49200	Ce qui aurait pu faire basculer le mouvement
49200	49940	C'est peut-être
49940	53200	C'est peut-être ce qu'on aurait balancé
53200	54620	Dans le micro, dans le chromique
54620	55240	Ah tu crois ?
55240	59000	Là, on serait pas à 800 000 dans la rue
59000	59900	Si on avait commencé à gueuler
59900	60800	Si on avait commencé à parler
60800	62900	Écoute
62900	64260	Générique
64260	64780	Générique
64780	66520	Parce que j'en peux plus de toute cette merde
66520	66840	Vas-y
66840	68220	3, 4
68220	69420	Plutôt
69420	70860	Plutôt caustique
70860	72120	On est plutôt
72120	73620	Plutôt caustique
73620	74340	Je suis gentil
74340	75040	Il est mégent
75040	76720	On est plutôt caustique
76720	78320	Alors tu sais quoi ?
78320	80340	Je trouvais que quand j'ai trouvé le nom Plutôt caustique
80340	81400	Je sais pas, il m'a apparu comme ça
81400	82500	Je ne sais même pas comment il m'a apparu
82500	83340	J'ai trouvé ça rigolo
83340	84200	Et au final
84200	86640	Au niveau de la sémantique
86640	88020	Caustique
88020	89380	C'est rugueux
89380	89980	Dur sur l'oeuvre
89980	91680	On va dire des trucs un petit peu qui
91680	93200	Qui grincent
93200	93900	On a jamais trop déçu
93900	94940	On a jamais trop fait
94940	96000	Mais là
96000	98060	Vu ce qu'on va balancer sur ma crotte
98060	99340	Ah bah alors là
99340	99720	Micron
99720	101080	Et là on va changer
101080	102520	Et je vais te dire que le podcast
102520	102980	Il s'appelle
102980	104300	Carrément
104300	105500	Carrément caustique
105500	107320	On est carrément
107320	108440	Carrément caustique
108440	110120	Il va en prendre plein sa gueule
110120	111500	Lui et la Brigitte
111500	111900	Ouais
111900	113660	Alors je me suis promis
113660	115600	Au jour de l'élection
115600	116060	Même avant
116060	117040	Je ne veux jamais faire de blagues
117040	117720	Sur Brigitte Macron
117720	118420	Et pour l'instant
118420	118940	Je sais parce que
118940	119880	Je sais que tu aimes
119880	121120	Faire l'amour à des vieilles dames
121120	121800	Il y a deux
121800	123760	Définitions
123760	125620	Du mot caustique
125620	126520	Qui sont très intéressantes
126520	127280	Parce que les deux
127280	128820	Rentrent en résonance
128820	129760	Avec notre podcast
129760	131500	La première
131500	133500	Qui n'est pas la plus évidente
133500	134520	Mais qui est celle au figuré
134520	135280	C'est qui attaque
135280	137200	Blesse par la moquerie
137200	137820	Et la satire
137820	139320	Avoir l'esprit caustique
139320	140200	En fait
140200	141100	Mais la première
141100	142740	Et là
142740	143660	Tu vas voir pourquoi
143660	145280	Qui désorganise
145280	146100	Qui brûle
146100	147380	Les tissus animaux
147380	148180	Et végétaux
148180	148500	Ah
148500	149580	Et là c'est Antéros
149580	150040	Qui surges
150040	150760	Là c'est du siébert
150760	152060	Non mais comme quoi
152060	153200	Donc peut-être
153200	154060	Qu'on a mal choisi notre nom
154060	154500	Parce que nous
154500	154900	Notre but
154900	155300	Finalement
155300	156300	C'est pas tant la moquerie
156300	157320	On s'est pas tant moqués
157320	159220	Dans ce podcast
159220	160140	Ouais notre but
160140	161180	Nous c'est de se marrer
161180	162540	On se marrer
162540	164080	Plutôt mordant
164080	165780	Que plutôt caustique
165780	166440	Est-ce que finalement
166440	167160	Ce serait pas
167160	169160	Lors d'une saison 3
169160	170520	Plutôt mordant
170520	170980	Ouais c'est vrai
170980	171500	Que c'est un peu nul
171500	171800	Mais
171800	173100	Plutôt
173100	174440	Plutôt mordant
174440	174680	Non
174680	176680	Les morditos
176680	177300	On dirait
177300	178120	Les costicos
178120	179840	Bon alors
179840	180740	Je te demande pas
180740	181240	Comment ça va
181240	181980	Je sais que ça va pas
181980	182380	Moi non plus
182380	182880	Ça va pas
182880	183860	Moi je suis fatigué
183860	184820	Moi je suis
184820	187380	Je roule sur des vapeurs d'essence
187380	188260	Je suis à bout
188260	189120	Il y a des yeux qui brillent
189120	189920	Il y a rien
189920	190460	Je suis à bout
190460	191260	Zéro énergie
191260	192580	On est désolé de ne pas avoir enregistré
192580	192900	Vraiment
192900	193280	En fait
193280	194360	On n'arrivait même pas
194360	195400	A arriver au bureau
195400	196900	On n'arrivait pas
196900	197700	Donc arriver à se retrouver
197700	198180	Dans la même pièce
198180	198720	Parce qu'en fait
198720	200180	Sans rire
200180	200680	Et vraiment
200680	202060	Soutien à nos grévistes
202060	203080	Soutien aux grévistes
203080	204180	Soutien aux cheminots
204180	204620	Alors là
204620	206360	Indespectible
206360	207180	Soutien
207180	208060	Indestructible
208060	209060	Pour tout
209060	209620	J'ai eu peur
209620	210640	J'ai eu peur que vous flanchiez
210640	211180	Non non non
211180	212040	Je te dis autant
212040	212920	Mais
212920	213640	Mais
213640	215300	C'est l'enfer
215300	216080	Depuis 15h
216080	216900	C'est l'enfer
216900	217680	Vraiment
217680	220020	Les gens loin de Paris
220020	221420	Ne se rendent pas compte
221420	222560	Et surtout pour moi ça va
222560	224240	Je suis à 40 minutes du boulot
