start	end	text
0	4540	C'est fou, c'est fou, faut que je te dise un truc qui est fou.
4760	5600	Ouais, qu'est-ce qui est fou ?
5600	6400	Tu sais ce qui est fou ?
6400	6580	Ouais.
7040	7820	Tu sais ce qui est fou ?
7820	8020	Non.
8660	11360	Les cheminots ont plus ou moins arrêté la grève.
11540	11940	Ouais.
12380	17720	Et moi, pourtant, mon soutien n'a pas bougé.
17880	18740	Oh !
18740	20400	Indéfectible !
20400	21880	Et alors qu'il y a plus de...
21880	25940	Est-ce que tu crois que tu vas soutenir les cheminots jusqu'à ta mort ?
25940	27120	Même peut-être qu'un jour, il n'y aura plus de train,
27120	29500	on aura découvert un...
29500	31420	Peut-être qu'il n'y aura plus de cheminots, tu vois ?
31420	31820	Ah ben non mais...
31820	34080	On voyagera en, je ne sais pas, en tube volant.
34100	35140	Je soutiendrai les cheminots.
35820	38180	Tu te rends compte que moi, fan de science-fiction,
38320	41680	ma seule idée du futur, c'est voyager dans des tubes volants.
41960	42220	Ah ouais.
42600	43660	Je ne sais même pas ce que c'est un tube volant.
43680	45540	Après, le futur, peu importe ce que c'est en France,
45620	48120	il faut savoir qu'en France...
48680	50740	En France, quoi ? Quoi en France ?
50740	51480	Il y a des problèmes en France.
51480	52480	Il y aura des grèves de fusées.
52620	56280	Il faut le savoir, on sera le seul pays qui fera des grèves de fusées.
56280	57200	Mais c'est normal.
57420	59980	Et c'est tant mieux, parce qu'on a des droits intergalactiques à défendre.
60000	65160	Si le cyborg Macron, parce que ma vision du futur, c'est un cyborg Macron.
65260	65520	Évidemment.
65940	69120	Si le cyborg Macron veut toucher aux retraites des spationautes,
69260	69700	eh ben...
69700	72460	Eh ben ça, nous et les camarades, on ne laissera pas faire.
73060	74060	Que ce soit clair.
74180	74920	C'est clair ou pas ?
74920	78280	Soutien ! Soutien ! Soutien !
78280	79000	C'est très bien.
79000	80860	Notre soutien est ce qu'il est.
80960	81100	Ouais.
82000	84120	Il est indéfectible.
84120	86080	Il est total.
86620	88280	Il est entier.
88500	88780	Entier.
89320	89460	Ouais.
89780	90460	Ça, c'est sûr.
90480	90820	C'est sûr.
90820	91360	Mais les gens...
91360	91800	Après, voilà.
91900	92640	Après, on passe à autre chose.
92760	92940	Voilà.
93320	94080	Générique, si tu veux.
94800	96020	Par contre, générique.
96360	98440	Mais je chantais avec la voix du mec de France 2.
98540	99420	Alors, tu sais quoi ?
99420	100640	Tu sais quoi, c'est parti.
100860	101420	Tu sais quoi ?
101420	103600	Pluton.
104220	104580	Pluton.
104580	104620	Pluton.
104620	104740	Pluton.
107060	107500	Pluton.
107500	107620	Pluton.
107620	107860	Pluton.
108020	109440	On est méchant.
109900	110460	Pluton.
110460	110500	Pluton.
110500	110580	Pluton.
110580	110900	Pluton.
111500	112740	Alors, comment ça va ?
112740	116060	Non, mais ton bousin de ta machine, ça marche ?
116060	116880	Non, bah écoute, moi, ça va.
116940	117300	Oui, c'est bon.
118020	119000	Pourquoi tu n'arrives pas ?
119000	119800	Pourquoi tu n'arrives pas ?
119800	120740	Ça va.
121280	122060	Ça roule, ça roule.
122420	123100	On est sous ma crotte.
123240	124260	On est encore sous ma crotte.
124360	124680	C'est sûr.
124740	125880	Mais bon, on ne va pas se laisser abattre.
127500	127820	Urbain.
127940	128180	Oui.
129300	130300	Je suis en vacances ce soir.
130300	131160	Wow, magnifique.
131540	134220	Est-ce que vous êtes autant à bout qu'avant vos dernières vacances ?
134220	136400	Finalement, pour un mec à bout, vous partez souvent.
136560	138540	En final, à Noël, vous n'avez pas eu de vacances.
138780	139280	Donc là, vous partez.
139300	139400	Pas de temps.
140320	141260	Donc là, je pars en vraies vacances.
141600	142840	Vous partez où ?
142840	143480	En Martinique.
143640	144380	En Martinique.
144480	144600	Oui.
145060	145340	Bravo.
145820	146440	Donc finalement, je ne dis pas la France.
146440	148620	Il y a des gens qui disent Martinique, qui ne le disent pas comme ça, par exemple.
148720	148980	Ah bon ?
148980	150980	Il y a des gens un petit peu en France.
151380	152300	Ils disent Martinique.
152780	154920	Alors, je n'imiterai pas l'imitation.
155440	156320	Comment vous voulez la dire ?
156320	159500	Non, mais il y a des gens qui le disent peut-être avec un accent un peu.
160380	160720	Ah bon ?
160720	161700	Oui, il y a des gens qui...
161700	162320	Un accent quoi ?
162320	163960	Non, mais je ne dirai pas.
164280	165940	Tu sais qu'on a essayé de me piéger toute la semaine.
166100	166260	Oui.
166620	167400	Vous partez où ?
167400	168000	En Martinique.
168080	170400	Et on a envie de dire...
170400	171620	Martinique ?
171620	171940	Mais...
171940	172560	Non, mais je ne le ferai pas.
172720	173840	Je ne tomberai pas dans ce piège.
174100	174380	Bravo.
174500	175040	C'est trop facile.
175140	175580	Bien joué.
175900	178340	Toujours est-il qu'on se devait du coup d'enregistrer maintenant.
178700	181220	Alors qu'on a peut-être des auditeurs en Martinique, qui je le rappelle, est francophone.
181220	183180	Ah oui, c'est vrai, mais ils ne le sauront qu'après.
183180	183440	Oui.
185000	186380	Après, tu pourrais te balader avec un t-shirt plutôt costif.
186380	186580	Pendant.
186780	188280	Si tu fais le montage pendant...
188280	188920	Ah, mais je le ferai pendant.
189260	190880	Ah, il y a des chances qu'ils...
190880	194040	Ils vont être gâtés parce qu'ils ne le savent pas encore, mais ils ont un plutôt costif...
194040	195920	Il ne faut pas leur dire parce que j'ai quand même deux épisodes à monter.
196080	197900	Non, mais je ne sais pas en combien de temps je le ferai.
197980	199740	Tu crois que le Passion Cluset va sortir avant ou après ?
199740	201000	Non, je pense que je vais peut-être monter celui-là avant.
201120	202380	Ah merde, bon, là du coup, je les ai spoilés.
202400	203680	Et les prochains épisodes, c'est un Passion Cluset.
203740	204460	Je peux le dire, je peux le dire.
204480	204940	Oui, tu peux le dire.
204940	208320	Je sais que tu as plein de sujets et que c'est vrai.
208700	209780	Mais avant, moi, j'en ai un petit.
209900	214380	Oui, alors ce que je voudrais dire, justement, une personne que j'estime énormément...
214380	215000	Alberto ?
215000	215720	Un breton.
