start	end	text
0	5180	Et pourquoi pas ? Et pourquoi pas ?
5180	8000	On est confiné ?
9200	10620	Appelons Paris 20.
11680	13120	Je ne doute pas qu'il soit confiné aussi.
15560	18000	Ça sonne !
20680	27000	Bonsoir !
30000	31840	Qu'est-ce qu'il y a ?
31840	33020	Est-ce qu'il m'entend ?
33020	34120	Je vous entends très bien.
34260	35220	C'est bon, c'est bon.
36120	37380	Ça va putain ?
37380	38560	Oui ?
38560	42100	Là je peux te dire sacré jour 50.
42640	43980	C'est terrible ce que vous...
43980	45020	C'est terrible.
45180	46100	Terrible, terrible.
46480	48180	Des mots qui font...
48180	48720	Terrible.
49440	50540	Je ne sais pas pourquoi.
51460	55160	J'avais ta voix dans la tête toute la journée qui disait...
55160	56860	Il est terrible ce constat.
57160	57720	C'est terrible.
58460	59260	Terrible ce mot.
59260	61660	Je ne sais pas d'où tu l'as sorti cette expression.
63600	67100	Mais il y a un épisode particulier ?
67100	67880	Je ne sais pas.
68000	68680	J'ai l'impression que ça...
68680	69960	J'ai l'impression que je le dis tout le temps en fait.
70100	70700	C'est ça.
70980	71560	Aïe !
71560	72080	C'est terrible.
72560	73100	Aïe !
73100	74580	Terrible comme constat.
75580	78100	C'est le truc des journalistes de France 2,
78360	79460	quelqu'un qui annonce un truc.
80100	80440	Ah oui.
81120	83060	Ils sont terribles ces mots.
83720	84120	Terribles.
84180	84940	C'est de la housse.
84940	87340	C'est de la housse qui dit ça.
87720	88760	Tu vois ?
88760	89480	Ah oui, je vois.
89720	92520	C'est terrible comme constat ce que vous êtes en train de faire.
92680	94580	C'est un constat terrible.
96240	99340	Et là, c'est vrai que quand j'ai vu mon partenaire,
99440	103280	je me suis dit tiens, j'ai envie de lui manger le plexus.
103280	104420	Ah oui.
104420	107580	Mais dis donc, Valérie, c'est terrible ce que vous nous dites là.
107780	108780	Il est terrible le constat.
109420	109700	Ah oui.
110040	111720	Bon, comment vas-tu ?
111720	112920	Je suis...
112920	114920	Je trouve que physiquement, je suis de la merde.
115820	119320	J'alterne entre énormément de fintigues,
119440	120860	des fringales monstrueuses.
121600	122040	Là, par exemple...
122040	126800	On est toujours cette histoire de jeûne qui est difficile à suivre.
126920	128020	Qui ne sert à rien.
128560	130520	Oui, je pense que je vais reprendre un rythme normal.
130520	133120	Parce que là, vraiment, avant de manger,
133220	135020	à chaque fois avant de manger, je suis vraiment...
135020	137060	Mais c'est terrible le constat.
137080	137400	Terrible.
137560	138440	Dans mon corps.
139020	139380	Terrible.
139980	142240	Et non, non, mais là, je suis affamé.
142720	143080	Affamé.
143460	144340	Non, mais ça ne m'étonne pas.
144540	146700	Ce n'est pas bien de...
146700	149060	Moi, je vois, par exemple, je me lève.
149560	152360	Si je boufferais bien jusqu'à 13 heures, je ne suis pas bien.
153020	154060	Ce n'est pas humain de faire ça.
154140	155420	Oui, mais après, je me disais...
155420	156220	Bon, je vais m'en...
156220	157120	Mais non, mais non, je ne sais pas.
157200	157740	J'ai faim tout le temps.
157840	158260	C'est de la merde.
158400	158860	Je vais arrêter.
159600	159960	Bon.
159960	163040	Écoute, déjà, si tu prends cette résolution-là, c'est bien.
163340	165540	On est déjà sur un plus.
165920	166240	Oui, oui.
166360	169100	De toute façon, le constat terrible de la balance,
169240	170700	parce que la balance est arrivée,
170880	172580	et puis j'ai pu changer la pile,
172700	175960	et le constat de stagnation...
175960	177860	Oui, mais on en a déjà parlé.
177980	179460	Moi, je pense que la stagnation, ce n'est pas un mal.
179980	181160	Ce n'est pas forcément un mal,
181240	183960	mais quand même, vu les efforts...
184500	185660	Bon, il n'y avait pas eu vraiment d'efforts.
185660	186660	J'estimais...
186660	187380	J'estimais...
187380	190080	Je pensais avoir trouvé la clé, quoi.
190420	192160	À savoir, je me prive de petits déjeuners,
192760	193260	et je...
193260	194400	Finalement, ce n'est pas ça, quoi.
194480	196280	Tout ce qu'il y a dans une épicerie fine.
196500	196640	Voilà.
197800	197980	Voilà.
198880	200720	Peut-être que les cassoulet en boîte,
200820	201860	et tous ces trucs-là,
201940	203240	ne sont pas forcément...
203240	203400	Voilà.
203520	206080	Ce n'est peut-être pas normal d'aller au rayon épicerie fine
206080	208600	sur un site internet,
208960	210620	et de commander tout.
211160	211280	Voilà.
211460	212740	Peut-être que l'obsure,
212800	214580	je n'aurais peut-être pas dû cocher tout.
215200	215280	Voilà.
215340	216340	Et en même temps, tu vois,
217020	219040	il y a quand même un truc où là,
219740	221080	sans être allé dans tout ça,
221440	222400	tous les restos et tout,
222800	225400	la bonne bouffe manque un petit peu,
226000	226980	et je pense que beaucoup de gens
226980	228920	vont faire des rasiats en sortant de confinement.
229620	231340	Ce que toi, ce quoi, tu ne vas pas faire,
231340	233640	étant donné que tu es déjà allé à l'épicerie fine.
233760	234080	Tu vois ce que je veux dire ?
234080	234780	C'est vrai, c'est vrai.
235380	237120	Donc peut-être que par rapport à la prise de poids
237120	238360	de l'intégralité des Français,
239240	239740	eh bien, tu es bien.
240180	241720	Parce que je pense que beaucoup de gens vont grossir.
242500	244580	Beaucoup de gens vont grossir ?
244580	245340	Ah ben, c'est évident.
246260	247460	Personne marche, tout le monde bouffe.
247760	248920	Tout le monde va être gros en sortant.
249240	250660	Il est terrible, votre constat.
250660	250940	Terrible.
253940	255340	Des mots...
255340	256540	Terribles.
258840	259720	Non, mais je pense.
259940	260280	Je pense.
260380	261220	Excuse-moi, mais je pense.
261340	262180	Non, non, mais...
262180	264280	Je pense aussi que c'est peut-être dommage
264280	266220	d'arrêter en si bon chemin.
266420	268180	Si tu as tenu, quoi, deux mois ?
268180	269480	Non, non, mais j'arrête.
269480	270080	J'arrête, j'arrête.
271040	271500	J'arrête tout.
272040	272420	J'arrête tout.
272800	273480	Écoute, écoute.
273540	275440	Si c'est comme ça, moi, il n'y a pas de...
275440	276760	Là, je voulais me mettre un petit coup de blanc.
276920	277560	J'ai mal à la tête.
277640	278920	J'ai tellement faim que j'ai mal à la tête.
279040	279840	Tès que je me mets un coup de blanc, j'ai mal.
279840	280800	Ben oui, mais non, mais c'est pas...
280800	281740	Mais il faut manger, attends.
281960	282280	Oh là là.
282760	283920	Mais non, mais je ne comprends pas.
283920	284600	Je ne comprends pas.
284680	286000	Parce que j'ai bien mangé à 13h.
286280	286820	Bon, mais ce n'est pas grave.
286920	287340	Ce n'est pas grave.
287640	287780	Écoute.
287780	289360	Alors, il y a peut-être des écrans également.
290580	291620	Non, les écrans.
291720	292500	On n'y pense pas à ça.
293320	294300	Des écrans, oui, oui.
294360	294860	Des écrans, oui.
295480	298920	Au final, mes moments sans écran dans la journée sont...
298920	299920	Parce que même...
300440	300800	Sont rares.
300980	302680	Même les bons bouquins, je les lis sur Kindle.
303340	303800	Ben, c'est ça.
304420	306920	Après, sur Kindle, ça compte comme écran ?
306920	308920	Ben, écoute, je ne sais pas parce que...
309520	311760	Moi, j'ai un Kindle qui doit avoir 11 ans
