start	end	text
0	15000	Allez, c'est parti pour la décon finale ! La décon finale ! Comment ça se danse ? D'abord on est à poids là, après...
15720	26800	Allo zone verte ? Allo zone orangée j'ai envie de dire... Et oui ! C'est fini la zone rouge, je suis zone orange !
26800	33800	Vous êtes plus rouge du tout là ? Ah, peut-être encore aujourd'hui, mais d'ici quelques jours c'est fini, ce sera qu'un mauvais souvenir !
34260	46580	Ah, c'est vrai ? Ou si mauvais que ça ? Non, pas du tout, pas du tout, c'est d'ailleurs avec tristesse que je vois le rouge s'éloigner et les parcs rouvrir !
46580	53620	Peut-être le rouge des coups de soleil va revenir ? C'est le rouge, oui, tu sais ce que c'est le rouge !
53620	61620	Le rouge c'est la couleur du sang, la couleur des indiens, et qui dit 20, dit pot de 20, parce que tout ça c'est magouille et compagnie !
62460	70620	Ils avaient prévu de faire une allée de cerisiers du Japon ! Est-ce que tu crois qu'ils l'ont fait Rémi ? Est-ce que tu crois qu'ils l'ont fait ?
70620	71440	Non ? Non ?
71440	75440	Si, ils l'ont fait ! Mais ils se sont arrêtés là ! C'est ça le problème !
76040	77140	Oh, vous le faites bien !
77140	79720	Les amateurs reconnaissent...
79720	82660	De cinéma, du plein pays !
82660	85440	Un air de famille, magnifique comédie !
85700	91440	Non, Man Bites Dog, c'est arrivé près de chez vous ?
92120	92440	Exactement !
92440	97380	La scène de viol la plus marrante de l'histoire du cinéma !
97380	102760	Il faut dire que généralement, les scènes de viol, le ciné, ne sont pas si drôles !
102760	107880	La plupart des scènes de viol, c'est là, ah, trop relou ! Il force la meuf, elle n'est pas contente !
107880	114440	Alors que là, il y a un côté gaudriol qui rend la scène de viol un peu plus sympa !
114440	116440	C'est...
116440	119440	Si je ne me trompe pas...
119980	125340	Avec le mec qui termine dans l'évier, la fin de cette scène !
125340	128380	J'ai cette image de mec décapité !
128380	129600	C'est horrible !
129600	131040	C'est une beuverie horrible !
131040	133440	En vrai, ce film, moi, je ne le trouve pas marrant !
134180	135200	Il me fait rire !
135200	137440	Mais si je regarde, il me fait rire !
137440	140700	Alors, Urbain, je vais t'interrompre tout de suite !
140700	142160	C'est normal, c'était chiant !
142160	143840	Car j'ai un flash info !
143840	144600	Flash info !
144600	146020	Guy Bedos est mort !
146020	147300	Non !
147300	151180	Voilà, Guy Bedos nous a quittés, il avait 85 ans !
151180	151940	Ah, merde !
151940	154780	Voilà, je vous l'apprends en direct !
154780	156100	Putain !
156100	156780	Adios !
156780	157540	Adios !
157540	160760	C'est con pour Nicolas Bedos, qui avait déjà tout donné
160760	168400	au niveau de l'hommage pour son parrain d'Abadi, qui est mort !
168400	170820	Ah, c'était son parrain ?
170820	173080	Il l'appelait son parrain, mais je pense que c'était vraiment son parrain,
173080	175020	parce qu'il écrivait les films où il y avait son père !
175020	178260	Coup dur pour Nicolas Bedos, là, qui perd...
179140	181040	Sur coup, deux figures importantes !
181040	181420	Ouais !
181420	182800	Putain, le Guy, quoi !
182800	184580	Et en même temps, le Guy, je trouve qu'il avait bien tenu,
184640	186260	parce qu'il avait quand même plus de voix depuis...
187100	188500	Enfin, il était vieux depuis...
188500	189760	Il a toujours été vieux, quoi !
189760	192080	Il était vieux depuis 15-20 ans, ouais !
192080	196720	Donc, il était plus vieux que 85 ans !
196720	199780	Bah écoutez, Guy Bedos, ça vous inspire ?
199780	203380	J'avoue que moi, j'aime bien le mec, mais pas trop ce qu'il faisait !
203380	205380	Non, pas du tout, moi, ça m'inspire pas du tout !
206440	207380	J'avoue que...
