start	end	text
0	2000	Musique
30000	48760	Oh là là, je vous vois en vrai.
49120	50120	Vous vous êtes ?
50120	51240	Alors déjà, bravo.
51260	52340	Bravo d'être vivant.
52580	54680	Pas pour longtemps, j'ai un petit tout, je ne suis pas bien.
54800	55760	Ah oui, mais vous avez...
55760	56280	Je ne pensais pas...
56280	56940	Je vais me laver les mains.
57280	57480	Vas-y.
57840	58200	Attendez.
58260	58580	C'est important.
58580	61560	On reprend les bonnes habitudes du dernier épisode qu'on a fait ensemble.
62320	62880	C'est bien.
63480	66420	Je peux vous le dire maintenant, je ne pensais pas que vous auriez tenu aussi longtemps.
66520	67400	Ah, c'est...
67400	68560	Mais physiquement, j'ai...
68560	70500	Je pensais que vous alliez vous effondrer assez vite.
70520	71300	Physiquement, j'ai morflé quand même.
71780	72500	Ça va, je trouve.
72840	74220	J'avais une bonne barbe, des bons cheveux.
74580	75500	Je ressens la dernière 16.
75920	76580	Après un show.
77200	78480	Déjà, avant un show, il n'est pas bien.
78660	79260	En 2019.
81820	84040	Quel meilleur retrouvaille qu'un passion inclusé ?
84040	88440	J'allais dire, vraiment, vous vous êtes vraiment arrachés sur ce générique.
88720	88920	Un.
89280	89800	Hein ?
89800	91960	En fait, je l'oublie systématiquement.
92120	92180	À chaque fois.
92180	93520	Et à chaque fois, je me dis, mais qui est des bons.
93540	97040	Et là encore, vous ne l'avez pas entendu, peut-être même que je vais en rajouter d'ici
97040	97360	le montant.
97400	98180	En refaire un nouveau ?
98180	100300	Imagine ce que tu vas prendre dans la gueule.
100460	101000	Je ne suis pas prêt.
101320	102140	Je vais m'en prendre plein la gueule.
102440	103080	Passion inclusée.
103380	104020	Quatrième épisode.
104240	104920	On pense...
104920	105620	Qui l'eût cru ?
105620	106320	Qui l'eût cru ?
106320	106980	Pas nous.
106980	112460	Mais bon, je crois que la régularité qu'on a retrouvée pendant ce confinement...
112460	113840	Un nouveau souffle ?
113840	114260	Clairement.
114560	116360	Et du souffle, il va falloir en parler aujourd'hui.
116380	116700	Oh putain.
116700	120660	J'avais même une autre façon d'introduire, un peu pourri.
121780	123360	Aujourd'hui, c'est un peu canicule.
123560	124020	Il fait chaud.
124620	125380	On a envie de frais.
126020	127020	On a envie de mer.
127980	129080	On a envie de prendre le large.
129800	130400	En solitaire.
130800	132340	Avec vous, mais en solitaire.
132980	138900	Nous allons parler du célèbre film de Christophe Offenstein que personne ne connaît.
139280	141460	Là, parce que je l'ai dit sur nous, vous avez dit mais je ne le connais pas.
141460	142380	C'est normal.
143400	144420	En solitaire.
146320	148360	Sorti en 2013.
148540	148880	En 2013.
149260	152700	Quelque chose qu'on voulait faire depuis longtemps parce qu'il y a François Cluzet.
153680	155400	Alors, un film qui s'appelle En solitaire.
155940	157460	Et avec François Cluzet, on se dit...
158060	159980	On va avoir une donne.
160000	161420	Pour un passion Cluzet, c'est peut-être le...
161420	162140	Une dose de Cluzet.
162760	163620	Bon, assez géante.
164060	164940	Alors, je vous présente le film.
165020	166060	Donc, sorti en 2013.
168680	170980	Cluzet sort des petits mouchoirs, de plein de choses.
170980	171820	Il est vraiment bankable.
171900	173660	Il est assez bankable pour qu'on accepte de le voir.
174480	175880	On se dit, bon, il n'y a que lui dans le film.
175960	176600	C'est son seul au monde.
176700	178680	C'est la même année qu'11.6.
179360	179760	Ah oui ?
179760	180820	Sort la même année qu'11.6.
181060	181540	Grosse année.
182060	182980	2013, quelle année ?
184060	186400	Et alors, on pourrait penser à un carton.
187620	189360	Et il n'a fait que 600 000 entrées quand même.
189440	189940	Ce qui n'est pas mal.
190040	192260	Je n'ai aucune idée en 2013 de ce que ça veut dire, 600 000 entrées.
192260	193260	Je pense qu'ils espéraient mieux.
193680	194760	Je pense qu'ils espéraient mieux.
194860	196660	Le film a coûté quand même un peu de pognon, je pense.
196660	197660	Ça a dû être compliqué à filmer.
197660	202820	Il y a aussi Virginie Fira et aussi Guillaume Canet.
203160	205660	Et alors, c'est assez drôle parce que bien que c'est le premier film de Christophe Offenstein...
207080	207540	C'est son premier.
207740	208300	C'est son premier.
208860	212120	Et d'ailleurs, je vais vous étonner ou pas, parce que je ne sais pas encore votre avis
212120	213960	sur le film, mais je pense que je vais vous étonner.
214560	217540	Il était nommé au César pour le premier film.
218140	218700	Il ne l'a pas eu.
218920	219660	Ah, nommé.
219720	221160	Non, mais nommé, c'est déjà pas mal.
221600	222860	Plus rien ne m'étonne avec le César.
222860	227280	Avec tout ce qui est l'élite en général.
227660	229900	De toute façon, l'élite te fait gerber.
229920	230660	Ça me fait gerber.
230800	233340	Les pontes, les huiles comme ça, qui s'en foutent plein les fouilles.
233620	237460	Alors, deux trucs sur l'élite auxquels les gens ne le sauraient pas.
237960	239520	Ils s'en mettent plein les fouilles.
240080	240620	Et ils en ont...
240620	240960	Premio.
241220	241500	Premio.
241540	241860	Premio.
241980	242820	Premio plein les fouilles.
243020	243460	Deux yeux.
244000	245060	Rien à foutre de nos gueules.
245280	245400	Voilà.
245520	246440	Que ça soit clair.
247500	247680	Bon.
248760	249800	C'est vrai, d'ailleurs.
249800	252400	Ou pas, finalement.
252640	253700	Ce n'est pas le sujet de ce pot de cas.
253700	253920	Qu'est-ce qui est vrai ?
253920	254720	Qu'est-ce qui est faux ?
254720	255120	On ne sait pas.
255120	255760	La vie, l'amour.
255840	256660	Vous avez des cheveux blonds.
257240	257400	Oui.
257680	258220	On ne sait pas.
258360	258980	Sont-ils vrais ?
258980	259660	Sont-ils faux ?
259660	260260	Êtes-vous là ?
260260	261280	Ils sont vrais, ils existent.
261440	262540	Mais tout est factif.
262540	262680	Les gestes barrières.
262700	263640	Ce n'est qu'illusion.
264020	264900	Beaucoup de choses dans la vie.
264940	265480	La vie, l'amour.
265820	266140	Bref.
266640	267800	Donc, nommé au César quand même.
269540	273340	Et on pourrait croire que le film est un petit peu de Guillaume Canet.
273520	274840	Comme ça, si...
274840	275900	De prime abord, on pourrait.
275900	278020	Mais on se dit, tiens, il y a Canet, il y a Cluzet.
278040	279380	Et Canet est dans...
279380	279860	Bon, voilà.
280060	280400	Mais non.
280480	280840	Pas du tout.
281040	281400	Pas du tout.
283280	283600	Voilà.
283880	285280	Vous avez peut-être une anecdote Cluzet ?
285280	288520	Alors, écoutez, la dernière fois qu'on a fait un Passion Cluzet, on parlait de...
288520	289420	Cluzet ?
289420	290200	Pas du tout, ça ne marche pas.
290700	291340	Du tout.
292080	292420	Du tout.
293360	295520	C'est peut-être le mot le plus dur à prononcer du monde.
295860	296220	Cluzet.
296480	296940	Le Cluzet.
298200	299040	Ok, il n'y en a pas.
299700	304420	Mais dans ces anecdotes Cluzet, je vous avais parlé de ces liens un peu troubles.
304540	305160	Un peu troubles.
305240	305800	Avec Carlos Ghosn.
305800	308040	Vous savez, tous les grands personnages ont des zones nombre.
308200	308560	C'est vrai.
