start	end	text
0	5160	j'ai le trac c'est parti je crois que c'est parti j'ai le trac bah c'est normal à temps
5160	9480	c'est comme une première fois oui mais c'est attendre une première fois là c'est une saison
9480	15540	1 et une saison 2 les attentes sont énormes les attentes sont énormes tu te rends compte est ce
15540	18960	que tu crois que les attentes sont énormes les gens sont mais attends j'ai vu peut-être que les
18960	23460	gens s'attendent pas du déce qu'on t'a réclamé à une saison 3 là j'ai eu quelques messages un
23460	29280	mois un gars un gars qui a cru qu'on était c'est énorme est ce que vous êtes séparés il m'a dit
29280	35700	on est toujours nous c'est les duos qui durent longtemps comme ntm et bien c'est ceux qui
35700	39540	parce qu'ils s'apprécient pas dans la vraie vie bien sûr voilà c'est ça le secret on va aller très
39540	42780	très loin quand on mélange vraie vie machin mcfly et carlito ils ont les mêmes ils ont les mêmes
42780	46920	ils ont leur conzesse son pote et tout et ils vont ils vont splitter ça va imploser droit dans le mur
46920	53160	ça fait quoi 15 ans qu'ils sont ensemble et ils ont un succès fou nous regarde ça fait zéro
53160	57840	succès et ben voilà et on est c'est peut-être le secret tout simplement tout simplement
57840	63240	bon ben bienvenue à cette saison 3 alors avant avant avant de se lancer j'ai une question est ce que
63240	67980	je peux enlever mon masque pour enregistrer ou pas moi je ne lèverai pas on est dans un milieu clos
67980	73960	oui on est dans une zone écarlate à écarlate rouge vif on garde le masque moi je dirais on garde le
73960	76900	masque non mais si tu veux moi si tu n'es pas à l'aise on va manger on va l'enlever un petit peu mais
76900	82520	en tout cas c'est à dire que moi je veux bien le covid mais je ne veux pas votre covid
82520	89120	ah bon tu crois que le mien est plus dangereux que j'ai pas une souche plus dangereuse et qui dit que je l'ai
89120	94400	alors première info ma moitié est cas contact non je l'ai appris aujourd'hui ah bah voilà bah super
94400	100520	bah donc vous aussi bah non bah si olivier verran l'a dit le cas contact d'un cas contact n'est pas cas
100520	106160	cas contact mais attends c'est n'importe quoi elle est cas contact ouais toi tu habites avec elle ouais si
106160	111680	elle l'a tu l'as cas contact ça veut pas dire covid ça veut dire cas contact oui ça veut dire méfiance
111680	117620	ça veut dire méfiance mais si elle l'a tu l'as si elle oui oui il ya de fortes chances oui voilà
117620	122860	oui ouais ouais j'ai vu j'ai vu je voulais pas vous le dire avant sinon vous auriez annulé l'enregistrement
122860	128000	donc c'est n'importe quoi et si je garde le masque je garde combien de temps aujourd'hui elle l'a appris
128000	131780	mais ça faisait 7 jours qu'elle n'avait pas vu la personne ah bah c'est bon donc 7 jours c'est la
131780	136320	limite entre cas contact et pas cas contact c'est réglé si elle a pas de pas de symptômes bah non c'est
136320	141180	réglé ah bah non urbain on peut avoir le covid sans avoir de symptômes oui c'est le cas de la plupart
141180	146400	des gens et c'est comme ça qu'on tue ses grands-parents ah ah oui ouais d'accord ah bah super super
146400	151180	non mais je garde le masque tant pis écoutez garder le masque on n'avait pas dit un truc sur le générique
151180	157380	on aurait dû mettre le générique en si il y avait une histoire de marimba mais j'ai tout oublié de bongo non mais j'ai pas eu le temps
157380	161900	de en fait moi je sais mais j'ai pas eu le temps de réunir le groupe on a eu quelqu'un qui nous a
161900	168700	dire que t'étais très difficile sur le choix des gars bah oui tu voulais un blanco somarimba t'avais dit un noir au saxo
168700	174260	enfin c'était très arrêté je trouve peut-être trop c'était très arriéré c'était très simplement temps et pas mais c'est pas le même urbain
174260	176360	et ça reflète pas ce qui va se passer dans cette saison
176360	180380	l'Urbain saison 3 c'est pas oublier tout l'Urbain saison 1 qui était une femme
180380	183100	l'Urbain saison 2 qui était une femme forte
183100	184500	l'Urbain saison 2 qui était un petit peu
184500	185520	peureux
