start	end	text
0	7240	J'ai envie que tu me donnes un petit groove, un peu plus lent, à la Jonas.
7920	9180	Fais-moi la contrebasse.
13540	20220	Je ne t'apprécie pas, je ne l'ai jamais fait, pour moi t'es vraiment qu'un connard.
21220	28000	C'est pas contre toi, c'est juste l'effet, pour moi t'es vraiment qu'un connard.
28000	33620	Alors là, c'est un truc que j'ai composé pour toi, parce que je sais que tu détestes deux trucs,
34080	37500	le jazz à la française à Michel Jonas, et que je t'insulte au début des podcasts.
37580	41060	Alors, le jazz à la française, pas spécialement, Michel Jonas, oui.
41120	42720	Oui, qui est le jazz à la française ?
42720	43260	Encore que.
43580	44080	Encore que.
44100	47520	Ayant découvert qu'il avait fait le jingle de Cinéma Cinéma sur Canal.
47960	52220	Cinéma, cinéma, cinéma, cinéma, cinéma.
53120	54060	Et bien ça, c'est Michel Jonas.
54240	55700	Et bien là, je me dis, en fait, je l'aime bien.
55700	58080	Alors, qu'est-ce que t'as pensé de...
58080	60420	On va se la refaire, deux, trois, quatre.
60920	62380	Je ne t'apprécie pas.
64700	65940	Pour moi t'es vraiment...
65940	68480	Alors, je ne t'apprécie pas, je ne l'ai jamais fait.
69020	70240	Pour moi t'es vraiment qu'un connard.
70860	71920	C'est pas contre toi.
72860	73760	C'est rien que l'effet.
74960	75980	Pour moi t'es vraiment qu'un connard.
76100	76240	Voilà.
76300	78960	Ça par contre, je reconnais que c'est très saison 1 quand même.
78960	82340	Oui, mais je l'ai jazzifié.
83880	84660	Allez, allez.
85540	85860	Générique.
86180	86920	On se quitte, bons amis.
87540	89700	Mais quand même, vous avez quand même...
89700	90460	Qu'est-ce que vous pensez de la chanson ?
90460	91600	Ça m'en a foutu un coup quand même.
92500	93340	Mais au niveau rythmique...
94120	94940	C'est moi qui ai tout fait.
95660	96780	Oui, mais au niveau du...
96780	98460	En impro, je le précise pour nos auditeurs.
98660	99860	Il y a du Gainsbourg, il y a du Jonas.
100280	102080	Il y a surtout de la merde.
102960	104600	C'était surtout de la merde.
104700	105640	Non, mais il y a de la merde aussi.
105800	106400	Il y en a.
106720	107700	On est d'accord, il y en a.
107700	109600	Non, je ne trouvais pas ça ouf.
110000	111800	Je pense qu'il y a une marge de progression,
112000	113000	une marge de progrès en tout cas,
113060	114060	d'ici la fin de la saison 3.
114380	116120	Bon, mais je vous referai la chanson la prochaine fois
116120	116740	avec des cœurs.
116760	117700	Ou pas ?
119520	121180	Alors, j'avais pensé un truc gainsbourien
121180	121880	que je n'ai pas mis.
122220	122860	Je voulais dire...
122860	124960	Parce que si tu m'avais dit fake pass gainsbourien...
124960	126180	C'est pas contre toi.
126640	127580	C'est rien que l'effet.
128100	128860	L'effet que ça...
128860	130880	Non, c'est rien que l'effet.
131060	132460	L'effet que ça fait d'être un connard.
132740	133060	Pas mal.
133540	134300	Tu vois, tu aurais préféré...
134300	135640	Mais où est l'allusion au cul ?
135640	137640	L'effet que ça fait...
138460	142740	Ça va que t'as une biroute d'enfer !
142740	143380	Ça, c'est gainsbourien.
143400	143680	Et voilà.
143780	144640	Et après, et là...
145360	147040	Et ça, c'est le refrain.
148400	149600	Mais ça, ça...
149600	151640	Mais t'es quand même un tonicou.
152120	152520	Ouais, elle est bien.
153060	153640	J'apprécie...
154440	155100	J'ai enlevé la bonnette.
155360	155640	T'es rouscouille.
156460	157040	Voilà, bon, voilà.
157140	157500	Bon, bref.
157640	158560	Allez, générique.
