start	end	text
0	3180	bonsoir
3180	4020	paris 20
4020	5300	bonsoir
5300	6660	comment ça va
6660	8080	ça va
8080	9440	je vous sens un petit peu agacé
9440	10800	non non attendez
10800	11860	non mais c'est pas du tout
11860	13240	c'est pas comme si je venais de
13240	15680	de nettoyer du vomi de chat
15680	16480	sur mon lit
16480	17140	par exemple
17140	18500	c'est ça
18500	19460	j'ai entendu ça en direct
19460	20340	je ne pouvais pas
20340	21480	ne pas partager
21480	22620	ce petit
22620	24120	ce petit fait de vie
24120	24940	bah écoute
24940	26140	c'est la vie en confinement
26140	26500	quoi
26500	28060	on nettoie le vomi du chat
28060	29420	ah parce que
29420	30540	quand Castex n'a pas parlé
30540	31400	il gerbe pas
31400	32560	ah parce qu'il n'a pas le droit
32560	33780	il est en confinement le chat aussi
33780	34440	il ne peut plus sortir
34440	36500	si si non lui il sort lui par contre
36500	38020	il sort
38020	39380	il va bouffer de l'herbe
39380	40340	et puis quand il revient
40340	40940	il vomit quoi
40940	43040	ouais mais c'est ce que tu fais
43040	43620	les chats comme ça
43620	44440	là sont plus
44440	46180	plus libres que nous
46180	46940	en France
46940	47900	en 2020
47900	48300	bien sûr
48300	49420	c'est ce que
49420	50340	c'est ce que tu fais aussi
50340	50960	toi quand t'es libre
50960	51380	tu vas
51380	52340	tu vas bouffer de la merde
52340	53560	et tu vas gerber dans le lit de maman
53560	54360	bon bah voilà
54360	55840	il fait ça
55840	56320	ouais c'est ça
56320	57020	c'est ce qui se passe
57020	58720	ouais ouais
58720	60500	j'ai peut-être des petits soucis
60500	61100	de
61100	63680	de captation de votre côté
63680	65540	ah bon
65540	66260	qu'est-ce qui se passe
66260	66940	je sais pas
66940	67900	je vous ai pas bien entendu
67900	69300	l'espace d'un instant
69300	69760	mais ça y est
69760	71120	c'est réparé
71120	71600	ah d'accord
71600	72300	oui bah écoutez
72300	73620	faut pas vous accrocher à la vie
73620	74460	comme ça
74460	75840	faut pas être fragile comme ça
75840	76680	2-3 secondes
76680	77320	sans ma voix
77320	78160	vous devriez vous
78160	78740	j'ai eu peur
78740	79800	je vous cache pas que j'ai eu peur
79800	81040	bon attendez
81040	82080	je me remets un petit peu mieux
82080	83300	bon bah bienvenue
83300	86900	alors nouvelle vie
86900	88860	puisque ça y est
88860	90780	nous sommes pétés de pognon
90780	91780	on peut le dire
91780	93360	alors
93360	94400	alors attends
94400	95240	moi je suis plus le même
95240	97660	moi je suis français
97660	98740	j'aime pas trop
98740	100080	parler de thunes comme ça
100080	100980	ah mais on va
100980	102540	on ne dira pas le montant
102540	103600	on va juste dire
103600	104960	que l'objectif
104960	105960	a été
105960	107480	rempli
107480	108220	et plus
108220	108680	que
108680	109740	rempli
109740	110480	bravo
110480	111940	à Sophie Davant
111940	113820	bravo à toute l'équipe
113820	115520	alors on ne partagera pas
115520	116460	l'argent
116460	117740	avec les petits
117740	118800	les petits handicapés
118800	119580	parce qu'ils en ont
119580	120300	beaucoup trop
120300	120780	déjà
120780	122260	c'est à dire que
122260	123480	la cagnotte c'est quasiment
123480	124040	tous les ans
124040	125400	avec Nagui en plus
125400	126260	nous on n'a pas eu Nagui
126260	126840	par exemple
126840	127280	pour
127280	129040	pas eu Nagui
129040	130180	pas eu la plus grande
130180	131680	saucisse du Poitou
131680	132280	mais
132280	133760	en contrepartie
133760	134740	on n'est pas myopathe
134740	135160	donc
135160	136920	ça s'équilibre
136920	137500	ça voilà
137500	139020	et je pense qu'il y a 0-0
139020	139540	donc
139540	140040	voilà
140040	143000	donc
143000	144200	non non mais c'était fou
144200	145460	vous êtes fou
145460	146700	que vous ayez donné
146700	147140	1
147140	148280	ou 50
148280	149640	vous êtes fou
149640	150960	et on vous remercie
150960	151860	alors pas vous êtes fou
151860	152920	je dirais qu'il y a
152920	154180	43 personnes
154180	155920	ça on peut dire
155920	156500	le nombre de gens
156500	157140	c'est vrai
157140	158020	alors combien
158020	159560	je ne sais pas le truc
159560	159880	sous les yeux
159880	160360	mais oui c'est ça
160360	160840	43
160840	162240	47
162240	163420	47 exactement
163420	164640	oh là 47
164640	165320	alors
165320	167740	disons qu'il y a 47 personnes
167740	168520	qu'on aime bien
168520	170380	et les autres personnes
170380	171240	non
171240	171900	non
171900	172600	c'est pas bien
172600	172820	ce que
172820	174180	non mais
174180	174840	bravo
174840	176220	vous nous avez déçu
176220	178120	très très déçu
178120	179000	non mais alors
179000	179320	déjà
179320	180480	et ben
180480	181700	déjà
181700	182900	bravo c'est 47
182900	183300	parce que
183300	183960	en fait il suffirait
183960	185260	d'avoir 47 auditeurs
185260	186860	fidèles
186860	187860	pour pouvoir tourner
187860	188260	sur ce
188260	189100	il y a même un gars
189100	189860	qui a donné deux fois
189860	190680	je pense qu'il s'est dit
190680	191120	oh putain
191120	192860	un euro c'est pas assez
192860	193700	il a redonné derrière
193700	194500	disons
194500	195240	ça c'est pas mal
195240	196040	alors que un euro
196040	196600	c'est assez
196600	197600	alors j'aimerais parler
197600	198560	du coup parce que
198560	199920	47 c'est bien
199920	201400	par rapport au nombre
201400	201820	d'auditeurs
201820	202580	on va pas se le cacher
202580	203840	c'est pas terrible
203840	205200	mais pour l'argent
205200	205900	qu'on a récolté
205900	206600	on est tranquille
206600	208260	pendant longtemps
208260	209500	donc c'est parfait
209500	210560	juste
210560	211360	ah oui oui carrément
211360	211980	alors là on est
211980	212740	on est à l'abri
212740	215260	mais je suis un peu déçu
215260	216760	enfin c'est pas
216760	217140	que je suis déçu
217140	218420	mais il y a un gars
218420	219040	bravo
219040	219920	Camille 50
219920	221200	j'aurais préféré
221200	222320	50 fois 1
222320	223840	et je tiens à dire
223840	225040	vraiment encore une fois
225040	227100	n'ayez pas le syndrome
227100	228120	du clochard avec nous
228120	229180	qu'est-ce que le syndrome
229180	229700	du clochard
229700	231420	alors Urbain
231420	232980	qu'est-ce que le syndrome
232980	234300	du clochard
234300	235720	tu croises
235720	237080	un clodo dans la rue
237080	237520	tu te dis
237520	238420	je vais lui donner un truc
238420	240120	mais t'as que 10 centimes
240120	240580	et tu te dis
240580	241860	je vais pas lui donner 10 centimes
241860	242460	bien sûr
242460	244260	j'ai expérimenté
244260	245060	ce syndrome
245060	246440	et bah c'est con
246440	247460	parce qu'il en a besoin
247460	248340	si on lui donnait tous
248340	248880	10 centimes
248880	250220	et bah tout irait mieux
250220	250640	dans sa vie
250640	251240	du coup
251240	252920	là s'il y a des gens
252920	253320	qui se disent
253320	254160	oh bah j'ai pas de thunes
254160	254720	je vais pas quand même
254720	255540	pas leur filer un euro
255540	256200	si
256200	257580	c'est le principe justement
257580	258740	moi ça m'embête
258740	259480	de voir quelqu'un
259480	260320	qui donne 50
260320	261460	il faudrait qu'on donne
261460	264100	voilà tous un
264100	265060	et puis on est mieux
265060	266660	mais en tout cas
266660	268960	bravo à ces 47 là
268960	269780	merci beaucoup
269780	270600	donc clairement
270600	271380	bah vous avez gagné
271380	271960	il y aura pas de pub
271960	272700	parce que là
272700	273340	la pub
273340	275000	l'équivalent de la pub
275000	275680	a été financé
275680	276140	pour déjà
276140	277420	plusieurs plusieurs mois
277420	278940	oui oui et puis autant vous dire
