start	end	text
0	1960	allez c'est parti
1960	3920	et bah c'est parti bah voilà c'est parti
3920	5380	et bah écoute tu veux faire ton petit podcast
5380	6820	moi je m'en fous
6820	9280	alors bah écoutez je suis ravi la commu de vous retrouver
9280	11840	les clémentos parce que j'ai beaucoup de choses
11840	12420	à vous dire
12420	14260	des trucs racistes
14260	17700	cette semaine on va parler
17700	19600	de nicotine
19600	21700	alors vous allez me dire
21700	22400	la nicotine
22400	24920	je vous dis il est raciste ce mec
24920	28060	la nicotine ce petit produit là qu'on retrouve dans les cigarettes
28060	29400	et on en est tous à quoi
29400	32720	tu vois bien que ton podcast
32720	34760	et je te dis ça
34760	36240	sans embâche
36240	38460	je te dis ça en toute objectivité
38460	39520	ton podcast
39520	41860	ton podcast de clémentos
41860	44620	beaucoup beaucoup
44620	45800	beaucoup de potentiel
45800	47720	tu m'as fait kiffer tu m'as fait bander
47720	50100	j'avais la gaule pendant 30 secondes
50100	52280	je trouve que quand t'es avec l'autre con
52280	54060	c'est pas mal
54060	55220	c'est pas mal on se perd
55220	56560	mais là il y a du fond
56560	59080	là tu parles vrai
59080	60140	j'ai l'impression que c'est le vrai toi
60140	60460	j'ai l'impression
60460	62760	j'ai essayé de me livrer
62760	63880	que la commu
63880	64740	ça s'est vu Coco
64740	66140	ça s'est vu Coco
66140	66820	sur Clément quoi
66820	67540	et les clémentos
67540	69120	ouais ouais
69120	70000	ça s'est vu tout de suite
70000	70580	t'es un fumant
70580	72680	j'ai une envie de fumer
72680	75800	qui est plus forte que jamais
75800	77680	alors que j'ai arrêté depuis presque
77680	79020	trois ans
79020	80320	et là en ce moment
80320	81000	je sais pas pourquoi
81000	81400	ça me
81400	82620	ça me tenaille
82620	84720	ouais ouais
84720	86040	bah je pense que
86040	87700	t'as essayé le whisky
87700	88980	t'as essayé
88980	91000	d'être fidèle à ta meuf
91000	92880	ce qui t'a pas réussi
92880	93940	t'as essayé la peinture
93940	94520	dur
94520	95800	et je pense que là
95800	98140	t'as tous ces trucs de merde
98140	99200	c'était des palliatifs
99200	100160	qui n'ont pas marché
100160	100340	quoi
100340	100980	qui n'ont pas fonctionné
100980	101500	tout simplement
101500	104600	ouais ça n'a pas fonctionné
104600	105000	il y a quand même
105000	105540	deux trois personnes
105540	106300	quand je t'étais croûte
106300	107180	faut pas se mentir
107180	107780	c'est vrai
107780	109300	alors mes croûtes
109300	111580	tu
111580	112660	c'est vrai que c'est des meilleurs
112660	114100	je sais j'en ai une
114100	115200	excuse moi
115200	116920	t'en as une réservée
116920	118280	mais tu l'as pas encore
118280	120840	ouais bah demande-toi
120840	121500	pourquoi pauvre con
121500	122860	mais écoute
122860	123860	là les dernières
123860	124500	je les ai envoyées
124500	125140	à un causticos
125140	125700	figure-toi
125700	128100	un fidèle causticos
128100	130080	qui a dû les recevoir
130080	131020	par la poste
131020	131520	donc je me dis
131520	132380	pourquoi pas finalement
132380	133240	peut-être que la tienne
133240	135440	je vais te la faire livrer aussi
135440	136620	ça te fera une petite surprise
136620	139240	ah ça serait pas mal
139240	140400	ça tu connais mon adresse
140400	141140	ne la dis pas
141140	141880	bien sûr
141880	142800	tu la connais
142800	143200	non mais voilà
143200	143620	en tout cas
143620	144560	il m'en reste plus beaucoup
144560	146260	à vendre
146260	146760	il faudrait
146760	148340	faudrait que je
148340	149380	je m'y remette sérieusement
149380	149720	d'ailleurs
149720	151600	non pas que je fasse ça
151600	151960	pour l'argent
151960	152500	mais pardon mais
152500	154720	imagine
154720	155420	imagine
155420	155980	ouais
155980	157420	ça prend
157420	158800	ça prend une valeur de fou
158800	160320	et tu n'es plus
160320	161580	propriétaire de ton truc
161580	162380	et les gens
162380	163400	ne sont intéressés
163400	164340	que par ta période
164340	165080	pré-clope
165080	165540	tu vois
165540	166680	post-clope
166680	167220	du coup
167220	168720	tu fais des nouvelles toiles
168720	169600	et tout le monde s'en branle
169600	170560	mais la personne dit
170560	172000	tout le monde s'en branle
172000	172940	mais à côté de ça
172940	173580	je suis
173580	174180	genre
174180	175900	ta toile
175900	176380	vaut aller
176380	177840	200 000 balles
177840	178540	tu me l'as vendu
178540	179420	pour que dalle
179420	180760	ouais mais écoute
