start	end	text
0	5000	Bonjour et bienvenue à Plutocoustic Radio
5000	12700	Je suis avec ma préférée guest, ma préférée host, ma partenaire en crime, Paulson Clement
12700	17400	Bonjour, urban country, comment are you, mate ?
17400	20960	Je suis bien, man, il y a un an, il y a un an
20960	23760	Oui, sûr, il y a un an, je crois, il y a un an
23760	25580	Like forever, like forever
25580	29280	Like forever, mais nous avons tellement à dire
29280	34880	To each other, mais aussi à Plutocousticos, you know ?
34880	42720	So, je me souviens de ce que les trois premières de notre show sont ici
42720	46080	Le premier serait la régularité
46080	46920	Oui, sûr
46920	51520	Peut-être pas notre strongest
51520	55220	Pas le strongest en l'hôtel, oui, bien sûr
55220	60820	Le deuxième, je disais, la trustabilité des sources ?
60820	63780	Oui, oui, toujours, toujours, toujours, très, très, très, très, très
63780	68420	Et la troisième, je disais, honest à la pork
68420	71220	Honnest à la shit, honest à la shit pork
71220	74260	Oui, comme 100% honest
74260	82860	With ourselves, with the Custicos, with everyone
82860	83860	We are 100%, dare I say 200% honest
83860	86980	Yeah, I don't think that would be a lie
86980	88980	I don't think it would, it's like
88980	90300	No, no, so
90300	92800	Maybe, maybe, maybe, you know, urban
92800	95180	Maybe it's not for us to say
95180	96860	Oh, no, no, no
96860	99980	Mais si quelqu'un
99980	101260	was
101260	103060	à parler de Plutopostique,
103140	105240	ils disent que ces gars
105240	107420	sont 200%
107420	109160	franco de poc.
109360	110360	Je pense qu'ils disent.
110480	112260	Je pense qu'ils disent.
112380	114960	Je pense, et je ne sais pas,
115120	117280	mais je pense qu'ils disent
117280	119240	que c'est le meilleur podcast
119240	119900	sur Terre.
120740	121820	Maybe le meilleur
121820	122860	French podcast.
124580	125760	Je ne sais pas.
125760	127680	Mais est-ce le meilleur
127680	128920	à tout ?
128920	129380	Oui, sûr.
129900	130740	Of course.
131900	132380	Just like,
132460	134320	you know ?
134320	135920	What would that make ?
135920	136380	That would make
136380	137080	le meilleur podcast
137080	137480	de la vie.
137580	137940	That's it.
138880	139320	So,
139800	140920	aujourd'hui est Bastille Day
140920	141400	in France
141400	143940	et je suis hangover-ass shit
143940	144780	parce que...
144780	145000	Oui,
145120	146640	parce que tu as drank
146640	147660	beaucoup de beer
147660	148060	yesterday.
148320	148540	Oui,
148640	149340	je suis avec toi,
149560	151280	le grand gig,
151460	152660	le grand gars.
154020	155040	Je suis dans un lot
155040	155660	de shows.
155760	157720	doing what I do,
157880	159180	showing my dick around,
159300	160160	people crying.
161460	162400	The usual,
162500	162960	the unusual.
163140	163620	The usual,
163860	164140	you know,
164320	165220	doing my craft,
165320	165940	doing my shit.
166380	167020	And then,
167180	169420	you know,
169600	170220	we drank
170220	171260	excessively.
171260	172400	excessively.
172400	172780	Maybe it was
172780	174060	your birthday.
174360	174660	Yeah.
175320	175700	Yeah,
175700	176880	it's not happening
176880	177440	every day.
177600	178260	You could,
178500	179920	I've been born
179920	181640	on the 14th of July.
181820	182420	It would have been
182420	184400	a positive message
184400	185440	to send to the world.
185440	185860	Well,
186260	187020	you were there
187020	188360	one day earlier.
188360	189500	one thing I like
189500	190520	about being born
190520	191360	on the 13th
191360	192120	is that
192120	193860	I can be drunk
193860	194360	as shit
194360	195080	and then
195080	196280	the day after
196280	197060	I don't have to walk
197060	198020	and I can be hangover
198020	198380	and,
198380	198740	you know,
198880	199100	shitting.
199100	199420	Fantastic.
199820	199940	Yeah.
199940	200840	Every year
200840	203240	you can get pissed.
203780	204020	Yeah.
204020	205800	no consequences.
206060	206440	And you know,
206520	206880	it's the best.
206980	207820	I need my time
207820	208500	to cry,
208720	209140	to forget
209140	209920	I'm getting old.
210180	210640	Of course.
210720	211620	I'm 22 now.
211800	212260	I'm 22.
212420	212720	Everyone.
213040	213700	It's fucking old.
213840	214840	It's fucking old.
215100	215220	I,
215400	215800	you know,
216260	216660	so.
216760	216900	So,
217040	218360	did you see any
218360	219660	changes
219660	221720	within your
221720	222780	body
222780	224220	after the,
224300	224720	I don't know,
224860	226360	30th birthday
226360	227360	or 25th?
227460	227480	Yeah.
227480	227800	Like,
228060	228600	this morning
228600	229680	I wake up
229680	230760	drunk as shit
230760	231860	and I realize
231860	232660	I'm
232660	234280	I'm a fucking
234280	234960	fat pig.
235360	236820	I'm gross.
237400	238300	I still have
238300	238960	a huge cock.
239340	239840	I still have
239840	240580	a huge cock.
241320	241680	But,
241920	243080	I just realized
243080	243820	and then
243820	244480	I remember
244480	246460	it's been years
246460	247520	that I'm fat as shit.
247660	248560	It's been years
248560	249220	that I'm gross
249220	249800	and disgusting.
249940	250740	I thought it was yesterday.
250840	250940	So,
251060	251300	it's not,
251300	252440	it's not really
252440	253620	that new.
253800	253880	Yeah.
254020	254560	Not that new.
254880	255360	Not that new.
255360	256400	Did you feel something new?
256560	257120	Are you,
257260	257540	you're what,
257620	258120	34?
258880	260240	I think my dick
260240	260760	kind of grew
260760	261620	more.
261840	262120	Okay.
262360	262640	Okay.
262660	263920	I thought
263920	264600	I would stop,
264960	265080	but
265080	266360	Okay.
266480	267340	I thought
267340	268060	you were going to say
268060	268800	like,
269040	269380	you know,
269520	270420	white hair
270420	272480	or my back hurt
272480	272720	or
272720	273640	White hair on my balls.
274140	274500	Definitely.
275180	275540	Okay.
275760	276080	So,
276200	277460	it's just focused
277460	278300	around your
278300	279440	cock and balls area.
280380	280940	Well,
281380	281820	yeah.
282320	283620	You only grow
283620	286260	in the groin area.
286660	287520	I'm growing.
288160	288380	Like,
288480	289380	the penis is growing,
289680	290200	but also,
290320	291380	I see the balls
291380	292660	are more and more sagging
292660	293440	and now,
293640	294180	they're down to,
294180	295460	they're down to my knees.
295980	296120	You know,
296140	296660	to your knees,
296760	296880	yeah.
297000	297260	You know,
297280	298020	you know this thing
298020	299160	when kids grow up
299160	300640	and they're on the wall
300640	301820	and you put little marks
301820	302780	to show.
302780	306000	You put marks
306000	308340	down to the floor
308340	309280	every year.
309540	310160	I have this
310160	311100	on my leg
311100	312300	on my thigh
312300	314200	every year.
314980	315440	Well,
315500	316220	1990.
317660	318400	Every year,
318520	319260	it goes down.
319780	320160	I think
320160	321160	the law
321160	321720	is that
321720	322100	when it's
322100	323080	touched the ground,
323200	324000	you have to die.
324240	325320	I think you have
325320	326040	to commit suicide.
326040	327280	when you step
327280	327940	on your balls
327940	329240	and it hurts
329240	329460	really bad.
329460	330000	You're coming suicide.
330820	331040	Like,
331640	332680	with your cane,
332880	333380	you're hurting
333380	334200	your own balls,
334580	334940	then...
334940	335500	Did you,
335660	336360	did you,
336620	338600	I think it happened
338600	339680	to me once or twice,
340220	340840	did you,
340960	341580	one day,
341740	342460	sat on your balls?
342520	342760	Oh,
342920	343760	right now.
344400	344840	Clearly,
344840	345580	right now.
346080	346600	And it hurts...
346600	346700	Oh,
346740	346920	you know,
346980	347620	by mistake,
347680	348140	by mistake.
348320	348500	No,
348600	348700	no,
348740	348900	no,
348900	349880	I'm constant
349880	351260	and it hurts.
351280	351400	Oh,
351500	351720	okay.
351820	352360	It hurts a part
352360	352900	of my brain
352900	353640	that speaks French
353640	354540	and now I'm stuck.
354960	355700	I'm stuck with this.
355700	356380	this is,
356480	357440	this is why.
358320	358500	Okay.
358620	359140	So,
359580	360460	how do you,
360520	361600	how are you gonna celebrate
361600	362420	Bastille Day today?
364360	364600	Uh,
364640	364840	well,
365040	365540	Bastille Day,
365780	366260	uh,
366300	367120	huge day
367120	367800	when you love,
368020	368420	uh,
368500	370340	when you love,
370340	371720	when you love,
371840	372100	uh,
372100	372500	you know,
372620	372960	uh,
372960	373600	army men,
373740	374120	uh,
374120	374640	uniforms
374640	375720	and huge,
375820	376320	huge,
376320	376820	uh,
376820	377260	tanks
377260	377980	and,
377980	378540	and horses.
378840	379320	So,
379500	380220	huge day for me
380220	380800	as I,
380800	382340	I love all of those
382340	383200	very much.
383280	383880	You woke up early
383880	384540	to see the,
384540	384920	the Diffy Day.
384920	385360	so,
385660	386160	uh,
386360	386800	usually,
387080	387280	uh,
387280	387900	the 14th,
388280	388700	uh,
388700	389840	I wake up at four.
390020	390280	Yeah.
390740	391180	Uh,
391220	393180	I masturbate violently
393180	394300	while singing,
394300	394800	uh,
394820	396020	our national anthem.
396520	397120	Yeah.
397240	398540	As every French man
398540	399200	should.
399380	399760	Do you,
399760	400400	do you think,
400480	400840	uh,
400920	401600	uh,
401600	402920	of the current president?
402920	403420	Uh,
403420	404340	the goal?
404420	404440	No,
404440	405220	maybe Pompidou?
405220	405380	No,
405380	406600	just Chirac.
406760	407300	Just Chirac.
407760	408200	Chirac.
408320	408460	Yeah.
408740	410480	It's the sexiest one.
410680	411480	It's the sexiest one.
411820	411960	And,
412100	413840	and I have to come,
414060	414520	uh,
414600	415600	at the end of the song.
415800	416080	So,
416080	416520	uh,
416520	419260	you know,
419540	420000	and then,
420000	420480	and then,
420480	421000	uh,
421000	422240	and then,
422240	423200	uh,
423200	424940	so that's,
424940	425320	uh,
425320	426320	morning.
426680	426800	Then,
427160	429840	I just
429840	430700	looked at,
430700	431120	uh,
431180	431860	Laurent Delahousse
431860	432800	and Julien Bougier
432800	434380	on France 2.
435040	435060	And,
435140	435520	uh,
435520	437320	mainly,
437320	438380	mainly for the trucks.
438520	439380	I really love,
439380	439980	uh,
439980	441140	the military trucks,
441400	441500	but,
441500	442240	uh,
442320	443920	then I masturbate again,
443920	444680	uh,
444680	445340	thinking about,
445340	445720	uh,
445720	446320	Lea Drucker.
446460	446620	What,
446660	448540	what time is it around
448540	449700	the second masturbation?
450180	450220	Like,
450280	450700	11,
451040	451340	11.
451680	451920	Oh,
451960	453000	so it's like five,
