start	end	text
1000	2060	C'est parti !
2060	2980	C'est parti !
2980	4920	Il y a eu beaucoup de retard, on est désolé.
5260	6340	Tu trouves ?
6340	9000	Par rapport à ce qu'on dit d'habitude...
9600	10340	Je le trouve pas mal.
10880	12300	Ouais, non, mais t'as raison, il y a un par mois.
13320	16860	Écoute, c'est à peu près ce qu'on faisait avant le grand chamboulement.
17100	17820	C'est vrai, c'est vrai.
18660	21140	Moi, je trouve que je t'entends hyper bien.
22640	23580	Vas-y, reparle un peu pour moi.
24100	24420	Salut.
25180	26440	Il y a une sorte de...
26440	27320	En plus, j'ai pas changé ma voix.
27360	28760	...pureté cristalline.
28760	30280	Salut les auditeurs.
30440	31520	Bonjour les causticoses.
31560	32640	Comment ça va ?
32640	33760	Vous trouvez pas que la voix...
34500	36760	Que nos voix sont beaucoup plus...
37400	37760	Sensuelles.
40180	40620	Charne.
41880	44760	C'est grâce à vous, on a utilisé l'argent...
45280	45620	C'est vrai.
45920	47320	...du Buy Me A Coffee.
48120	49240	189 balles.
49540	57860	189 balles que j'ai pu te virer grâce à la technologie de pointe du Buy Me A Coffee.
57860	59180	Des écus ?
59180	60180	Tu m'as acheté des sacs ?
60180	66360	Alors, écoute, j'ai eu plutôt l'impression d'être dans une sorte de montage financier
66360	67200	avec des...
67200	69040	Tu vois, avec des sortes de pirates.
70360	75740	C'est-à-dire que j'ai dû prendre le Paypal, faire un virement sur mon Revolut,
75960	77400	qui est une appli de banque en ligne.
77540	79740	Et depuis mon Revolut, j'ai fait un virement à ta banque.
79740	80820	Et je me suis dit, c'est bon.
80980	81520	C'était pas mieux.
81740	83700	J'ai masqué le flux de pognon.
83840	87300	C'était pas mieux quand un gnome, on pouvait juste lui jeter trois petites pièces.
87480	89040	Dans une boursette en cuir.
89260	90640	Tiens, vous irez tuer.
91080	91560	C'était mieux.
92240	93220	Alors, on a acheté un zoom.
93520	94840	Qu'est-ce qu'un zoom ?
94840	96740	Un zoom, c'est un petit objet pour...
97440	100520	Alors déjà, c'est pour prendre une photo de plus près, par exemple, si on veut voir des nichons.
100720	104160	Justement, moi, en arrivant dans le milieu de la technologie, je pensais qu'un zoom,
104260	104980	ça servait à zoomer.
105120	106760	Pas du tout, rien à voir avec le visuel.
106760	107860	Très déceptif.
107960	108900	Ouais, ouais, ouais.
109080	111160	En fait, c'est un petit boîtier de merde.
111260	112020	Une mixette ?
112020	113500	Pourquoi pas appeler ça une mixette ?
113500	114340	Une mini mixette, ouais.
114400	114880	Mini mixette.
115460	121920	Et là, on a acheté le zoom PodTrack P4, qui nous permettra, un, d'être transportable.
122420	124180	Enfin, pas d'être, nous, nous ne serons pas transportables.
124180	124800	Non, mais voilà.
125120	125720	Tout à fait.
125760	126240	On est mobile.
126480	126840	Voilà, c'est ça.
127060	128260	On est mobile.
128480	128680	Voilà.
129160	131860	Dès qu'il nous suffit de nos petits micros de piles.
133620	134180	Pas mal d'alcool.
134380	135060	Pas mal d'alcool.
135200	136100	Et hop, on peut faire un podcast.
136100	137020	Les frais de bouche.
137040	138680	Donc déjà, on est indépendant.
138780	139360	On est en indé.
139780	140980	On est lourd, ma gueule, parce que c'est notre.
141080	141680	C'est notre argent.
142540	143920	Jusqu'à maintenant, alors bon.
144220	145020	On empruntait des zooms.
145400	146760	Au début, on empruntait des micros.
146960	148120	Maintenant, nous avons...
148120	148640	Nos micros.
149060	149620	Nos casques.
149680	150260	Nos casques.
150540	152060	Tout ça payait par les auditeurs.
152380	153060	On est en indé.
153260	153800	On est en indé.
154000	154480	Pas les piles.
154580	156080	Pour l'instant, les piles, on les a taxées encore.
156460	157900	Je les vole, moi, dans les hôtels.
158720	159120	C'est vrai ?
159120	160140	Dans les télécommandes et tout ?
160140	160480	Ouais, ouais.
160480	161700	C'est Pierre Thévenoux.
161700	163960	C'est d'abord Ross Geller dans France qui m'a appris ça.
164060	166620	Et puis Pierre Thévenoux, mon ami, a remis cette période.
166940	168000	C'est un humoriste aussi.
168660	170780	Il a remis ce truc au...
170780	171180	Très bon gars.
171540	172840	Mais alors attends, du coup, tu...
172840	173280	C'est malin.
173420	176640	Donc toi, tu es le genre à prendre les petits shampoings, les petits machins, évidemment.
176900	178180	Le peignoir ?
178180	178840	On en a déjà parlé.
178940	179900	Tu prends le peignoir aussi, toi.
179940	180220	Ouais, ouais.
180700	182220	Moi, je ne vais jamais aller jusqu'au peignoir.
182220	188720	Ce qui est génial sur les petits trucs de merde, les petits savons et tout, c'est
188720	193300	que je les donne à ma meuf et elle les garde parce qu'elle dit un jour, on aura des invités
193300	194040	et ça fera cool.
194240	195480	Mais ça fait quatre ans que personne ne...
195480	196560	Mais vous n'avez jamais d'invité, quoi.
196600	197180	C'est pas du tout.
197440	198760	Donc il y a une boîte remplie...
198760	200320	Je ne suis pas persuadé que ce soit si cool, en plus.
200480	204640	Oui, mais dans sa tête, on est un Airbnb, mais sans argent pour ma mère.
204880	206960	Et on lui donne un mini shampoing, mais ma mère, elle va dire non.
207300	210300	Alors que nous, on les garde en cas d'effondrement.
210300	215960	On s'est dit, si jamais on doit se laver dans un bosquet sur le chemin, tu vois,
216300	218360	ça sera bien d'avoir cette petite fiole de shampoing.
218420	220000	Et puis c'est pratique, des toutes petites bouteilles.
