start	end	text
0	4420	à direct vous
4420	6740	ça m'avait manqué
6740	9500	c'est le début
9500	11320	salut mon vieux
11320	12260	salut à vous
12260	14880	écoutez bienvenue sur Pélo FM
14880	16640	t'es un gros pélo ?
16640	17960	je suis un gros pélo vous êtes ?
17960	18880	un énorme pélo
18880	22060	on joue au pel
22060	24260	ça va me faire
24260	25500	bon allez générique
25500	27220	1, 2, 3, 4
27220	32560	je suis gentil
32560	33200	il est méchant
33200	39360	on est plutôt gosling
39360	39560	je suis gentil
39560	40220	je suis gentil il est méchant
40220	41680	tu manges un sandwich cork
41680	42400	alors
42400	44840	faut rester appuyé sur celui-là
44840	49400	ah ça dure tant que je veux
49400	49580	ouais
49580	52120	ça peut être une standing ovation
52120	52980	ça peut être un petit
52980	55380	je vais te dire combien de temps ça mérite d'applauds
55380	57200	je mange un sandwich
57200	58900	fromage corse
58900	59780	jambon corse
59780	60760	confiture de miel
60760	65380	t'entends ?
65380	67280	ça dure aussi longtemps que ça
67280	68040	il y a quelqu'un qui crie
68040	68460	ouais
68460	69260	la corse
69260	70000	c'est mec à raison
70000	70380	c'est mec
70380	71200	pourquoi ?
71200	72720	déjà un fromage c'est bien
72720	73880	mais plus la charcuterie
73880	75360	me dites pas qu'il y a du beurre en plus
75360	75960	c'est un fou
75960	76620	il est chaud
76620	77860	le sandwich est-il chaud ?
77860	78180	c'est un salad
78180	80120	ouais voilà
80120	81260	ça valait ce genre d'applauds
81260	81760	alors déjà
81760	83160	c'est bien que t'en parles
83160	83700	je tiens à m'excuser
83700	84580	parce que j'ai très faim
84580	85060	j'ai pas fini
85060	86420	alors je vais manger
86420	87300	il y a de la figue
87300	87880	il y a de la confiture
87880	88840	tu veux goûter ?
88840	89220	non non
89220	90080	je viens des ramen
90080	90780	je viens des ramen
90780	91600	j'en peux plus
91600	92040	j'adore ça
92040	93200	mais au moins j'ai été servi à l'heure
93200	94000	voilà
94000	96340	comme quoi certains asiatiques
96340	97500	certains
97500	98120	voilà
98120	99920	sont quand même plus
99920	100940	bon bref
100940	101540	non c'est faux
101540	102000	j'aime
102000	104220	toutes les asiatiques
104220	106980	à part les enfants
106980	107880	évidemment
107880	108600	bien sûr
108600	109760	je vais parler un peu
109760	110320	la bouche pleine
110320	111100	voilà
111100	111800	je les préviens
111800	112880	voilà
112880	113560	voilà j'ai faim
113560	114360	et la tête vide
114360	115440	parce qu'on rappelle
115440	116200	que t'es un gros con
116200	116800	on joue au gros con
116800	117520	alors
117520	119280	quelle est la capitale
119280	120100	du Venezuela ?
120100	120280	non merde
120280	120960	non les couilles vides
120960	122240	yes
122240	123160	Porto Rico
123160	126300	un point gros con
126300	127680	allez allez continue
127680	128760	ok
128760	129980	qui
129980	131500	était
131500	132540	la femme
132540	133520	du général
133520	134720	de Gaulle ?
134720	135300	Marie-Antoinette
135300	138580	c'est un point gros con
138580	139460	bien joué
139460	139740	en même temps
139740	140480	il y avait beaucoup
140480	141740	il y a une bonne réponse
141740	142140	c'est plus facile
142140	143280	de gagner au jeu du gros con
143280	143680	que l'inverse
143680	144400	en fait c'est ça
144400	145440	il y a une mauvaise réponse
145440	146620	qui était Yvonne
146620	147820	de Gaulle
147820	149080	son nom de jeune fille
149080	149660	on ne le connait pas
149660	151280	a-t-elle été déjà une jeune fille
151280	152400	à chaque fois que je vois des photos d'elle
152400	153100	elle a l'air d'avoir
153100	154440	100 000 ans
154440	157120	bravo la vieille
157120	158580	des méga vieilles
158580	162320	combien de gens ont su ces deux gaules
162320	164160	à ton avis ?
164160	164420	7
164420	166180	7 ?
166180	166400	bah
166400	167780	dont 2 résistants
167780	168640	dont 3 à Londres
168640	169040	ouais pendant le coup
169040	170600	dont 2 petits résistants
170600	171080	Jean Moulin
171080	172320	Jean Moulin l'a gobé
172320	173260	alors qu'il s'aimait pas trop
173260	174180	mais alors il paraît
174180	174960	que Jean Moulin
174960	176420	a pris en bouche le général
176420	176760	le gros
176760	177060	ouais
177060	179100	on va pas se faire des amis
179100	181240	avec les gens de la droite républicaine
181240	182040	oh ni de la gauche
182040	182540	en toute façon
182540	184020	nous on tape partout
184020	184760	yes
184760	185780	rien à foutre
185780	186920	alors il y a plusieurs rubriques
186920	187620	alors franchement
187620	188940	j'ai voulu insister
188940	189940	pour qu'on fasse cet épisode
189940	190740	c'est vrai qu'on est un peu en retard
190740	191740	mais tu as beaucoup de travail
191740	193980	mais parce qu'en fait
193980	194980	j'en pouvais plus
194980	196620	il fallait que je te dise cette nouvelle
196620	197500	c'est la rubrique santé
197500	198160	t'es prête ?
198160	198500	c'est parti
198500	201520	c'est la rubrique santé
201520	203160	le doc
203160	204880	c'est le doc
204880	206820	alors
206820	207780	mec
207780	208780	j'ai
208780	209680	une
209680	210020	driblou
210020	212140	une deuxième boule de glace
212140	213400	de l'autre côté
213400	214600	c'est pas vrai
214600	215240	je te jure
215240	216520	comment ça de l'autre côté ?
216520	217200	à gauche et à droite ?
217200	217900	à droite
217900	219120	et il y a son parallèle à gauche
219120	220760	qui est en train d'arriver
220760	221060	quoi
221060	222200	alors
222200	223820	vous me laissez sans voix
223820	225260	la première fois
