start	end	text
0	3380	Tout seul dans le noir, ça ne va pas fort
3380	7880	J'ai un plat piquant, de type surgelé
7880	12460	Je vais le manger, regardons Arthur à la télé
12460	18000	Et ça va pas bien, ça va pas bien, je suis tout seul ce soir
18000	22560	Ce Noël risque d'être le dernier, et c'est pas plus mal
22560	28060	Et ça va pas fort, je suis tout seul, je suis pas trop terrible
28060	32660	C'est Noël, c'est le dernier, et c'est pas plus mal
32660	38380	Ah, on a s'est battu contre l'esprit de Noël, mais là on est le 17, on peut dire que ça y est, c'est Noël
38380	40980	C'est Noël, depuis combien de temps pour vous ?
40980	43840	Ensemble, pour moi c'est Noël depuis quelques jours
43840	46500	Ensemble, passé Noël ensemble
46500	48300	Noël ensemble
48300	52760	Pour tout avouer, comme d'habitude en tant qu'adulte, trentenaire
52760	55900	La magie de Noël arrive de plus en plus tard
55900	56540	C'est vrai
56540	60460	Il arrive de 24 à 22h14
60460	62820	Mais avant, mi-novembre, j'étais tout fou
62820	64660	Là, j'y suis pas encore tout à fait
64660	66760	J'ai pas fait de sapin cette année
66760	68000	Putain, moi non plus
68000	69720	L'année dernière, oui, mais là, non
69720	71400	En fait, j'ai été coupé
71400	74320	Bon, alors déjà, on est en retard, on est plus en retard que d'habitude
74320	76400	C'est vrai qu'on a tourné depuis septembre un épisode par mois
76400	77100	C'est quand même pas dingue
77100	78680	Quelle régularité
78680	81300	Alors, c'est régulier, c'est régulier, c'est un par mois
81300	82320	On peut pas dire que c'est pas régulier
82320	84160	On en ferait un par an, on serait toujours dans le pilier
84160	86680	De toute façon, la régularité, c'est nous qui décidons
86680	91880	Après, on a dit régularité, mais est-ce qu'on a dit exhaustivité ?
91880	92040	Non
92040	96360	Vous risquez d'avoir une petite ambiance soirée
96360	97380	C'est Noël au bureau
97380	102040	Non, non, mais on a surtout pas dit quotidien
102040	104100	On a pas dit hebdomadaire, on a pas dit mensuel
104100	105300	On avait dit quotidien
105300	106160	Quand on a commencé
106160	106740	On l'avait fait
106740	108880	Quotidien, on l'a fait pendant le confinement
108880	110420	Mais je veux dire, au tout début
110420	112140	Tu te souviens, on avait eu un débat sur
112140	113400	Qu'est-ce qu'un quinzomadaire ?
113400	115380	Qu'est-ce que deux fois par mois ?
115380	117100	On avait jamais vraiment su quoi faire
117100	117660	De toute façon, il faut choisir
117660	119200	Maintenant, on a un P4
119200	121860	On a des jingles
121860	123380	Et du coup...
124000	124960	Ah oui, alors je les entends pas
124960	126220	C'est vrai qu'il faudrait être un casque
126220	127520	Bah je te l'ai fait, là j'ai fait
127520	130560	Ah ouais, mais si je les ai pas
130560	131100	Ça va être compliqué
131100	131760	Bah oui, j'entends bien
131760	134280	Écoute, non, mais ce qu'on va faire
134280	135340	C'est que tu sais, regarde
135340	136040	A
136040	136840	Ouais
136840	138560	Je remonte pour les auditeurs
138560	138780	C
138780	139400	A
139400	142640	Le doc, t'es le doc
142640	144280	Déshabille-toi
144280	145620	Pour les deux docs
145620	146440	Ça c'est A
146440	147420	B, C
147420	150340	Hé, c'est parti
150340	151240	C
151240	153000	Ça applaudit
153000	154100	Voilà, et dès on fait pas
154100	155680	Et dès on fait pas, c'est le bouton interdit
155680	157440	Euh, d'accord
157440	158460	Qu'est-ce que je voulais dire ?
158460	158980	Bon bah voilà
158980	159720	C'est la fin de l'année
159720	160460	Alors non, mais je vais le dire
160460	160940	Je vais le dire
160940	162640	Je voulais pas vous inquiéter les costicos
162640	164440	Puis de toute façon, je l'ai même pas dit à ma mère
164440	165760	Comme ça, on saura si elle écoute
165760	166820	Je sors du Covid
166820	167280	Voilà
167280	167900	Voilà
167900	168680	Il l'a dit
168680	169200	Et
169200	169740	Il l'a dit
169740	171360	C'est quand même le premier de nous deux
171360	172620	Depuis le début de l'épidémie
172620	173320	Qui rira
173320	175160	Qui rira bien le dernier
175160	175900	Euh, non, peut-être
175900	176800	Peut-être les jus
