start	end	text
0	2000	Ah !
2000	4380	Ah ! Ouais !
4380	5440	Oui ? Ouais !
5440	6640	Je crois que ça y est !
6640	7000	Ah !
7000	7660	Je crois que ça y est !
7660	8260	Ha ha !
8260	8780	Ha !
8780	9840	Tu mixages vite fait ?
9840	11720	Attendez, ouais, ouais, bah vas-y, parle, parle !
11720	14220	Moi je parle comme ça un peu souvent.
14560	17680	Je vois pas comment on peut être mieux mixé que ce qu'on est...
17680	19820	Quel oiseau tu crois que j'ai fait là, quand j'ai fait...
19820	20440	Tu le réentends ?
20440	21280	J'ai comme ça...
21280	22560	Alors, je veux bien le réentendre ?
22560	24760	Pour moi on est sur...
24760	26480	Ah, peut-être un dinosaure !
26480	28940	Non, pour moi on était sur un oiseau assez sombre.
30000	32940	Je dirais potentiellement une corneille.
34540	36020	Je n'arrive pas à refaire exactement le même.
36380	38920	Non, mais les oiseaux ne font pas non plus toujours les mêmes...
38920	39340	Ah bon ?
39340	40140	C'était une corneille ou pas ?
40140	41360	C'est pas comme la vache-quiri ?
41360	42400	Qui a toujours le même goût ?
42400	43100	Non.
43340	44060	C'est pas comme la vache-quiri ?
44060	46500	D'ailleurs il y a des crues de vache-quiri meilleures que d'autres, mais bon ça c'est
46500	47420	un autre débat.
47660	49700	Moi je me suis toujours demandé, mais bon on en a déjà parlé.
50320	50700	Je t'ai demandé.
51100	52940	Pourquoi le baby-belles a toujours le même goût ?
52940	55180	C'est hyper dur à faire toujours exactement le même goût.
55800	58060	Ah bah non, une fois que t'as la recette, écoute, ça me paraît assez...
58060	59140	Et oui, mais quand t'as la recette...
59140	61860	De toute façon c'est de la merde industrielle, c'est des robots qui font...
61860	62980	C'est des robots qui dosent.
63100	66000	Non, parce que justement c'est fait avec de la merde d'animaux et tout.
66180	66340	Ouais.
67000	69720	Et du coup comment ils trouvent exactement le même type de merde pour faire exactement
69720	69920	le même goût ?
69920	70860	Ils mettent du sel, ils mettent du sel.
71260	74920	Oui donc en fait on pourrait mettre n'importe quoi, c'est l'assaisonnement qui est toujours
74920	75400	le même, qui fait toujours le même goût.
75400	79000	C'est ça, de toute façon le baby-belles je te dis, on est quand même sur...
79000	81800	Ou alors toi tu dis qu'il y a des crues, c'est pas toujours le même goût exactement.
81800	83340	Non je déconne, en vrai, en vrai.
