start	end	text
0	11780	La France s'apprête à rentrer en guerre et plutôt caustique, dans un effort commun,
12700	25180	s'apprête à apporter ses forces, son courage et deux belles pères de dribloux déjà,
25180	30360	ainsi que les testicules.
30860	32220	Voici le grand combat.
33880	36660	Ça t'entraîne d'aller au combat, ce genre de chant militaire ? Moi, pas trop.
37620	41380	Les chants comme ça d'hommes ensemble sont a cappella, j'aime bien.
41720	44220	Ah oui, moi j'aime bien, mais là, c'est très français ça.
44800	45900	J'ai mis des chants français, ouais.
46280	46640	D'accord.
47260	49720	Toi, tu préférais quoi ? Un hymne national peut-être ?
49720	53760	Non, alors j'avoue que la Marseillaise, moi ça marche sur moi à cause du sport.
53760	55800	Je préfère beaucoup d'hymne à la Marseillaise.
55820	58080	Je m'en rends compte à chaque compétition internationale.
58160	60160	Ah, Marseillaise, c'est top 5 quand même.
61080	62440	Déjà, mondialement, les gens l'adorent.
62500	65280	Alors déjà, on a fait un truc au rugby, c'est qu'on a copié sur les Écossais.
66040	66180	Oui.
66380	66940	Ah oui, alors...
66940	70500	Et on reprend à cappella à domicile le deuxième couplet ou refrain.
70640	74960	Ah non, c'est pas ça, c'est que la dernière fois que j'entendais le chant écossais, c'est le truc du PSG, non ?
74960	80700	Le PSG a repris en faisant « Au ville lumière », sans la chaleur de notre cœur.
80700	83280	Je suis un débile, moi, j'ai fait la connexion qu'il n'y a pas si longtemps.
83420	85700	C'est un truc assez récent, mais...
86280	89400	J'explique le chant, l'hymne écossais.
89420	90180	Flower of Scotland.
93240	97900	Ah oui, c'est vrai, vous êtes toujours Lord ?
97900	98360	Bien sûr.
100440	102700	Vous êtes Lord d'un petit bout de terre en Écosse, c'est ça ?
102700	102940	Tout à fait.
103700	104980	Ça va, ça se porte bien ?
104980	105700	Ça pousse ?
105700	106400	Ça pousse ?
106400	109860	L'entend que je ne suis pas retourné, vous savez, je laisse les grouillots s'occuper du lopin.
110260	111400	Moi, je viens pour...
111400	112860	Ça fait combien de mètres, déjà ?
112860	117220	Facile, j'ai deux lopins, je crois, de deux mètres sur deux.
117920	119140	Ah, ça fait quatre mètres, quand même ?
119140	120280	Oui, mais à des endroits différents.
120900	121280	Ah oui ?
121280	122340	J'ai deux fois deux mètres carrés.
123160	124840	Et ça, c'est pour mettre une tente ?
124840	128020	Non, mais si je dors debout, je peux facilement...
128020	129960	Oui, non, si, c'est en chien de fusil.
129960	133100	Je peux me démerder pour y passer une nuit, mais c'est quand même en pente.
133600	133940	D'accord.
134080	134440	Herbeux.
135000	136500	Et il y a des tics, donc non, pas trop.
136680	138680	J'adorais que quelqu'un se dégage et tu dis...
138680	139720	Non, c'est à moi !
139720	140320	It's mine !
140320	142280	I have my property title.
142840	143540	Qu'est-ce qu'on disait ?
143540	144020	Oui, alors...
144020	145260	Donc, ce chant écossais...
145260	147060	Floor of Scotland, ok, c'est mieux que la Marseillaise.
147840	149880	God Save the Queen, c'est mieux que la Marseillaise.
149940	150400	La mélodie.
151060	152600	Parce qu'aussi, il y a la mélodie, les paroles...
152600	153820	En fait, moi, ce n'est pas les paroles.
153980	155840	Parce que les paroles d'un hymne, c'est forcément...
155840	160840	Voilà, mélodie, instrument derrière, tu vois, je crois que je...
161880	163560	Comment ça se fait qu'aucun pays...
163560	164340	Non, l'Angleterre, non.
164520	166760	...n'ait eu les couilles de moderniser son hymne ?
166760	167820	Genre, il n'y a aucun...
167820	170300	Avec un petit beat électro ?
170300	171420	Je pense que ça, c'est trop.
171560	173620	Mais on pourrait déjà passer à guitare-batterie.
174580	176760	Bah, moi, je trouve que ça ferait bizarre.
177000	178620	Je trouve que ça ferait bizarre, un peu de batterie, tu vois.
179140	182140	Mais, donc, God Save the Queen, elle est bien,
182320	185620	mais je dirais que l'hymne irlandais...
185840	189440	L'hymne gallois, l'hymne écossais et même l'hymne italien
189440	190240	sont mieux que l'hymne français.
191100	192800	L'hymne italien, c'est quoi déjà ?
192800	198480	Les spaghettis, spaghettis, spaghettis, spaghettis...
198480	199180	Ma !
199180	201660	Ma que la pizza !
201660	203680	Fratelli !
203680	205560	D'Italia !
205560	207140	D'Italia !
207140	208440	Ah oui, non, mais...
208440	209400	Moi, celui-là, je l'adore.
209400	210000	Je te le dis tout de beau.
210000	211400	Il fait pas très...
211400	212560	Il fait un peu...
212560	213660	On va perdre ce match, quoi.
213920	215400	Non, ça, c'est un biais, mais...
215840	217020	En vrai, non.
217520	219960	Il est un peu guerrier, mais pas trop non plus.
220680	221600	Je t'avoue que...
221600	222400	La Russie, c'est bien aussi.
222480	225060	On peut pas dire en ce moment que c'est bien la Russie,
225180	228420	mais où il faut choisir son camp et se dire qu'ils vont gagner
