start	end	text
900	3120	C'est parti mon gars !
3120	4000	Oui bonjour !
4000	7860	Oui bonjour ! Ah t'as un oui bonjour de boulangerie, oui bonjour !
7860	11000	Qu'est-ce que je vous sers ? La bite m'est pas trop fort !
11600	14000	Non je vais prendre 1000 chouquettes parce que j'ai un problème d'obésité !
14520	18000	C'est encore plus triste ! C'est pour vous tout seul ?
18000	24680	Est-ce que toi aussi, des fois tu commandes des sushis et ils te donnent des sets de deux baguettes alors que tu es tout seul ?
24680	29860	Bien sûr ! Mais après j'avoue que moi j'aime bien les grosses commandes pour les sushis.
30000	34880	Je trouve que ça n'a aucun intérêt si tu prends juste les menus d'une personne, ils sont trop pour une personne.
35000	42160	Moi je sais pas si c'est un sushis mais la dernière fois ils m'ont donné 8 paires de baguettes et une brochure pour un centre pour l'obésité.
42160	46840	Ils t'ont pas dit vous commandez en entreprise ? Nous avons des formules spéciales pour vos collègues.
47220	51760	Tu sais que c'est plusieurs fois que les gens ont cru que Urban c'était une entreprise ?
51760	54220	La société Urban Country !
54220	58100	Urban quelque chose, on m'appelait comme ça, bon bref. Je suis une entreprise.
58100	60600	Il s'est passé pas mal de choses depuis la dernière fois qu'on s'est vus.
60700	64980	C'est ça, alors déjà il y a un truc qu'on fait jamais plus alors que bon on va chanter le générique et puis on va partir.
65120	65720	T'es prêt ?
65720	70820	Plus tôt, plus de ghosting, on est plus tôt, plus de ghosting.
70880	74140	Je suis gentil, mais j'en ai plus de ghosting.
74980	77200	Bravo à Hubert pour la fin de la dernière fois on n'avait pas vu.
77200	78080	Putain ouais, super.
78540	80580	Hubert, comment tu l'appelles Hubert le magnifique ?
80580	84140	Je change à chaque fois, il y a le magnifique, le splendide.
84220	84760	Le merveilleux, le caucasien.
85960	86700	L'est-il ?
86700	87420	Je ne sais pas.
87440	88260	On ne sait même pas quoi il ressemble.
88560	90420	Après il s'appelle Hubert, il y a de fortes chances qu'il le soit.
91680	95080	Hubert dans les... J'ai un pote qui s'appelle Hubert...
95820	97340	Tu vas me parler des Domtoms ?
97340	104460	Non, mais en fait, j'en avais déjà parlé, c'était un pote de couleur noire, on peut le dire encore.
104460	108060	Oui, on peut encore en parler, on est encore en démocratie.
109080	113460	Et bien, je l'ai appelé Hubert toute ma vie, puisque c'est comme ça qu'on me disait qu'il s'appelle.
114140	118040	Et puis vers 17 ans, il m'a dit au fait, Hubert, c'est le nom qu'on m'a plus ou moins forcé à avoir en France.
118140	118880	Je m'appelle Aboubaker.
119820	120740	Qui a forcé ?
120740	126440	Et je lui ai dit, écoute Hubert, tu vas pas me faire chier, je ne veux pas t'appeler Aboubaker maintenant, ça fait 17 ans que je t'appelle Hubert.
127060	128460	Et il m'a dit, bah...
128460	132600	Donc je l'appelle, maintenant je l'appelle Abou, mais c'est vrai que dans ma tête, c'était Hubert.
132600	135100	Et qui l'a forcé, c'était quoi ?
135100	139640	J'ai pas trop compris l'histoire, mais bon, ça avait pas l'air cool, et voilà, on lui a plus ou moins dit.
140500	143280	Voilà, ça fait histoire des années 50, quoi.
143500	144920	C'est né en 87 comme on.
144940	146180	Après, on découvre des trucs sur la France.
146560	147800	Et oui, pas très beau.
147960	155820	Et je veux aussi dire que Hubert, c'est le nom de Hubert Koundé, je crois que c'est son vrai nom, la personne noire, on peut encore le dire.
155920	157060	Je crois que ça va pas changer en France.
157080	158100	Qui est donc ton ami ?
158100	158960	Non, dans la haine.
159320	159960	Ah, pardon.
160380	162460	Ah oui, oui, la personne noire de la haine.
163320	164180	Non, mais je vois que ça...
164180	167560	S'ils avaient tous leur nom, il y avait Vince Saïd, et Vince c'était Vincent Cassel, Saïd c'était Saïd Amou.
167600	168520	Donc ça devait être son vrai nom.
168540	169360	Oui, donc il avait gardé son nom.
169360	171260	Donc il y a bien, bon bref, donc on s'en fout.
171540	178440	Mais en tout cas, la dernière fois, il a fait un super taf, on lui avait dit, mais tel son, tel son, tel son, tel son, je crie, machin, hop, il nous a tout bien fait.
178600	179240	Et c'était audible.
179680	179860	Voilà.
179980	181340	C'était vraiment bien fait, Hubert, bravo.
181640	186240	Ça vaut le coup donc de le payer, et donc on doit vous demander des sous.
186420	187380	On relance, on relance.
187640	188360	Voilà, alors...
188360	190640	Ah mais je t'ai pas fait le virement, oh là là, je me le note.
191640	194760	Buy me a coffee, podcast plutôt caustique.
195020	196700	Le lien est épinglé sur Twitter.
197520	201220	Voilà, la cagnotte là les gars, ça coûte de l'argent.
202080	204480	Sinon on vous le redit pour les nouveaux, c'est ça, on va devoir faire de la pub.
204480	209300	Est-ce que vous voulez que Hubert soit au chômage ? Qu'Hubert ne puisse pas se nourrir, c'est ça que vous voulez ?
209300	211280	Voilà, et qu'Urbain soit sur la paille.
211580	222500	Après, c'est vrai qu'Hubert, il est a priori dans la cave, chez Urbain, en proche banlieue, enchaîné à un bureau, un petit meuble.
223900	224840	Un clic-clac peut-être.
225120	226000	Mobilité réduite.
226080	226420	Voilà.
226680	226940	Voilà.
227320	230020	Et qu'il est nourri de manière réduite également.
230100	230380	Il faut monter, il faut monter.
230540	232020	Il y a mes vidéos, il y a mes podcasts.
232660	233220	Bon bah voilà.
233220	234220	Mais tu le payes pas.
234620	236540	Je le paye pas à cause des gens.
236620	237840	À cause des gens.
238380	239140	Moi j'aimerais le payer.
239740	240420	J'aimerais le payer.
240860	241160	Bien sûr.
242040	243100	Bon ça on n'en doute pas, je veux dire.
243600	245340	Vous avez vous le cœur sur la main.
245680	247020	Bon alors il s'est passé énormément de choses.
247040	248720	Il s'est passé énormément de choses, pourquoi ?
248720	252900	À la base, je voulais vraiment qu'on fasse un épisode spécial.
252900	253160	C'est vrai.
253840	255120	Sur ce qu'a dit François Cluzet.
255140	255420	C'est vrai.
255840	257140	Tout le monde nous a envoyé des vidéos.
257400	261480	Vous avez été une bonne vingtaine, je pense, à nous envoyer des trucs à droite, à gauche.
261480	263960	Voilà, alors par contre je trouve ça un peu ridicule les gens qui le font.
264460	265680	Actuellement, j'ai encore su...
265680	266020	C'est trop tard.
266220	267580	Non mais c'est presque insultant parce qu'ils sont là.
267860	269040	Au fait, t'as vu ça ?
269040	270100	Oui, 15 jours après.
270780	271680	Oui, je l'ai vu.
271860	273460	On est quand même censé être des Cluzos.
273760	275740	Et puis on bosse plus ou moins sur internet.
276200	279540	Voilà, donc à un moment j'ai été quand même vexé quand il y a deux, trois jours les gens.
279540	285020	Bon, par contre, il n'y a pas longtemps, on m'a envoyé et j'aurais voulu faire l'épisode spécial juste sur ce qu'il a fait sur En Aparté.
285120	285400	Bien sûr.
285400	286300	Pour ceux qui ne savent pas de quoi on parle.
286500	286780	Bien sûr.
286880	289160	Mais il a aussi fait un truc sur Combini où il parle d'intouchables.
289520	289740	C'est ça.
290380	291540	Alors j'ai pas...
292580	299340	J'avoue que j'ai préféré, moi, me focaliser sur En Aparté parce que j'ai peur de me dégoûter de Cluzet sinon.
299780	300260	Tu vois ce que je veux dire ?
300260	301200	En ce moment, il est chaud.
301280	301920	Trop de la Cluze.
302680	303540	Trop dans...
304240	306460	Moi, je le préfère peut-être dans ses films en vrai.
306460	311240	Et j'ai aimé, évidemment, que taper sur Lucky and Bigard, ça me fait rire.
312640	313580	Mais il le dit lui-même.
313900	317680	Je suis dans le show, je fais du cirque, tu vois, je fais le mariole.
318800	319920	Attention à ne pas se caricaturer.
320060	320380	Attention.
320740	321800	Attention à ne pas se caricaturer.
321920	324260	Mais donc, il y a eu ça.
324500	325980	Et après, donc on voulait faire cet épisode spécial.
326100	328140	Et après, bam, j'ai le Covid, bam, Clément a le Covid.
328500	328820	Exactement.
328880	329360	Deuxième Covid.
329380	329720	Deux Covid.
329720	330800	Alors moi, mon premier.
331560	332240	Toi, ton deuxième.
333160	334060	Ah, c'était ton premier, toi ?
334060	334420	Mon premier.
334520	335700	En tout cas, mon premier diagnostiqué.
336460	339180	Et vu les symptômes, je pense que c'est la première fois que je l'ai, en effet.
340020	341120	Tu chiais du sang ?
341120	342320	Je pleurais du sang.
343620	344760	Et je chiais du caca.
346020	346540	Ah d'accord.
346700	346840	Ouais.
347200	347840	Je fais le contraire, moi.
349660	352000	Non, écoute, c'était assez pénible comme expérience.
352720	354000	On en a un peu parlé hier.
354300	357220	Je t'avoue que moi, je n'ai pas trop apprécié.
357320	358180	Et je n'en suis pas encore sorti.
358180	360300	Donc je m'excuse pour les quintes de tout potentiels.
361920	363660	Donc ouais, non, plutôt détestable.
364620	368220	J'ai appris par vous que potentiellement, mon vaccin, en fait, n'avait plus vraiment d'effet.
369840	372000	Là, je crois, six mois après la troisième dose.
372860	373040	Oui.
373180	374920	Donc oui, j'étais un petit peu vexé.
375400	377300	Là, tu bois du Plexitron, c'est plus ou moins la même chose.
377480	379120	Au bout de trois mois, il n'y a plus rien dans ces trucs.
379340	382320	Mais j'ai été quand même très vexé de ne plus être...
382320	382540	Moi aussi.
382640	383000	Je suis pro-vax.
383000	383200	Attention.
384280	384940	Tous les vax, d'ailleurs.
385200	385420	Tous.
385680	386240	Tous les vax.
386640	387400	Vous avez un vax ?
387400	387760	Allez.
387760	390260	Non, mais il inculque le sida.
390540	390740	Merci.
391340	391820	Donnez-le-moi.
392200	394520	Non, mais tu vois, voilà, j'avais encore ce petit truc.
394640	396360	J'étais content d'être dans la team.
396560	397820	Je ne l'ai jamais eu en 2022.
398860	399580	Tu l'avais déjà eu.
399940	403460	Je pense, mais soit asymptomatique, soit il y a très longtemps.
403740	406740	Non, mais tu as eu plein de symptômes pendant nos trucs de...
407620	408900	Je ne voulais pas te faire tester, mais tu l'as eu.
409360	409900	Je ne suis pas sûr.
410480	412080	Franchement, là, en tout cas, j'ai vu une différence.
412640	413780	Bon, moi aussi, je l'ai...
413780	415200	Oui, mais toi, tu as eu tous les symptômes et tout.
415220	418020	Moi, je n'ai eu que le symptôme, le pire symptôme.
418140	419280	La première fois, j'étais crevé.
419860	421620	Non, la première fois, je n'ai presque rien eu.
422000	423160	J'étais en sortie de troisième dose.
425320	428800	Et cette fois-ci, j'ai...
428800	429860	Au début, ça commence par un rhume,
430020	431940	mais surtout, le truc qui m'a vraiment fait chier
431940	434260	et qui a duré deux jours hardcore
434260	435320	et qui s'est arrêté comme ça,
435520	436520	c'est un mal de gorge.
436700	437860	Mais une angine.
438400	440120	Mais comme je n'en ai jamais eu de ma vie.
440120	441600	Il semble que ce soit assez courant,
441760	443640	le mal de gorge sur le nouveau variant.
443640	446060	Je devenais fou.
446280	447060	Je n'avais jamais eu ça.
447280	448260	C'est-à-dire qu'en plus, tu deviens fou
448260	448980	parce que tu te dis,
449060	450060	j'ai mal à chaque fois que je déglutis.
450080	450400	Non, mais c'est horrible.
450640	451300	Donc, tu déglutis.
451380	453700	Alors, est-ce que je déglutissais plus ?
453700	454040	Ou pas.
454220	454960	Parce que là, je ne m'en rends pas compte.
455440	456700	Mais par contre, là, je vous dis,
457620	458760	ces deux jours, je m'en souviendrai,
459360	460080	je déglutis, là.
460400	461280	Tu vois, là, regarde, je peux le faire.
461420	461600	Vas-y.
462000	462520	Ah, mais c'est un plaisir.
462920	463540	Ah, non, mais...
463540	464640	Là, c'était de la zone...
464640	466200	Une déglutition presque naturelle.
466200	468120	On part de la pomme d'Adam que j'ai
468120	469040	car je suis un mal.
469060	469640	Un mal, oui.
470140	472760	Jusqu'à vraiment le bas du cou.
473180	474260	Mais c'était...
474260	477200	Et tu crois que tu as une angine en plus ?
477680	479060	Non, je pense que c'est le symptôme.
479840	480680	Enfin, c'est ce qu'il disait.
480840	481300	Non, mais c'est horrible.
481400	482760	Moi, je me souviens, figure-toi.
483520	485100	Tu as raison, on s'en souvient, en fait.
485340	485640	Ah, oui.
485720	487140	Mon angine, ma pire angine,
487220	487960	j'en faisais beaucoup avant,
488400	488860	maintenant plus.
490020	491620	J'ai fêté mon bac avec une angine blanche
491620	492740	et c'était horrible.
492740	495600	Je me souviens de pas pouvoir déglutir,
495700	496420	pas pouvoir boire.
496720	497500	L'alcool aide, quand même.
497500	497920	Pas pouvoir manger.
498780	500300	Moi, je me souviens que l'alcool aidait, quoi.
500320	501040	C'était horrible.
501200	501620	Mais bref,
502040	503140	l'atout, les courbatures,
