start	end	text
360	1700	Pas de chichi mon pote !
1700	2940	Allez pas de chichi, c'est parti !
2940	4260	C'est parti !
4260	5340	Plutôt !
5340	6280	Plutôt ghostique !
6280	7720	On est Plutôt !
7720	8720	Plutôt ghostique !
8720	11880	Je suis gentil, il est méchant, on est Plutôt ghostique !
11880	13180	C'est moi le gentil, voilà.
13660	14300	Aujourd'hui ?
14300	15040	Non, tout le temps.
15880	16920	D'accord, d'accord.
17060	20160	Non, non, mais en vrai les gens pensent souvent, je pense qu'ils pensent...
20160	21820	Tu crois ? Est-ce qu'on a déjà dit ?
21820	25340	On a déjà fait un sondage, je pense que les gens pensent que c'est moi le méchant.
25340	30520	Et je crois que dans ma bio Twitter, j'ai dit que j'étais le gentil flic de Plutôt ghostique.
31120	33400	Et dans la tienne, tu dis que je crois que tu es le méchant.
33840	34440	C'est possible.
36180	38520	Dans ma tête, ça n'a jamais été clair, je l'ai mis pour le fun.
38820	39860	C'est pas moi qui...
39860	40860	C'est pas moi, hein ?
40860	42020	C'est pas moi, hein ?
42020	43360	C'est pas moi qui l'ai tué le gamain !
43360	44660	Il a pas touché au gamain ?
44660	45440	Il a pas été touché ?
45440	45840	Alors ?
45840	47240	Bon, et puis c'est lui qui a provoqué aussi.
47360	48860	Ah, il était avec son petit short.
48980	49940	Voilà, et je l'ai pas touché.
50200	51700	Non ? Excepté une fois ?
51700	52260	Mais voilà.
52820	53600	Au chalet ?
53600	54800	Mais c'est lui qui a provoqué quand même.
54960	55360	Ah oui ?
55360	56140	On peut dire ça.
56740	57980	On peut dire les choses.
58120	59500	Le petit diablotin.
59940	63060	Voilà, avec ses petits shorts et ses petites manières, là.
63160	65600	Bonjour, comment ça va, monsieur le boulanger ?
65600	66520	Ses petites soquettes.
68780	69780	Bon, ça va ?
69780	70420	Ça va très bien.
70420	71360	Ça fait longtemps qu'on s'est pas vus.
71660	73900	C'est vrai, dis donc, on a essayé d'être plus réguliers.
74020	75220	On va quand même faire trois semaines, c'est pas grave.
75220	77740	Bah ouais, mais on a tout fait pour, mais trop de travail.
77980	79560	Ouais, ouais, putain, moi j'ai trois podcasts.
80100	80720	Trois podcasts.
80860	82780	Merci à tous les auditeurs de...
82780	84220	Quasi quotidien.
84280	84980	Quasi quotidien.
85060	88380	Merci à tous les auditeurs de Plutôt Caustique qui ont basculé sur sortie de scène.
88440	89860	Et franchement, je vous félicite.
90200	90480	Ah bon ?
90480	91060	Beau projet.
91680	94240	Alors j'en ai très peu écouté, mais je trouve l'idée géniale.
94500	95600	Très peu, on est zéro ?
95600	98200	Franchement, je vous félicite.
98720	103860	Déjà parce que vous êtes bougé le cul, puis parce que j'ai écouté aucun finalement.
104700	109780	Par thèse, combien de journalistes littéraires parlent des livres qu'ils ont lus ?
109780	111860	Même le Welbeck, ils le lisent pas.
111860	115460	Non, non, mais il y a eu quelques années, je crois qu'il est mort d'ailleurs, le pauvre,
115560	119240	récemment, mais un mec de Libé qui avait chroniqué un concert d'un festival.
119880	121780	En disant que c'était pas ouf et que machin.
121860	122800	Et le mec n'avait pas joué.
123440	125180	Ils avaient annulé le jour même.
125180	129580	Et pas lire le bouquin de Christine Boutin.
130080	130600	Je suis d'accord.
131600	134760	Pas lire le bouquin dans une émission vraiment littéraire.
135120	135800	Je suis moins d'accord.
135800	136100	C'est ton taf.
136340	136920	C'est ton taf.
137980	140140	Au moins, tu lis en diagonale.
141260	143120	Tu payes tes stagiaires pour faire des fiches.
143260	144060	Ça, ça arrive beaucoup.
144200	145340	Non, mais c'est ce qu'ils font.
145440	146160	Mais c'est déjà ce qu'on m'a lu.
146840	148280	Ouais, mais c'est des...
148280	149400	Toi, tu lirais les bouquins ?
149400	150140	Tu lirais les bouquins ?
150140	150660	Moi, je lis les bouquins.
150960	152120	S'il y avait genre...
152120	153380	T'as une émission littéraire ?
153380	154120	Ce serait ton rêve, ça.
154840	155180	Ouais.
155940	156600	À la radio.
157180	157980	On pourrait le faire là.
158540	159060	On l'a fait.
159320	161040	Enfin, regarde, nous, Christophe Siebert, on l'a jamais fini.
161120	161860	D'ailleurs, on l'a jamais fini.
161860	163860	Peut-être, mais premier épisode, on a parlé de Jaénada.
164460	165780	Oui, mais j'avais lu une interview.
165920	166380	Je n'ai jamais lu le bouquin.
166380	166640	C'est vrai.
167560	169220	Moi, je n'ai jamais lu deux bouquins tout court.
169440	171300	T'as déjà fini un livre ?
171300	172080	C'est-à-dire ?
172080	172980	De lire un livre ?
172980	173620	Du début à la fin.
173620	174020	À la fin ?
174020	175180	Ouais, première...
175180	175900	N'importe quoi.
176620	177600	Petit grunge à l'école.
177660	178260	Petit grunge ?
178260	179220	Petit grunge à l'école.
179220	179540	C'était pas mal, petit grunge.
179680	180280	Ce que j'aimais bien.
180600	182020	Non, merde, qu'est-ce qu'on disait juste avant ?
182020	182380	Je te coupais.
182380	183560	Bah si, tu me suis dit si j'ai une émission.
183660	184400	Tu me félicitais sur mon podcast.
184520	184680	Ouais.
184680	185540	Bah vas-y, continue.
185560	186620	Non, bah c'est bon, j'ai fait le tour.
186800	187920	Parce que ça reste un peu de la merde.
187920	188700	Mais je trouve que...
188700	189120	Non, je trouve.
189520	189880	Le concept ?
189880	191900	Déjà, le concept me plaît beaucoup.
192220	192780	L'instantané.
193000	193860	Je trouve ça très malin.
193860	199100	Je trouve qu'il y a, évidemment, une liberté de ton que t'as emprunté à ce podcast.
199260	199940	Ça, c'est sûr.
199940	201080	Parce que j'hésite pas.
201280	203180	J'hésite pas à gueuler !
203180	203940	Et ça, mon gars...
203940	205740	Là où il faut gueuler !
205740	206740	Les politiquaires...
206740	207520	Notamment !
207520	208220	Emprennent...
208220	209720	Notamment !
209720	211860	Sur les politiquaires !
214500	215580	Excusez-moi.
215760	215960	Bravo.
217640	218520	C'était long, bravo.
218700	220820	Bah non, mais tu vois, je trouve que...
220820	222860	Et déjà, s'y tenir, il y a une sorte d'hygiène.
222860	224320	D'hygiène de ce podcast.
225380	228040	Et pourtant, quand on pense à toi, c'est pas forcément le premier truc qui vient.
228140	228780	L'hygiène, l'hygiène.
229060	230140	Et là, on se dit...
230140	230280	Ok.
230820	231140	Régularité.
231680	232900	C'est un peu pareil.
233020	234660	Un pilier de plutôt caustique.
235180	235820	Franco de port.
236080	238860	Et surtout, je trouve que...
239720	240640	Il y a une nouveauté.
240940	241860	Nous, on est arrivés...
242860	244340	Les Américains, ça c'est ça depuis longtemps.
244580	247380	Henri Michel avait déjà du blabla bien drôle.
247760	249040	Exactement ce qu'on voulait faire.
249120	250060	Il y avait sympa la vie aussi.
250200	251100	Il y avait sympa la vie.
251100	255480	Donc, on n'est pas arrivés non plus en terrain complètement...
255480	256440	On n'est pas arrivés dans des friches.
256560	257940	Oui, mais ce qu'on a apporté, c'est un temps.
258520	259920	Et nous, on a apporté...
259920	261160	T'as lâché une caisse ou...
261160	261960	Non, c'est...
261960	262160	D'accord.
262260	262840	Avec les chausses.
262920	265100	Mais après, si tu veux que je lâche une perlouse, il n'y a aucun problème.
265180	267640	Écoute, ça peut être un nouveau pilier.
267640	271920	Et il y a mangé à 45 minutes et beaucoup de houmous.
272100	273220	Je veux dire, si ça va...
273220	274740	Oh non, t'as pas mangé du houmous.
274740	279620	Si ça va partir un concert sur l'eau de batterie, il n'y a pas de problème pour moi.
279820	284800	Pour les auditeurs de la première saison, vous savez que c'est très dangereux quand Urbain mange du houmous.
285320	289860	Notamment parce qu'il se réveille après la nuit en cauchemar, en tapant comme ça.
289860	291340	Mais je crois que ça s'est un peu calmé.
291520	298340	Et aussi, en ce moment, dans mon régime actuel dont on va parler, il y a pas mal de...
298340	300160	Ça revient assez régulièrement ton régime.
300300	302240	Ben oui, parce que je re-grossis et je remégris.
302480	302920	D'accord.
303220	304600	Là, t'as maîcrit ou grossi ?
304600	306280	Ben, par rapport à quand.
306420	307240	Disons que là, j'étais...
307240	309240	La dernière fois qu'on s'est vus, c'était il y a un mois ?
309240	311620	Tout ce que j'avais perdu, je l'ai repris.
311800	311940	Oui.
312320	312960	Voire plus.
313160	313300	Oui.
313640	314200	Benoît Blanc.
314480	315500	T'as oublié quelque chose.
315560	316300	Tu peux y aller, mon grand.
316500	317180	Bonjour, Benoît Blanc.
317240	317900	Ton ordi ?
317900	318860	Benoît Blanc, mesdames, messieurs.
318900	319180	Benoît Blanc.
319720	321080	Inernet, chou le cake.
323080	323360	Voilà.
