start	end	text
0	2000	Allez, bon, bah...
3520	4980	Un, deux, trois.
5420	7620	Aujourd'hui, on n'a plus le droit
7620	10380	de faire un épisode tous les six mois.
11580	13360	Dépasser le chacun pour soi.
13580	16120	Quand je pense à toi, je pense à toi.
16540	18600	Je te promets pas le grand soin.
18620	19500	Faut qu'on change un peu les paroles, Luc.
19800	20740	Ah oui, attends, parce que, pardon,
20840	22020	j'étais en train de regarder, excuse-moi,
22140	23740	on avait dit, on fait lundi...
23740	25440	J'essaie d'être régulier,
25820	27860	mais nan nan nan nan...
27860	29440	J'étais pas prêt, en fait, en avance,
29440	29820	j'étais pas prêt.
29820	31980	C'était plutôt, plutôt caustique.
32160	34580	Aujourd'hui, on n'a plus le droit
34580	37520	d'enregistrer une fois par mois.
38560	41220	Dépasser le une fois tous les six mois.
41660	44180	Quand je pense à toi, je pense à moi.
44660	47780	Je te promets pas un super épisode
47780	50760	avec quelque chose de très quali,
51080	53780	mais bien du rire, de la régularité,
54240	56520	et peut-être Joël Dupuche.
57520	58180	Ah, c'était bien, là.
58180	61620	Bon, non, mais on a un tout petit peu de retard,
61740	62880	mais c'est la vie qui le veut, ça.
63200	63940	Un poiliche.
64400	65280	Un tout petit peu.
65440	66520	Déjà, on n'a pas attendu six mois,
66620	67940	comme la dernière fois, ce qui est quand même...
67940	69440	Mais ce qui est pas mal, c'est qu'à se mettre des...
69440	71300	On s'était mis un petit objectif une semaine.
71580	71760	Oui.
71860	72840	Et du coup, on l'a niqué.
73040	74760	Mais plus on se met un objectif bas...
74760	78200	On a enregistré le 10 ou le 3 octobre ?
78200	80280	Tu sais plus.
80820	82420	Mais c'est sorti le quand ?
82420	83140	Le...
83140	85020	C'est sorti le 16.
85200	85780	T'es fort, hein.
85780	86720	T'as vu, on avait dit 7.
86900	87680	Moi, je te trouve trop fort.
87760	88260	Je te baisse un peu.
88260	88580	C'est fort.
89220	90300	Mais non, non, c'est pas mal.
90500	90880	C'est fort, c'est très fort.
90960	93040	Déjà, on enregistre avant l'heure d'hiver.
93980	94700	Je trouve que c'est quand même...
94700	95780	C'est quand l'heure d'hiver, ça me déprime, ça ?
95780	96280	C'est dimanche.
96640	97080	Oh !
97080	98240	Ah, le double...
98240	100020	Mais c'est suivi de la Toussaint, la fête des morts.
100400	101020	Oh, le double...
101020	102420	Le triple coup de bambou !
102420	105540	Enfin, c'est suivi de la Toussaint, puis de l'armistice.
105620	106180	Bon, ça va être sympa.
107240	108960	Donc, on commence.
109480	110240	Avant générique.
110420	112520	Ça commence quand, la Coupe du Monde ?
112520	113740	Bah là, dans quelques jours.
113940	114980	Tu boycottes ?
114980	116760	On en a parlé la semaine dernière.
117040	118140	Et tu boycottes ?
118140	118620	Ouais, peut-être.
120320	123060	Moi, je vais boycotter tous les matchs chiant.
123080	131100	Écoute, je t'avoue que j'ai vu les guidelines spectateurs de la FIFA.
131660	132220	C'est pas jojo.
133580	137180	Interdiction de fringues au-dessus du genou ou d'épaule découverte.
137900	139400	Interdiction de consommation d'alcool.
139580	141120	Interdiction de consommation de charcuterie.
141560	144760	Si possible, évitez de regarder les locaux.
144760	145720	C'est mal vu.
146120	148300	Si possible, ne pas leur parler, ni leur serrer la main.
148720	150740	Et alors, surtout, n'utilisez pas votre main gauche.
151200	151800	J'ai jamais eu...
151800	152800	C'est très mal vu, la main gauche.
152900	154660	J'ai jamais eu la main gauche.
154940	157180	Parce que ça sert à se nettoyer le fiac, normalement, la main gauche.
158040	160820	J'ai jamais eu autant envie que des Anglais bourrés.
161160	161560	Mais c'est ça.
161580	162460	N'importe quoi, une coupe du monde.
162740	163400	C'est exactement ça.
163600	168440	Toute leur description de ce qu'il ne faut pas faire, c'est un Anglais bourré à 14 heures en terrasse.
169520	171400	J'espère qu'ils vont foutre la merde, des Anglais.
171400	175680	Moi, je suis prêt à financer le truc, qu'on en envoie une armée qui nous fasse vraiment,
175760	178020	dès le premier jour, torse poil, tout rougeau.
178360	180520	Oui, puis en plus, là, tu vois, il va y avoir des tensions géopolitiques.
180640	181860	C'est-à-dire que d'habitude, les Russes...
181860	183720	Tu te souviens, Marseille, c'était Russes contre Anglais, je crois.
183780	186180	Les débordements à la Coupe du Monde, l'Euro.
186540	188960	Mais là, en vrai, ils vont vraiment avoir peur dans un pays comme le Qatar.
190080	191000	Je ne sais pas.
191080	192160	T'es arrivé en équipe de 300...
192160	195280	Si vous avez un Anglais bien énervé, bien peinté au soleil, il va faire très chaud.
195840	197120	La chaleur, les Anglais...
197120	201200	Est-ce que les Anglais vont déjà y aller en sachant qu'ils ne pourront pas boire, en essayant de ne pas boire ?
201200	204660	Alors, il y aura des zones qui vendront de l'alcool à proximité, je crois, des stades.
205420	208620	Mais interdiction de les consommer en public ?
208620	211880	Ah non, à mon avis, ils vont trouver un moyen.
212220	215760	Les Anglais peintés par 50 degrés à 14 heures, ça va être un festival.
216320	217560	Rien que pour ça, je pense que je vais regarder.
218020	220740	Mais je vais regarder, je t'ai dit, je vais regarder de manière très sérieuse,
221200	225120	en n'exprimant aucune émotion, même s'il y a un but, je reste neutre.
225180	228960	Mais le Qatar étant vraiment scruté, je pense qu'il va falloir, effectivement,
230820	233020	jouer avec les règles et voir jusqu'où ils vont aller.
233100	236420	Il va falloir qu'il y ait quelques héros qui se bourrent la gueule et qui se mettent en short.
236580	237480	Moi, je voudrais voir un striker.
237480	240380	Je veux qu'un gros Anglais tout nu, tout rouge, plein de coups de soleil,
240540	241820	court à poil au milieu du terrain.
242840	244520	C'est un peu l'image que j'attends de voir.
244520	246460	Après, elle sera censurée, évidemment.
246820	249040	Il faudrait que ça soit deux Anglais.
249200	250020	Il faudrait qu'ils s'embrassent.
250040	250520	Une Anglaise.
250860	251200	Non, non.
251700	252620	Deux Anglais, une Anglaise.
252780	253360	Il faut qu'il y ait une meuf.
253400	255260	Mais il faut qu'il y ait un truc de gay aussi.
255380	255960	Ils n'aiment pas non plus.
256140	256440	C'est vrai.
256680	256960	Gaucher.
257820	258140	Oui.
258400	258800	En short.
