start	end	text
0	2620	Allez, ben...
2620	3780	Eh bien, voilà, c'est parti.
4120	5980	T'as vu, c'est direct, c'est maintenant.
6140	8300	Oui, puis il y a une petite voix qui me maladie dans le casque.
9280	10320	Recording in progress,
10560	12660	ce qui veut dire, bravo les recordings,
12840	14680	vous êtes en progrès, c'est de mieux en mieux.
14680	16020	Et c'est vrai,
16220	19140	c'est vrai que le dernier épisode était pas mal.
19540	20600	Mais il y a d'autres personnes
20600	22600	qui sont en progrès, et je pense que toutes les équipes
22600	24620	de Plutôt Caustique souhaiteraient vraiment
24620	26900	leur passer un petit chapeau. C'est les forces de l'ordre
26900	27940	qui, vraiment,
27940	31100	en ce moment... Superbe taf.
31300	32900	Superbe taf. Vous avez vu
32900	34440	la vidéo avec
34440	36980	cette très dangereuse SDF,
37300	38540	tortue, qu'on appellera tortue.
38560	40880	Oui, la petite tortue géniale. Alors, je les ai
40880	42580	toutes vues, toutes les vidéos.
42580	44940	Franchement, autant on a soutenu
44940	46820	les cheminots, et c'est vrai qu'on les a vraiment
46820	49060	soutenus, et certains
49060	50560	y voyaient parfois, peut-être...
50560	53240	De manière indéfectible et totale.
53360	54940	Et totale. Soutien.
55400	56880	Et d'ailleurs, toujours,
56880	59280	d'ailleurs, avec les cheminots qui sont en grève,
59460	60540	toujours. Toujours.
60740	61880	D'autant plus, cette fois,
62380	64380	certains y voyaient un petit peu de...
64380	65740	Ils trouvaient qu'on était peut-être un petit peu
65740	67480	caustique, un petit peu ironique.
67700	69380	Non. Mais alors, en tout cas,
69640	71260	sur la police, vraiment,
71540	73180	et ce qu'ils font en ce moment
73180	74360	pour maintenir
74360	76320	cette corde,
76320	76780	oui, voilà,
77360	79760	de socialo-communiste qui essaie de renverser...
79760	81340	Et voilà, parce que c'est pas
81340	82080	un métier facile,
82700	84640	et ils pourraient, tu sais, des fois,
84760	86640	peut-être ça donnait à peut-être quelques débordements,
86880	87540	non.
88320	88980	Non, mais tu vois,
89200	90280	il y a des pays...
90280	91740	Oui, non, mais il y a des pays
91740	92720	où ça peut arriver.
92780	92960	Voilà.
93500	94840	Alors qu'en France, nickel.
95960	97220	Bah, écoute, c'est un savoir-faire.
97620	98420	La sécurité,
98660	99680	le maintien de l'ordre à la française,
99900	100260	c'est comme...
100260	100480	Non, mais je veux dire,
100540	101340	c'est dur de le faire
101340	102920	sans bercer dans la violence gratuite.
103120	104280	Tu vois, il y en a qui...
105080	105540	Mais là...
105540	106780	Tu sais, on est le pays des lumières.
107000	108560	C'est-à-dire qu'il y a quand même
108560	109680	toujours un peu...
109680	110480	Derrière le tonfa,
110620	111460	derrière le coup de bâton,
111600	112320	il y a une réflexion.
112320	113320	Ah ben...
