start	end	text
0	2160	voilà
2160	4240	de toute façon t'as pas de temps à perdre
4240	5940	toi t'es quelqu'un d'assez cash de toute façon
5940	7780	moi je suis cash, je suis franco de port
7780	10760	d'ailleurs tu penses que
10760	11620	clairement
11620	13260	bon il y a trois piliers
13260	16420	si tu devais être
16420	17940	un des piliers tu serais lequel
17940	20800	on va prendre tous les piliers
20800	22000	on va se dire
22000	23460	je vais dire un pilier
23460	25720	et puis à trois on va dire chacun
25720	27460	ce qui pense
27460	29980	quelle est la personne qui représente le mieux le pilier
29980	31520	d'accord ?
31520	33960	t'es prêt ? donc je commence par le pilier franco de port
33960	35780	1, 2, 3
35780	36420	urbain
36420	41540	tu penses que t'es plus franco de port que moi ?
41540	42220	je pense que
42220	42740	parfois
42740	45960	à vouloir être franco de port
45960	47240	t'en fais trop
47240	49460	et même toi tu crois pas à ce que tu dis
49460	52260	tu vois je pense à il y a quelques épisodes
52260	54140	sur les mecs
54140	55620	qui perdaient leurs cheveux, les femmes moches
55620	57900	je pense que t'étais presque
57900	59700	ultra franco de port
59700	60920	tu vois ce que je veux dire ?
60920	63240	mon extra franco de port
63240	63260	mon extra franco de port
63260	66140	mon extra franco de port
66140	66180	mon extra franco de port
66180	66700	mon extra franco de port
66700	67280	en fait non c'est même pas ça
67280	67880	je pense que c'est
67880	70400	l'humour finalement
70400	72480	et ce besoin de faire rire
72480	73820	qui est un peu ton bouclier
73820	75320	ton armure finalement
75320	77240	parfois tu préfères
77240	78980	je pense que si tu devais choisir
78980	79860	entre être drôle
79860	81120	et franco de port
81120	82920	tu choisiras toujours l'humour
82920	84700	et c'est superbe
84700	85920	d'accord
85920	88100	c'est une belle analyse
88100	89100	c'est vrai que j'ai un bouclier
89100	90920	parce qu'il ne faut pas que les gens sachent
90920	92080	que je suis pédé
92080	94460	ça j'aimerais vraiment pas que les gens
94460	95860	ça c'est ton plus grand secret
95860	96380	voilà
96380	97800	moi les gars ce que je vous dis
97800	98920	c'est que vraiment mon plus grand secret
98920	100000	c'est que ce qui me tuerait
100000	101560	c'est que vous appreniez tout cela
101560	102300	un par un
102300	105200	que je suis pédé pédé quoi
105200	105760	double pédé
105760	105920	ouais
105920	109760	et ça vraiment c'est un hantise quoi ton cauchemar
109760	111020	c'est mon cauchemar
111020	112160	parce que je sais
112160	113920	que la team pédé
113920	115340	ça fait longtemps qu'elle me dit
115340	116100	rejoins nous
116100	116700	urbain
116700	117880	tu vois bien que t'es des nôtres
117880	119100	et je dis
119100	119760	mais les gars
119760	121040	j'ai pas le temps
121040	122160	j'ai pas le temps
122160	123100	les gars
123100	124500	je peux pas
124500	126100	j'ai pas le temps
126100	126940	les gars
126940	127920	non non
127920	128760	ça c'est presque
128760	129240	non non
129240	130100	tu parles un peu comme ça
130100	130800	tu parles comme ça
130800	131380	les gars
131380	133080	j'ai pas le temps
133080	135400	j'ai cru que vous faisiez une imitation homophobe
135400	136300	j'aurais dégusté
136300	137600	ça va pas non
137600	139280	parce que vous avez déjà fait l'homophobe
139280	140240	vous le faites beaucoup mieux que ça
140240	141160	vous avez déjà fait la fin
141160	142800	oui s'il te plaît
142800	144040	alors en fait c'est marrant
144040	144340	c'est que toi
