start	end	text
0	380	d'habitude.
1780	2300	Eh ben voilà,
2400	3280	Recording in Progress.
3780	4140	Bonjour.
4660	5420	Voilà l'histoire.
5720	6420	Bon, ça fait longtemps.
6440	6640	Ça fait longtemps.
6640	6740	Ça fait longtemps.
7200	8920	Voilà, ça fait...
8920	10360	C'est fou, ça.
10860	11680	On n'a pas enregistré
11680	12420	depuis longtemps, en fait.
12680	14020	Qu'est-ce qui s'est passé ?
14020	14540	Je ne sais pas.
14660	15300	J'étais au chômage,
15380	15740	toi aussi.
16640	18660	Où est-ce que ça a merdé ?
18660	19580	Écoute, déjà,
19660	20240	ça a merdé.
20920	22300	Il y a eu pas mal de ponts,
22360	23460	pas mal de petits week-ends,
23540	24220	deux semaines où j'étais
24220	25320	finalement pas à Paris.
25680	26020	Bien sûr.
26660	27860	Ce qui sera aussi le cas.
28440	29980	C'est moins...
29980	30720	C'est moins jouissif
30720	31500	quand on est au chômage
31500	32760	des ponts, quand même.
32860	33780	On pose des jours.
34180	34980	Finalement, c'est des jours
34980	35640	qu'on avait déjà.
35900	37320	Ouais, ouais, ouais.
37640	37960	Exactement.
38040	39080	Alors après, ça permet un peu
39080	40200	de...
40200	41720	Tu connais, de quitter la grisaille,
41840	43140	un peu de s'enfuir de palable.
43660	45060	Et des chichis.
45740	46560	Parce que...
46560	47660	Je ne sais pas si tu as remarqué,
47820	48440	mais moi, c'est un truc
48440	49400	que j'ai beaucoup vu à Paris.
49480	50640	Les gens ont beaucoup de chichis.
51620	52180	Oui, oui, oui.
52200	53280	Non, alors ça, c'est...
53280	54440	Mais après, tu...
54440	55980	J'espère que tu ne le découvres pas.
56240	57220	On est quand même sur...
57220	58400	Non, non, mais je le savais.
58400	60280	Mais du coup, quand je suis arrivé,
60400	62420	j'ai fait, mais mon Dieu, mais les...
62420	62900	Quoi ?
62900	63300	Mais quoi ?
63300	65520	Le nombre de chichis
65520	66680	que les gens...
66680	67920	Mais ce n'est pas possible.
68140	69100	Ce n'est pas possible.
69120	70160	Vous êtes des grands malades.
70520	71820	Mais en fait, je pensais
71820	72940	que vous chichitez un peu,
73020	75060	mais en fait, c'est chichis.
75080	76280	C'est non-stop.
76520	77200	D'ailleurs, je ne sais pas
77200	77760	si tu as remarqué,
77840	78920	mais souvent, c'est chichis
78920	80020	et compagnie.
80220	81340	Et compagnie, mais bien sûr.
81560	83020	Ce n'est pas que chichis.
83260	83720	Ah, ben non.
84260	84540	Non, non.
84800	85660	Mais ce serait trop simple.
85800	85940	Attends.
86180	87060	Ça les arrangerait,
87060	88180	mais ça les arrangerait trop.
88180	89660	Que ce soit quelque chichis.
89720	90140	Mais bien sûr.
90340	91540	Là-haut, au palais.
91680	92080	Au palais.
92280	93240	Ça les arrangerait.
93620	94760	Les bornes et compagnie.
95060	96120	Évidemment, parce que moi,
96720	97760	je vais te dire,
98540	99680	on m'avait tellement monté
99680	101340	le bourrichon avec ça
101340	101980	que je m'étais dit
101980	102900	chichis, je suis prêt.
103400	104060	Chichis, je suis prêt.
104200	105320	Ah, tu t'étais dit, j'y vais.
105660	106320	Non, mais chichis,
106380	107500	je pouvais encaisser, tu vois.
107920	108180	Mais chichis...
109220	109860	Et compagnie, non.
109880	110680	Et compagnie, non.
110960	111520	Non, non.
112020	112900	Il y a des limites.
113380	114380	Et je peux te dire qu'à Paris,
114500	115280	c'est chichis et compagnie.
115280	116420	Enfin, de ce que j'ai vu.
116580	117080	De ce que j'ai vu.
117160	117740	Je ne sais pas si...
117740	119160	Après, c'est expérience personnelle,
119220	120440	mais mon ressenti est le même.
121140	122360	Je pense qu'on est d'accord
122360	124000	pour parler de sources fiables
124000	124680	sur ce sujet.
125580	126540	Urbain, je ne te le cache pas,
126760	127320	je suis colère.
128280	128780	Ah, tu es furibard.
128840	129420	Mais je le sentais.
129640	130480	Je suis furibard.
130700	133620	Je te sentais furibard.
134000	135760	Alors, j'ai un, deux, trois...
135760	136520	J'ai quatre sujets.
136800	137380	Oh, d'accord.
137580	138700	On ne l'a jamais vu comme ça.
138700	140580	J'aimerais vraiment qu'on fasse les quatre.
140940	142620	Le premier, c'est un petit point
142620	143560	sur ta vie personnelle.
143640	144580	Comment vas-tu ?
144580	146080	Personnel et professionnel, bien sûr.
146200	147620	Comment vas-tu, Urbain ?
147620	151520	Alors, j'ai les plus belles goals
151520	152520	que j'ai jamais eus de ma vie.
152780	154140	Je suis dans mon prime.
154400	156660	Niveau bandaison, c'est exceptionnel.
156680	157120	C'est bien, ça.
157660	159160	Donc, non, mais parce que
159160	160820	quand tu sais que j'ai eu des saisons
160820	161700	moins...
161700	163200	Oui, plus compliquées, oui, bien sûr.
163200	165860	Voilà, mais là, c'est vraiment...
165860	166400	C'est full goal.
166520	167440	Donc, là-dessus, je suis content.
168420	170520	Du réveil au coucher ?
170520	171620	Ouais, c'est full goal.
171760	172920	C'est qui veut manger.
173380	174260	Il y a à manger.
174600	175820	Il y a du gigot pour s'être.
175980	177620	Vraiment, il y aura du rab.
179220	182460	Est-ce que, comme le disait si bien Augustin,
182520	184600	tu es toujours hétéro à 2000% ?
184600	186380	2000% hétéro.
186920	187780	Et comme il disait aussi,
187860	188760	je pense que cette année,
188960	189640	c'est la bonne.
190200	190460	D'accord.
190960	192360	On conseille Dava, évidemment,
192360	192940	à tous nos...
192940	194400	Qui, s'ils ne connaissent pas encore Dava,
194800	195560	c'est tellement...
195560	197620	On est tellement...
197620	198320	Parce que...
198320	199640	C'est le summum de ce qui se fait,
199740	200780	je pense, en humour français,
201160	201560	actuellement.
201760	202080	Voilà.
203020	203500	Tout simplement.
203940	205580	Et si on aime plutôt Caustique,
205620	206880	on ne doit pas être très, très loin.
207220	208320	On ne doit pas être très, très loin.
209600	209920	Attention.
210680	211540	Ah non, je n'ai pas dit en niveau,
211640	212780	j'ai dit en termes de...
212780	212940	Ah oui.
213100	213640	Dans l'esprit.
214140	214620	Dans l'esprit.
214620	215400	Oui, en termes...
215400	217120	Je pense qu'il y a pas mal de Davos
217120	218000	qui peuvent se retrouver
218000	219340	dans les Causticos et vice-versa.
219380	220260	Et contrairement,
220520	221940	si on a des flots de Castos
221940	223040	et des Rivieros,
223400	224580	finalement,
224720	226380	c'est plus des Davos.
227920	228660	C'est notre famille.
229140	230560	Qui sait, un jour, peut-être,
230640	231640	on les accueillera,
231800	233100	mais ils sont...
233100	234100	Si nous...
234100	234840	Si nous...
234840	235900	J'aime bien quand on dit
235900	236720	qu'on va voir des gens.
238340	239580	Depuis mai 2018.
239920	240240	Oui, oui.
240380	240900	On tease.
241440	241860	D'ailleurs,
242320	243420	bon 5 ans.
243980	244920	Oui, bon anniversaire.
245160	245900	Bon anniversaire.
246020	246720	C'est 5 ans.
247140	248720	Si on était un enfant...
248720	249900	Est-ce que si on était
249900	250660	le petit Grégory,
250720	251880	on serait déjà mort ?
251880	253720	Quel âge il avait,
253840	254980	petit père ?
254980	256040	C'est glauque.
257340	258760	Je crois qu'il était plus jeune.
258980	259240	En fait,
259380	260040	sur les photos,
260180	261180	quand ils le ressortent
261180	261700	de la rivière
261700	262420	tout boursouflés,
262660	263540	on voit...
263540	264440	On n'a jamais retrouvé
264440	264740	de photos.
264880	265080	En fait,
265140	265860	on n'a jamais retrouvé
265860	266060	de corps.
266060	266320	Il y en a,
266380	267280	mais si,
267340	267980	bien sûr que si.
268160	268340	Ah si,
268380	268440	si,
268440	268880	on a le corps.
269060	269320	Ah si,
269400	270180	il avait 4 ans.
270940	271100	Non,
271200	271560	en revanche,
271620	272360	si on était Grégory
272360	272900	le Marshall,
273620	275300	on serait toujours vivant.
275380	275720	Ouais.
276280	277180	Pas pour très longtemps.
277480	278680	Pas pour long time,
278740	278880	non.
279480	280400	Mais toujours vivant.
280640	282180	Pourquoi les gens font encore...
282180	283240	C'est fou comme la mort.
284000	285180	Autant ça peut sublimer
285180	285960	des légendes,
286480	287120	autant vraiment,
287460	288140	il ne faudrait quand même pas
288140	289540	que ça rende des bouffons.
289880	290000	Enfin,
290040	290860	si Grégory le Marshall,
290940	291300	c'était quand même
291300	291840	vraiment nul.
292020	292660	Pourquoi ?
292660	292740	Ouais,
292800	293400	mais je crois que les gens
293400	294200	l'aimaient déjà beaucoup
294200	294560	à l'époque.
295740	296000	Ouais,
296120	296400	mais enfin,
296460	296700	quand même,
296800	297120	là j'ai l'impression...
297120	297680	Mais c'est l'avantage
297680	299040	de la mort jeune.
299800	299980	Tu vois,
300060	301380	quand t'avais inventé...
301380	302060	C'était avec Topito,
302140	303000	je crois que t'avais inventé
303000	304380	ce que seraient les chansons
304380	304840	de Nirvana
304840	305960	s'ils ne s'étaient pas
305960	306400	foutus en l'air.
307980	308680	Et évidemment,
309000	309980	il faut que tes idoles
309980	310660	meurent vite
310660	311360	parce que sinon,
311560	312720	t'as assez de temps
312720	313400	pour les voir devenir.
313520	314300	C'est rare en fait,
314860	315300	des idoles
315300	316100	qui ne te déçoivent pas.
316220	316320	Moi,
316360	317100	il y en a tous les jours
317100	317460	des nouvelles,
317460	317720	tu vois.
317980	318880	J'avais oublié
318880	319620	ce sketch
319620	320100	qui avait été
320100	321460	un formidable four.
321980	322120	Ouais,
322180	322440	un four,
322520	323720	mais qu'on rematte
323720	324600	avec plaisir
324600	325960	quand il revient
325960	326540	sur nos réseaux,
326600	326820	tu vois.
327400	327700	Alors,
327880	328040	oui,
328500	328800	alors,
329200	331420	comme on avait...
331420	331580	Enfin,
331620	332620	pour ceux qui n'ont pas vu
332620	333860	et les très nombreux,
334380	334960	en fait,
335060	335860	c'était de...
335860	336220	Mais Hubert,
336300	337200	il peut nous mettre
337200	337720	un petit extrait,
337740	337960	si tu veux.
338120	338300	Oui,
338380	338720	c'est vrai.
339680	340400	On va retrouver ça,
340460	341180	on va lui envoyer le lien.
341860	342800	Celle sur les impôts
342800	343360	était pas mal.
343420	343580	Ouais,
343660	343820	voilà.
344460	345420	J'en ai marre
345420	346440	des jeunes
346440	348740	sont toujours
348740	350580	le nez fourrés
350580	352560	dans leur smartphone.
352920	354540	Respect de rien,
355040	357060	c'est des vraies fainéasses
357060	358820	de monde en faisait
358820	361080	de la vraie musique.
362120	362800	On pète
362800	364000	trop la peau.
365680	368220	On pète trop la peau.
369600	371940	On pète trop la peau.
373400	375580	On pète trop la peau.
375580	396500	Je pense que les gens
396500	397220	n'avaient pas compris.
397220	399140	disons que là,
399840	400400	dans le futur,
400600	403620	Kurt Cobain serait devenu
403620	404480	et de droite
404480	405260	et français.
405940	405960	Donc,
406040	407820	c'était un peu...
407820	409840	Ça aurait fait beaucoup.
410660	411720	Les gens n'étaient pas prêts.
412300	412660	Non,
412760	413240	on aurait pu le faire
413240	414180	sur Renaud,
414720	417020	mais il l'avait déjà fait
417020	417860	finalement avec Jean-Bras.
417860	418380	Au final,
418720	419020	Renaud,
419220	420880	ça s'est vraiment passé.
422280	422640	Alors,
422760	422840	ça,
422900	423320	c'est le premier sujet.
423820	424160	Personnellement,
424300	424600	ça va,
424960	425920	ça travaille en ce moment.
426340	427480	J'ai fait une petite tournée.
427760	428020	Des fois,
428080	428820	ça se passe super bien.
429100	429840	Je suis allé dans des villes
429840	430540	un peu inconnues
430540	431260	comme Auré.
431880	432200	Bien sûr.
432200	433840	C'est très joli Auré.
433940	435280	On salue nos auditeurs d'Auré,
435840	436920	nos auditeurs de Van
436920	438200	et de tout le coin.
438380	438720	C'est très,
438860	439020	très joli.
439140	439400	Donc,
439700	439860	ça,
440100	441700	c'est chouette.
442000	444200	Je viens de faire...
445820	446460	J'étais en direct
446460	447700	sur Rire et Chanson
447700	448360	samedi soir
448360	449140	et normalement,
449200	450900	le sketch est enregistré
450900	451960	et donc,
452120	453560	sera diffusé sur les ondes.
453760	456520	J'ai eu l'accord.
456680	457660	On s'est serré la pogne
457660	458300	et on a craché avant.
458300	458540	Attends,
458760	459860	ton sketch va passer
459860	460620	sur Rire et Chanson ?
460620	461140	Tout à fait.
461560	462180	En tout cas,
462200	462460	déjà,
462560	463100	il y est passé.
463240	463760	Ça en direct,
463860	463960	ça,
464020	464280	c'est sûr.
464440	464540	Ça,
464600	464780	déjà,
464880	465280	ça s'est fait.
465740	466120	Ça s'est fait.
466240	466900	Ça s'est fait.
466900	466920	D'accord.
467300	467820	Mais normalement,
467840	469600	il y aurait utilisation du direct
469600	472080	pour une rotation lourde.
472320	473080	J'ai demandé de toute façon.
473420	473740	De toute façon,
473840	474360	je n'ai pas compliqué.
474480	477960	J'ai regardé mon directeur,
478040	478520	Laurent Thibault.
478600	479440	J'ai craché dans la pogne.
479580	480320	J'étais nu.
480540	480900	Je lui ai dit,
481000	481520	de toute façon,
481600	482420	tu sais le deal que je veux.
482560	483520	Je veux le deal Dyer Strait.
483700	483860	Il me dit,
483920	484060	non,
484600	485360	le deal Dyer Strait,
485460	486100	c'est que pour des proches.
486100	486300	Je lui ai dit,
486340	486500	moi,
486540	486900	je m'en fous.
487260	488240	Et tu me dis le Dyer Strait.
488320	489400	Chaque fois qu'il y a un Dyer Strait,
490240	490720	un courti.
491720	492540	Sultans of Swing,
492740	492940	bam,
493500	494660	Urban Le Sketch sur les vegans.
494780	495200	C'est obligé.
495200	495660	C'est pas mal.
495760	496180	C'est pas mal.
496680	497580	Je te pensais plus
497580	499040	dans de la chanson française.
499400	499660	Eh bien,
499720	500240	justement,
500440	500880	il m'a dit,
501780	502080	et là,
502140	502960	je le cite,
504220	505620	on va te faire enculer,
505740	505940	ouais,
506500	506980	tu auras le deal
506980	507560	Since Emilia.
507560	508040	Donc,
508640	510300	c'est plus une fois par jour.
510320	511620	Un petit truc un peu nostalgie,
511880	513020	tu sais comment elle s'appelait ?
513020	514720	Je suis amoureuse
514720	516820	d'une terre sauvage.
517260	518440	Et maintenant,
519260	519440	hop,
519980	520660	Urban Courti.
520800	521020	Comme ça,
521060	521880	on t'associe un peu
521880	522700	au sorcier vaudou
522700	523980	qui m'a peint le visage.
524580	526180	Mais elle passe pas
526180	526780	sur Irée Chanson,
526920	527160	celle-là.
527620	527960	Afrika,
528040	528940	ça passe pas sur Irée Chanson.
529880	531220	Je sais pas ce que c'est.
531240	531820	Il va me dire
531820	532280	qu'Afrika,
532380	533040	ça passe pas sur...
533040	535040	Tu connais pas Rose Laurence ?
535040	536160	Afrika ?
536160	536660	Bah écoute,
536740	537180	excuse-moi.
537180	538560	Mais vous êtes marre...
538560	539500	Non mais vous êtes...
539500	540480	Ha ha !
540480	540840	Hubert,
540920	541200	Hubert,
541200	541780	il va nous mettre
541780	543440	Afrika par Rose Laurence.
543880	544920	Tu vas voir que c'est quand même autre chose.
544960	545300	Non, non, non,
545380	545700	Hubert,
545980	546560	on n'a pas les droits.
546740	547020	Mais nous,
547140	547980	une reprise de merde
547980	548420	de quelqu'un
548420	549320	qui le fait sur YouTube.
549460	550120	Oui, d'accord.
551000	551260	Non mais,
551340	552280	mauvaise,
552400	553360	moins de 25 vues.
565020	565660	Bon, écoute,
565760	566500	non mais tu connais bien.
566500	567680	Afrika,
568000	568820	mais non !
568820	569500	Attends,
569820	570760	je vais la faire à la clusée.
571880	572080	Afrika,
572900	574840	j'ai envie de danser
574840	576060	comme toi.
576880	577020	Non,
577080	577560	tu connais pas,
577620	577920	putain,
577980	578140	c'est ouf.
578340	578780	Non mais,
579160	579720	je sens que...
579720	580720	Je suis pas calé calé
580720	581280	en chanson française.
581380	582040	Je sens que ce serait
582040	582980	une chanson pour lui.
584880	585200	Alors,
585640	586180	ok,
586340	586540	bon,
586820	587040	écoute,
587120	588580	c'était mon petit quart d'heure.
588780	589300	J'ai de la fièvre,
589520	590360	c'est peut-être ça s'entend,
590420	591040	je suis très malade.
591140	591580	Ah voilà,
591700	592020	d'accord,
592160	592620	je me disais,
592740	593320	vous allez pas,
593380	594540	parce que c'est totalement incohérent
594540	595980	ce que vous racontez de la chanson d'avant.
596600	597360	N'existe pas.
598500	598960	Non mais si,
599040	600140	je pense qu'elle passe sur lui la chanson.
600160	601060	Mais vous aimez toutes les chansons
601060	601780	qui commencent par Afrika,
601860	602680	parce que...
602680	603400	Afrika de Toto.
603660	603820	Voilà,
604180	606360	les auditeurs le savent peut-être pas,
606440	607700	mais si vous avez plus
607700	607900	deux,
607960	608780	trois whisky dans le nez,
608920	610200	vous voulez chanter Afrika de Toto.
610700	610880	Ouais,
611000	611740	j'aime aussi celle
611740	613540	celle de Shakira.
614860	615520	Ah ouais,
615640	615800	ouais.
616520	617780	Je ne sais pas s'il y a du Afrika dedans,
617880	619060	mais si c'est Afrika...
619060	619600	Mais c'est normal,
619700	620960	vous êtes une sorte de sorcier blanc,
621040	622000	vous avez toujours adoré l'Afrique.
622180	623360	On m'appelle le Zoulou blanc.
624620	626340	On m'appelle le Johnny Clexartois,
626740	627840	pour être très précis.
629040	630020	Je croyais surtout
630020	630840	qu'on ne vous appelait plus
630840	631400	depuis trois ans,
631660	632020	en général.
634200	635300	Mais avant ça...
635300	636780	Mais quand on m'appelait,
637000	638040	quand le téléphone...
638040	638600	Autant vous dire,
639320	639920	il a sonné,
640020	640320	le bigot,
640460	640980	à une époque.
640980	642300	Oui, c'est sûr.
642380	642820	Mais écoutez,
642980	643500	c'est la vie.
643980	644960	Vous êtes dépassés.
645000	645540	On est dépassés,
645640	646500	on est des vieilles personnes.
647100	647780	Place aux jeunes.
647880	648280	Des fossiles.
648440	648940	Place aux jeunes.
649360	650160	Place aux jumelles.
650340	651860	Place aux jumelles, peut-être,
652040	653160	mais pas place au progrès.
654040	654960	J'ai un coup de gueule.
655660	656200	Un coup de gueule
656200	657400	qui sera franco de porc.
657480	658000	Mais c'est ton doigt.
659520	660280	Je te remercie
660280	661620	de me laisser cette plateforme
661620	663880	et cet espace pour gueuler.
664760	666360	Tu sais que je suis assez fan
666360	667440	de tout ce qui est culture G.
669600	669960	Fan,
669960	671480	fier représentant.
672140	672240	Enfin,
672360	674160	tu consommes.
674160	675040	J'aime bien m'intéresser
675040	676420	à peu près tout.
676800	677720	Tu consommes des quid.
678480	680240	Je bouffe du quid.
680800	680880	Voilà.
681240	681860	Tu as du quid.
682860	684260	Tu as postulé pour question
684260	684740	pour un champion,
684860	685100	je crois.
685340	686120	Plusieurs fois.
686480	687480	Et malheureusement,
