start	end	text
0	340	direct.
2180	2580	Allez,
3360	3940	eh bien,
4480	5600	bonjour à tous,
6100	7400	des petites merdes,
7560	8500	des petites bouteilles techniques.
8520	8880	Techniques,
9120	9320	voilà,
9460	9700	des petites problèmes techniques.
9700	10540	Je trouve que,
10620	11420	c'est si bête,
11600	13260	j'avais simplement
13260	15360	des écouteurs branchés
15360	17600	qui n'étaient pas
17600	18640	ceux que j'avais dans les oreilles.
18760	18860	Bon,
18980	19500	alors après,
19920	20420	c'est vrai.
20460	21200	Et ça arrive,
21600	22540	ça arrive vraiment,
22640	23700	c'est le genre de petit couac
23700	25720	qui arrive à tout le monde.
26100	26660	Qui arrive,
27700	29180	même aux plus grands professionnels.
29180	29960	Oui,
30060	30640	mais ça arrive,
30760	30980	surtout,
31080	31700	j'ai vu les stats,
31760	32120	il n'y a pas longtemps,
32180	32820	je les ai sous les yeux,
32940	33720	ça arrive quand même plutôt.
33720	35080	Aux énormes connards,
35200	35360	ouais.
35760	36600	Aux gogolitos.
38660	39380	On embrasse
39380	40980	nos amis handicapés.
41040	41160	Alors,
41200	41800	je ne sais plus trop,
41900	42320	est-ce qu'on peut,
42420	44220	on ne dit pas ça ?
44220	44780	Golbut,
45260	45860	gogol,
46160	46320	c'est,
47040	47780	on ne dit pas ?
47780	48080	Non,
48180	48780	on ne dit pas.
49280	49620	On ne dit plus,
49700	49980	je veux dire.
50780	51020	Déjà,
51060	51760	on ne leur parle pas,
51860	52160	ces gens,
52420	53780	parce qu'ils n'ont aucune raison
53780	55300	d'exister sur Terre.
55380	55800	Quoi ?
55800	56720	Ah ouais,
56820	57540	tu commences fort.
58700	59020	Pardon.
59860	60100	Pardon,
60200	60360	ah oui,
60420	60860	je ne vous l'ai pas dit,
60920	61940	je suis en lendemain de cuite.
62180	62860	Je suis...
62860	63740	Ça s'entend un petit peu.
64460	66740	Je suis défracté,
67120	70520	je déteste la personne
70520	70820	qui,
71100	71300	hier,
71380	72100	à chaque fois que j'ai dit,
72300	72980	ok,
73060	73360	une autre,
73460	74040	mais un demi,
74180	75920	et qui a dit trois pintes,
76220	76820	à chaque fois,
77340	77960	je pensais vraiment
77960	78860	que la troisième pinte
78860	79440	était la dernière,
79560	80360	il a réussi à m'en mettre
80360	81200	une quatrième
81200	82080	plus un shot.
82200	82380	Ah,
82500	82940	mais ça,
83120	83880	c'est...
83880	84940	Je vais même te dire,
85020	85480	sans le shot,
85560	86440	ça aurait été compliqué aussi,
86540	86620	moi.
86780	87460	Passé 30 ans,
88000	88880	dès que je passe au-delà
88880	89740	de trois pintes
89740	90840	de bière de merde
90840	91500	dans un pub,
91600	92040	c'est fini.
92800	94000	C'est ma limite.
94260	94860	C'est terrible.
95000	95120	Alors,
95160	95800	il y en avait en plus
95800	96780	une grosse moitié
96780	98320	de plus but sur scène.
99640	100400	C'est terrible.
100560	101160	C'est terrible.
101260	102900	Je suis dans un état terrible.
103100	103480	C'est bien.
103620	103820	En fait,
103880	104840	je pense que je voulais
104840	105440	matcher
105440	108100	mon état moral.
108100	109600	parce qu'on est d'accord
109600	110400	que l'actu
110400	111980	entre le conflit
111980	113040	israélo-palestinien
113040	114180	où on a la solution
114180	114780	depuis le début,
114900	115340	écoutez-nous.
115600	115680	Voilà,
115820	116780	il suffit de...
116780	116880	Bon,
116940	117060	voilà,
117120	118040	on a déjà abordé.
119100	119680	C'est faux,
119760	120420	on n'a pas la solution.
121600	123140	On n'a jamais eu personne.
123160	124080	Écoutez l'épisode 4
124080	124900	de la saison 2,
125100	125540	tout est...
125540	127160	Le plan est exposé
127160	127840	en détail.
128540	128940	Écoutez,
129320	129520	on l'a...
129520	130260	Monsieur l'ONU,
130440	131180	écoutez-nous,
131420	132200	monsieur Biden.
132600	133740	On l'a exprimé
133740	134340	très clairement
134340	135080	dans notre épisode.
135680	135960	Voilà.
135960	136620	Donc,
136660	137020	on l'a dit.
138020	140220	C'est formellement écrit,
141080	141280	dit,
141780	143700	dans l'épisode...
143700	143860	Voilà.
144340	144740	C'est donc 4,
144820	145240	épisode 2.
