start	end	text
0	4720	Et c'est parti !
4720	6180	Yes !
6180	8740	Aucune erreur technique.
8900	10280	Ça, c'est assez bien fait, je trouve, aujourd'hui.
10920	14260	Putain ! Sachez les gens que je suis colère, déjà, Clément.
14820	17660	Au dernier moment, t'as de la chance que je me sois le bien.
17760	21140	J'ai vu ton message à 11h57, parce que je me suis couché à 4h.
21160	23220	Ah, parce que tu te réveilles à 11h57 ?
23220	24440	11h57, ouais, pourquoi ?
24440	26120	Ouh là, il y a eu...
26120	28560	Attends, tenez, mon petit pote, vous étiez chômeur il n'y a pas si longtemps,
28660	29860	vous n'allez pas me faire ce petit ton, là.
30000	30680	Vous aviez un petit ton, là.
30680	32760	Même chômeur, j'avais gardé un rythme.
34220	37520	Ah, donc c'est carrément un ton de parents, là, que je me fais...
37520	38420	Ah non, non !
38420	41300	Ah non, non, non, non, non, non, pas de parents, mais...
41300	42000	Vas-y, redéclure !
42000	45860	Disons que je me dis juste que, par rapport à l'épisode de la dernière fois,
45940	48960	on a vu que vous aviez peut-être des petits problèmes de boisson.
49660	53000	Donc je me dis, lever 11h57, ça veut dire sûrement coucher très tard,
53520	55400	et que vous étiez sûrement pas âge, je me trompe.
56560	59780	Alors là, vous êtes extrêmement mal tombé,
59780	61060	et en même temps extrêmement bien.
61580	65060	Je suis en dry January, ça fait 17 jours que je n'ai pas touché une goutte d'alcool.
66140	67360	Ah oui, c'est vrai que tu l'avais déjà fait.
67820	68460	Félicitations, mon vieux.
68940	69180	Oui.
69580	71460	Alors du coup, tu te couches ta rage ?
71460	73040	Non, par contre, je prends de l'héros.
73460	74660	Ah oui, d'accord, oui, bien sûr.
75020	76460	Où est-ce que ça, à la limite ?
76460	78640	Non, parce que dry January, ils ont dit pas d'alcool.
78860	79160	D'accord.
79660	79840	Ouais.
80300	81280	Pas d'alcool, d'accord.
81280	82260	C'est ce que je me suis dit.
82640	84280	Mais à malin, malin et demi...
84760	85500	Qui va voir ?
85500	86280	Qui va voir ?
86280	86760	Pas d'alcool.
87160	92900	Je suis allé à Quatre-Pandous prendre de la pure, de la orange, de l'Angel Dust.
94900	96300	Ceci était une œuvre de fiction.
97060	100320	Je tiens à dire à tous les gamins de pas tomber dans la dente.
100320	101700	Ne touchez pas à la dope.
101720	103000	Ne touchez pas à cette merde.
103720	104560	Combien ?
104560	105420	Combien ?
105420	106900	Putain, mon Dupuche est devenu pas ce coin.
107100	107740	Combien ?
107740	110580	Combien de terroristes ne touchez pas ?
110580	111980	T'as touché à la dope, toi ?
111980	113140	Oh, Mino ?
113140	114700	T'as touché à la dope ?
114700	116580	Tu sais que...
116580	117900	Tu as touché ?
117900	120380	On en a parlé la dernière fois, mais ça a été compliqué pour Dupuche.
120380	121160	Touche-moi la dope.
121740	122100	Mino.
123180	123720	Touche-moi la dope.
123780	126140	J'ai mis de l'Angel Dust dans mon slip.
126320	126800	Touche-la.
128380	129160	C'était une test.
129460	130120	Non, Joël.
130840	131320	Touche-la.
131660	132520	Je veux pas, Joël.
132600	133520	Touche-moi la dope.
134360	134940	Touche-moi.
136000	139360	T'as suivi ou pas un peu les affaires des ostréiculteurs à Noël ?
139360	139620	Non.
140900	143020	Ben disons que, comme d'habitude, il y a des crus.
143180	145000	Bon, les égouts se vident dans la mer.
145840	149800	Et du coup, les huîtres chopent la gastro et rendent la gastro aux humains.
149800	153540	Donc, il y a eu plein de malades à cause des huîtres du bassin d'Arcachon.
154540	155180	À Noël.
155440	158300	Et donc, la préfecture ou je sais pas qui...
158300	159720	50 euros la grippe.
159720	161140	50 euros.
161840	167280	Et du coup, ils ont dit, on va plutôt arrêter de vendre vos huîtres.
167720	168700	Du coup, ils étaient pas très contents.
169820	170720	Et ils ont fait la gueule.
170840	172060	Et tu connais un peu les ostréiculteurs.
172140	174560	C'est un peu les chasseurs des mers, quoi.
174560	176260	Non, mais ça, c'est pas des grèves sympas.
176400	176940	Ça, c'est des grèves.
176940	185620	Ils ont dit qu'ils voulaient qu'on les paye pour la perte parce qu'ils pouvaient plus vendre leurs huîtres à la gastro.
185620	188980	Et voilà, ils m'ont dit plus, ils s'est retrouvés là-dedans, quoi.
190160	191300	Bah, ouais, mais attends.
191900	194740	Pardon, mais c'est l'épisode Clément de droite.
194960	198360	Je trouve que 11h57, tu l'as dit, d'un tour hyper condescendant.
198880	202420	Et maintenant, tu me parles de la grève en mode pas bien justifiée.
202500	204080	Qu'est-ce qui s'est passé depuis que tu vois ça ?
204080	205200	Mais j'ai pas parlé d'une grève.
206360	208700	Bah, t'as dit, ils ont fait la gueule et ils ont...
208700	209660	Ouais, ils ont fait la gueule.
209780	215040	Tu sais, c'est comme ceux qui étaient venus déverser du varec chez Bouygues.
215240	216940	Bah là, ils ont gueulé.
217440	218520	Mais je sens un petit ton.
219000	219900	Je sens un petit ton.
219980	221720	T'es pas avec les travailleurs, tu crois.
222360	224420	Qu'est-ce qui est travailleur ?
224420	225300	Dans ton ton ?
225300	230040	Les ostréiculteurs qui vendent leur bourriche hors de prix, je parle pas des petites mains, moi.
230500	230860	Voilà.
231360	232320	Je te parle des mecs.
232340	233620	Je te parle des mecs qu'on dit.
234080	236100	On peut pas vendre nos huîtres qui vous rendent malades.
236200	237220	On veut de la tue d'en échange.
237860	240560	Et tu ne trouves pas ça justifié, c'est ça ?
240560	242560	Je trouve que le ton était un petit peu péremptoire.
244100	246300	Et non, et alors attends, pour revenir à 12h50...
246300	250080	Par exemple, les impôts, tu trouves comment payer comment ?
250640	251380	Moi, je trouve ça bien.
252060	252440	D'accord.
252920	255000	Après, je trouve ça bien.
255380	257620	Le principe d'impôt, je trouve, est plutôt bienvenu.
