start	end	text
0	4000	T'as des notes ?
5260	8000	Non j'ai rien, si j'ai un truc mais c'est pas génial
8000	9420	Ouais bah comme d'hab
9420	12220	Ouais, non la dernière fois c'était mieux quand même
12220	14600	J'avais bossé, là j'ai pas grand chose
14600	16140	Je t'ai pas bien tenu au courant
16140	17560	Mais sache que l'épisode a commencé
17560	18920	Depuis 17 secondes
18920	20820	Là t'aurais pu dire
20820	24420	J'aurais pu dire une saloperie
24420	26080	T'aurais pu dire une saloperie si je t'avais demandé
26080	28160	Par exemple, on refait, ça a pas commencé
28160	32160	Qu'est-ce que tu penses des Causticos en général ?
32580	34200	Bah je pense que
34200	35660	C'est quand même une belle bande de
35660	37880	Une belle bande de demeurés
37880	40420	Qui se fait un peu mousser
40420	41580	En écoutant d'eux qu'on parlait
41580	44300	Mais je pense foncièrement c'est des gens qui ont pas d'amis
44300	45520	Pas d'amis
45520	48320	Et par contre moi pour les voir
48320	50060	Souvent en fin de spectacle, baisables
50060	50440	Tous
50440	52860	Ah c'est vrai, tous beaux
52860	54400	Enfin pas beaux mais baisables
54400	56740	Tu sais cette beauté bizarre de
56740	59560	Ah il est pas beau mais j'ai envie de le déglingue
59560	59820	Tu vois
59820	60600	Ugly hot
60600	61400	Bien sûr
61400	62300	Ugly hot
62300	64620	Et bah ils ont ça, pas du tout
64620	67360	Non mais ce qui est marrant c'est que tu vois moi
67360	70580	Quand le bouton rouge s'allume
70580	72680	J'arrête de dire des horreurs
72680	73560	Et toi c'est l'inverse
73560	74560	C'est-à-dire quand t'es en normale
74560	76740	Toi t'es quelqu'un de très très très très très
76740	77540	Sympa
77540	78280	Soft
78280	78960	Et je dirais
78960	79800	Non mais même pas sympa
79800	82140	Je dirais que t'es assez modéré dans tes propos tout le temps
82140	82820	Bien sûr
82820	85200	Et puis dès que la petite lumière clignote
85200	87620	Tic tac, tic tac, Zanzino arrive
87620	89460	Tac tac tac tac tac
89460	90220	Qui contrôle le monde
90220	91040	Coucou les petits bouchons
91040	92260	Qui contrôle le monde
92260	93600	Il va vous le dire
93600	98300	Non mais donc c'est vraiment parti, c'est lancé
98300	99800	Ah là c'est lancé
99800	100780	Ah c'est fou
100780	104940	Bon alors c'est déjà bienvenue
104940	105340	Voilà
105340	106040	Ecoute bonjour
106040	108380	Ça me paraît quand même être la base
108380	112400	Deux deux, le monde part en couille
112400	113420	De toutes les façons
113420	114240	Oui oui
114240	116760	Et là on est là pour en parler
116760	119020	Bien que connaissant Hubert
119020	121140	Qui doit être en train de se dorer la pilule
121140	122420	Avec l'argent des abonnés
122420	123800	On sait pas là
123800	124900	On enregistre
124900	126140	Vendredi 12
126140	127080	Voilà
127080	130720	Tu crois qu'il est parti avec la valise
130720	132140	Avec la caisse ?
132140	133080	Jusque ce soit dit
133080	134280	Ah bah ça c'est sûr que l'argent
134280	136180	On s'allait aussi
136180	137580	C'est pas toi qui est pas parti avec
137580	138400	Parce que je t'avais demandé
138400	140220	De me faire un virement que j'ai jamais eu
140220	141960	Ah bah si il est fait mon vieux
141960	142520	Ah bon ?
142520	144000	Vous avez pas regardé votre compte ?
144000	144220	Non
144220	146320	Ah plusieurs milliers d'euros
146320	148100	Ont été versés sur votre compte
148100	149640	Il y a de ça plusieurs semaines déjà
149640	151440	Peut-être que j'ai oublié de vous prévenir
151440	153460	Ça avait demandé la moitié en liquide
153460	154380	Ah merde
154380	155240	Oui en petite coupée
155240	156440	En rapport à vos problèmes
156440	159020	Avec le fisc ?
159020	159760	Oui le fisc
159760	161840	Qui m'arcelle
161840	162260	Le fisc
162260	163520	Qui arrête pas de me dire
163520	164860	Non non
164860	166580	J'ai aucun problème
166580	167280	Ah non mais écoutez
167280	169120	C'est problématique ça
169120	170260	Si vous avez pas reçu votre argent
170260	171440	Non mais j'ai dû le recevoir
171440	172700	Vous gardez pas trop vos comptes
172700	175560	Bah si mais ça ne monte jamais quoi
175560	176620	Ça ne monte jamais
176620	177020	Ah oui
177020	178040	Ah bah moi c'est pareil
178040	179580	C'est vrai que ça descend
179580	180760	Chaque fois que je regarde
180760	181660	Ça descend quoi
181660	182520	Ouais
182520	184580	Et ou alors des fois pire
184580	185220	Et c'est pas prêt
185220	186480	Et c'est pas prêt de changer
186480	187100	Hein
187100	189280	Avec Macron
189280	190560	Et toute sa clique
190560	191580	Ah bah ça de toute façon
191580	192060	Tout le pognon
192060	193180	Ils vont pas nous faire de cadeaux
193180	194440	Des fois c'est même pire
194440	195260	Des fois je regarde
195260	195560	Et je dis
195560	196260	Ah ça va
196260	197460	Sauf qu'en fait
197460	198420	En fait je me dis
198420	199060	Ah ça va
199060	200800	En plus j'ai toujours pas touché mon salaire
200800	201580	Et en fait je regarde
201580	202060	Ah si
202060	203880	En fait j'ai touché mon salaire
203880	205520	Donc ça va pas du tout
205520	206900	Moi c'est plutôt
206900	208160	Ah ça va
208160	209220	Et puis en fait après
209220	209920	Tu dois payer
209920	211380	Un loyer
211380	212760	Et deux crèches
212760	213360	Et tu fais
213360	213780	Ah bah non
213780	215200	En fait ça ne va pas du tout
215200	215720	Du tout
215720	217140	Il pourrait te faire
217140	218300	Un prix jumeau quand même
218300	219340	Mais bien sûr
219340	220140	Mais je n'arrête pas
220140	221080	Mais ça c'est Hidalgo
221080	223220	C'est Annie ça
223220	224480	C'est Annie Dingo
224480	225900	D'ailleurs ça y est la date
