start	end	text
0	10000	Musique
30000	56000	Bravo !
56000	58360	Attends mais il y a des skills
58360	60720	à la guitare déjà
60720	63100	L'écriture c'est autre chose
63100	65840	on sent que c'est encore fragile mais alors la guitare
65840	68000	Et le chant ?
68000	70020	Le chant non
70020	72000	T'as chanté ?
72900	74360	Bah je haonnais
74360	75820	J'ai principalement entendu la guitare
75820	76580	J'avoue que
76580	79260	Alors écoute
79260	81960	Je ne vois pas comment on pourrait juger
81960	83000	de la qualité des paroles
83000	85580	sans parler du chant
85580	87440	Ecoutez votre silence
87440	88540	est un aveu
88540	92400	T'as très bien choisi le morceau
92400	94060	T'as vu et je me suis dit
94060	94760	Est-ce que
94760	97800	Est-ce que c'est peut-être le seul bon morceau
97800	98300	en tout cas
98300	100900	le seul vraiment bon morceau qu'ils aient fait
100900	103880	qu'ils aient fait en fin de carrière
103880	106300	Seul post bon morceau
106300	107700	post birna
107700	108860	c'est ça qu'on dirait
108860	110880	Seul classique je dirais
110880	111200	Non
111200	112840	Alors qu'il y en a
112840	115660	Alors non je dirais qu'il y a quand même des beaux morceaux
115660	118100	après il y en a même si les albums sont moins bons
118100	119100	Ouais ouais il y a même
119100	120700	j'étais surpris sur Spotify
120700	122120	dans les 5 titres les plus écoutés
122120	122660	il y en a un de
122660	123680	Heather Chemistry
123680	124340	qui doit
124340	125960	ça a dû faire une BO quelque part
125960	126740	c'est bizarre
126740	128420	mais il est connu
128420	128860	il est très bien
128860	129900	C'est un que j'ai
129900	131760	quasiment jamais écouté
131760	134260	Écoutez je voulais faire un hommage
134260	134840	au vrai
134840	135360	C'est vrai
135360	136060	C'est vrai
136060	138220	Tes infos sont vraies
138220	140020	Tes sources sont exactes
140020	141360	Tu allais vérifier sur Spotify ?
141360	141860	J'avais ma dernière bouchée
141860	142620	première après je ne m'ache plus
142620	143720	Tu allais vérifier sur Spotify ?
143720	144760	Non non je dis juste que
144760	146380	ce qui est vrai c'est que j'ai deux
146380	147380	Ah oui ta gueule
147380	148120	D'accord
148120	149200	Et bien
149200	150860	je tiens à te dire
150860	151900	que
151900	154300	grâce à la vidéo
154300	155620	qui a fait
155620	156320	je le rappelle
156320	157380	Tu en as trouvé aussi
157380	160420	455 000 vues sur Instagram
160420	161400	ce qui n'est pas rien
161400	162360	Très bien ça
162360	163580	Ce qui est quand même
163580	164420	C'est bien par rapport
164420	165200	à ce que tu fais d'habitude
165200	165960	ou c'est
165960	167100	dans la moyenne
167100	168380	Clément
168380	169540	si je faisais
169540	171080	450 000 vues
171080	172260	à chaque
172260	173760	post Instagram
173760	174320	en moyenne
174320	175080	est-ce que tu crois
175080	175960	que je ferais plus de postique ?
175960	176580	Non mais pas
176580	178060	pas à chaque
178060	178840	pas à chaque
178840	179800	déjà oui
179800	180620	j'en suis persuadé
180620	181280	Oui c'est sûr
181280	181800	Mais pas à chacune
181800	182420	de tes petites vidéos
182420	182800	mais je veux dire
182800	183960	quand une vidéo à toi marche bien
183960	184960	c'est pas la première fois
184960	185680	que tu fais un
185680	187440	tu tapes les 500 000 si ?
187440	187880	Non non
187880	188380	c'est pas du tout
188380	188740	la première fois
188740	189460	que je tape les 500 000
189460	190120	même cet été
190120	191400	j'ai fait plusieurs fois
191400	192180	plusieurs millions
192180	193020	avec les JO
193020	193700	on peut le dire
193700	194140	Ah bah alors
194140	194840	bah voilà
194840	195840	Mais 500 000
195840	196960	ça reste un très beau score
196960	197780	surtout pour un truc
197780	198400	niché comme
198400	199380	comme Oasis
199380	200300	en France
200300	201140	je me disais
201140	204040	tu rigoles ou quoi ?
204040	204580	Non mais c'est pas
204580	205800	niché
