start	end	text
0	16880	Merci pour les places pro Asis
16880	21940	Vous êtes plein à avoir donné de la tulle, ça c'est cool
21940	26440	Ça a bien gonflé le cul de Clément
26440	32060	Qui lui va payer le prix fort pour ses places de mer
32060	36380	Mais c'est lui qui a des codes pour le Paypal
36380	42020	J'ai un peu l'impression que je ne verrai jamais cette thune
42020	50440	J'ai l'impression qu'il va me la mettre ce grand grand con
50440	53820	Je n'ai pas encore écrit les paroles de cette parodie
53820	56180	Alors juste je l'insulte tout le monde
56180	57180	Clément, t'es prêt ?
57180	61500	Merci pour les places pro Asis
61500	66120	Merci d'avoir filé de la thune, ça c'est cool
66120	72440	Voilà, c'était mon petit remerciement pour les gens
72440	76080	Tu dis rien
76080	80180	Carrément tu es parti ?
80980	82180	Qu'est-ce qui se passe ?
82180	84580	Si c'est une blague c'est extrêmement drôle
84580	87180	Sinon ça n'a aucun sens, pourquoi tu n'es pas là ?
88360	89980	Il mute, il a muté le truc
89980	93180	Clément, où es-tu ?
94180	95480	Clément est mort
95480	97540	Connected
97540	99960	Qu'est-ce qu'il y a Clément ?
99960	101120	Et communique pas moi sur WhatsApp
101120	102780	Tout va rester dans le réregistrement
102780	105060	C'est hilarant que je me disais
105060	106060	Il ne réagit pas
106060	110060	Qu'est-ce qui se passe ?
110060	111920	Tu étais là il y a vraiment 8 secondes
111920	113780	Tu es mort ?
114780	115780	Tu m'entends ?
116660	117820	Et pourquoi moi je ne t'entends plus ?
117820	118580	T'étais là ?
118580	119260	Qu'est-ce qui s'est passé ?
119260	120060	La musique a...
120060	121880	Mais qu'est-ce qui ne marche pas ?
121880	123060	Mais tu étais là !
123060	123780	On t'entendait !
124340	125780	T'es parti d'un coup ?
125780	129340	Mais qu'est-ce que c'est que ça ?
129340	130300	Allô !
130300	131680	Eh ben oui, voilà !
131680	132500	Ce n'est pas la peine de crier
132500	134280	Qu'est-ce que c'est que cette merde ?
134280	135760	Pourquoi j'ai été déconnecté ?
135760	136940	Mais je n'en sais rien mon vieux
136940	140200	C'est dingue
140200	141280	C'est toi qui t'es déconnecté
141280	142520	Tu ne voulais pas écouter cette chanson ?
142520	143520	J'ai tout entendu
143520	145020	Mais je ne pouvais pas réagir
145020	145500	D'accord
145500	146580	Bon alors...
146580	147680	De toute façon je ne peux pas chanter
147680	148600	En même temps que toi
148600	149740	Parce que ça sera décalé
149740	150180	Donc voilà
150180	151040	Je me suis retenu
151040	153140	Mais beau travail sur le refrain
153140	155600	Tu n'as jamais fait de canon ?
155600	157120	Si mais là ça...
157120	158800	Les canons il faut entendre l'autre
158800	159640	Et savoir quand tu pars
159640	160460	Là c'est n'importe quoi
160460	162260	Bon en tout cas c'est près de
162260	164580	170 euros que j'ai récolté
164580	166120	Alors ce n'est pas les 500 escomptés
166120	166820	Mais ce n'est pas fini
166820	168680	Et c'est déjà pas mal
168680	170180	Pour une escroquerie comme ça
