start	end	text
0	1820	Ah, Fichy, bah tu vois, ça y est.
2540	3840	Ah bah de quoi ?
3840	4480	C'est dingue, ça...
4480	5260	Ça saute, cette merde.
5380	7280	Non, mais au moment où je m'ai enregistré,
7380	8080	c'est pas possible.
9400	9800	Ah, c'est bon.
10100	10660	Je suis de retour.
10880	12980	C'est dingue, ça m'est à la seconde, quoi.
14260	15280	Seconde où j'enregistre.
15760	16980	Bah écoute, je suis bien, je suis installé,
17060	18020	je suis dans mon canapé.
18140	18820	T'es sûr ?
18820	20060	T'es sûr que t'es bien ?
20060	21420	T'es sûr, il n'y a pas de problème ?
21420	22240	Alors là, pas de problème.
22540	23940	T'es sûr ?
23940	24840	Ah, je devrais...
24840	25900	Il devrait y avoir un problème ?
25900	26740	Bah, je sais pas.
27600	29740	Vendu au capital de...
29740	30840	Merde !
30840	32300	Salope !
32300	35180	Tu veux dire, t'as entendu la petite pub Deliveroo, là ?
35180	38240	Deliveroo, les cuisines, plutôt caustique.
38760	42240	Le podcast artisanal, les deux petits gars.
42700	43440	C'est fini.
44100	44680	C'est fini.
45280	48680	D'ailleurs, là, toi, tu me parles depuis tes nouveaux bureaux.
49660	51040	Deux bureaux, oui.
51660	54280	Si on peut appeler un loft, un bureau, oui.
54480	57300	Voilà, dans le deuxième, vous êtes ?
57300	58340	Troisième arrondissement ?
58340	60520	Le deuxième arrondissement, oui, je suis...
60520	62020	Oui, c'est...
62020	63340	Le petit bureau, quoi.
63660	63820	Voilà.
64500	68320	Qu'est-ce que 500 mètres carrés aujourd'hui, en plein Paris ?
68320	69400	Vous savez, c'est le Paris...
69400	71640	C'est le Paris populaire que j'habite.
72100	72900	C'est vraiment...
72900	76580	Vous êtes ce qu'on appelle un titi ?
76580	78580	Voilà, une sorte de gavre.
78580	79540	Un marlou, finalement.
79580	84360	Voilà, j'ai ma gavette, il m'arrive de jouer de l'accordéon afin de gagner quelques écus.
84620	86880	Parfois, je me prostitue.
87200	87340	Voilà.
88440	90340	Comme tout bon petit titi, par exemple.
90720	91260	Tout bon.
91260	92160	C'est connu.
92380	95760	Et les petits gars se vendent pour dessous.
96160	99000	Une pipelette pour les marlous.
99540	101760	Je te vois bien avec ta petite casquette, ton petit bérel.
102180	104180	Les ventes de ton petit cul sur les boulevards.
105320	108200	Deux écus, deux écus pour un cul de marlou.
108200	111900	Je te propose qu'on...
111900	116240	Non, je propose qu'on explique aux gens qu'on est hébergés chez Acast,
116780	120680	qui nous a promis un certain prix pour un certain nombre d'écoutes.
120740	121860	Pour l'instant, je ne les vois pas.
123380	125440	Sachez qu'on va en parler.
126100	131300	Et que si vous imposez ces pubs rapporte aussi peu que ce que ça a fait ces dernières semaines,
131800	134080	je vais immédiatement revenir en underground.
134080	137980	Et vous allez redevoir, par contre, nous donner des sous pour tous les concerts qu'on va avoir.
137980	140860	D'ailleurs, Clément va voir la réformation du groupe Toto.
142040	143960	Mais il n'aime que la chanson Africa.
144560	147080	Donc en fait, je paye une place et je sors dès que le morceau est joué.
147260	149200	Ou j'arrive tard, parce que j'imagine qu'il la joue à la fin.
149960	152500	Franchement, ça, ce n'est pas un bon mouf de la jouer en premier.
153100	156060	Non, vraiment, beaucoup de très bons concerts cet automne à Paris.
156220	156780	Donc n'hésitez pas.
