start	end	text
0	1700	Ça va vous ?
1700	2800	Ouais, ça va et toi ?
2800	6040	Est-ce que vous entendez encore l'onde sensuelle ?
6040	7220	Vous l'entendez ou pas ?
7220	9660	Celle qui me donne !
9660	11500	Tes ailes !
11500	13460	Je sais pas comment j'ai fait, je crois qu'on en a déjà parlé,
13580	16460	mais j'ai vraiment écouté Premier Degré, ce mec.
16800	18880	Mais j'aimais le premier et le deuxième album.
19120	20020	D'ailleurs, on a même des...
20020	23600	Le double live, je l'écoutais avec grand plaisir.
23800	24860	Non, non, mais on était jeune.
25240	26160	J'en suis complètement revenu.
26280	29500	On peut dire que pour la chanson française, c'était bien.
30000	32320	Mais une fois, je me suis fait insulter par un caustico.
32460	33700	Hier, on touche pas à Mathieu Chédid.
33820	34300	J'ai dit, attends...
34300	35180	C'est vrai ?
35180	36340	Déjà, nous, on touche...
36340	37560	Tu te fais traiter d'antisémite ?
37560	38300	On touche à tout.
39580	40580	Sauf aux gamins.
40900	41400	À la dope.
41800	42560	Et à la dope.
44100	45080	Et surtout la dope.
45720	48720	Attends, si tu devais choisir un truc à pas toucher, la dope ou les gamins ?
48720	49360	Ah, c'est trop dur.
50100	50760	Ah, c'est trop dur.
51240	52160	Ah, je peux pas choisir.
52200	52600	Je peux pas.
53060	54300	Ah, c'est comme si tu me demandes...
55060	56140	Ben, entre mes gamins, quoi.
58140	59200	Les gamins ou la dope ?
59200	61820	C'est une bonne question que tu me poses.
62000	64840	C'est vrai que j'apprécie les deux énormément.
66840	68660	Je suis fan.
68900	69940	Je suis fan des deux.
70180	71360	J'aime la dope.
71980	74660	Par contre, les poignets, j'adore les gamins.
74860	77160	Peut-être même que c'est de plaisir que tu peux mélanger.
77680	78160	Ah, bien sûr.
78920	79480	Ah, bien sûr.
80060	80440	Oui, oui.
80680	83420	Je me prends une grande bouffée de chenou, voilà.
83760	85200	Et après...
85200	92040	Tu me rappelles un joueur, mais je sais plus lequel, ou un entraîneur d'Ovali, mais je sais plus.
92040	94460	T'as vu, j'ai un peu changé mon accent du Sud.
94840	95720	Ouais, je préfère, j'aime bien.
95800	96340	Il a évolué.
96820	97460	Il est plus...
97460	100240	Alors, écoute, c'est simple.
100480	100920	On a une heure.
100920	101760	Une heure chrono.
101920	104540	Non, parce qu'il n'y a plus de second degré.
105000	105500	C'est fini.
106000	106720	Pas de personnages.
107100	107720	Là, c'est toi qui parle.
107740	109100	Non, mais je tiens à dire que c'était un personnage.
109340	109620	Merci.
109880	111220	Et que, évidemment...
111220	112480	Inspiré par qui ?
112480	115200	Par Pierre Palmade, pour le côté dope, quel sexe ?
115200	116460	Pierre Palmade, le rugby.
116460	120140	Mais non, c'est un but, évidemment, de dénoncer.
120460	120820	Bien sûr.
121840	125140	Et donc, en vrai, qu'est-ce que pense Urbain ?
125140	126080	La drogue, oui.
126340	127300	Les enfants, non.
127440	127580	Non.
128240	128540	D'accord.
128680	129140	Voilà, c'est tout.
129160	134400	Et tu vois, je pense que ce qui est inquiétant, c'est que tu te sens obligé de clarifier.
134800	137980	Mais, écoute, le point est fait.
138080	139160	Je pense que le message est passé.
140000	141440	Et les gens te connaissent.
141540	142260	Les gens te connaissent.
143660	144640	Bien sûr qu'ils me connaissent.
144640	145080	Je suis anti.
145660	146440	Donc, on a une heure.
146900	147680	Moi, j'ai des sujets.
147880	148320	J'ai des trucs.
148400	149020	J'ai même un quiz.
149800	151320	Donc, on va faire un générique.
151960	153200	Allez, c'est parti, alors.
153480	153920	Comment on fait ?
153920	154500	Comment on avait dit ?
154500	155280	Comment on fait ?
155280	157120	On le chante et ça sera décalé, c'est tout.
157420	157800	C'est parti.
158780	158980	3.
159440	160040	Pardon, vas-y.
160600	161440	3, 4.
161540	162380	Attends, je te fais le...
162380	162540	Ouais.
164140	165240	C'est combien de BPM, ça ?
165240	165740	C'est...
165740	168120	C'est 120.
170120	170760	Plutôt.
171580	171980	Plutôt.
171980	172100	Plutôt.
172100	172180	Plutôt.
172180	172620	Plutôt.
172620	172660	Plutôt.
172660	173180	Plutôt.
173180	173620	Plutôt.
173620	174100	Plutôt.
174640	175240	Plutôt.
175240	176100	Tu m'écoutes.
176240	176760	Tu m'écoutes.
177560	178300	Enlève ton casque.
179320	179600	Oui, bah...
179600	180100	Enlève le casque.
180200	181200	Attends, attends, j'enlève le casque.
181320	182160	T'es prêt et tu m'écoutes.
182500	183120	J'enlève le casque.
183240	183460	3.
183560	183920	3, 4.
184140	184340	Ok.
185120	185560	Plutôt.
186100	186720	Plutôt.
186720	186800	Plutôt.
186800	186840	Plutôt.
186840	187080	Plutôt.
187080	187240	Plutôt.
187240	187760	Plutôt.
187760	188440	Plutôt.
188440	188840	Plutôt.
188840	189200	Plutôt.
189200	189440	Plutôt.
189440	189520	Plutôt.
189520	190040	Plutôt.
190040	194480	Superbe.
195620	196880	Piano maestro.
198620	199380	La vache.
199680	199980	La vache.
200060	203300	Il s'en est passé des choses depuis le 15 octobre.
204640	206480	Je m'ai accusé il y a deux épisodes.
206660	208460	Peut-être que je l'ai déjà fait la dernière fois, mais je dois le redire.
208920	210800	C'est bien Cuitas, les Bananas.
210920	212680	Moi, j'ai appelé ça Fritas, les Patatas.
213060	214820	Scandaleux quand on parlait de ça.
215020	220600	Et depuis, la chanson a un nouveau bump parce que Julien Doré l'a reprise en triste.
220840	224400	Donc voilà, on était comme d'hab en avant de la tendance.
224500	225300	Les Simpsons français.
225760	226280	Comme d'habitude.
227920	231520	Écoute, on va commencer tout de suite sans préambule.
231860	233540	Déjà, comment vas-tu ?
233540	234120	Ça va.
234640	236220	Très mal.
236760	237740	Niveau gastrique.
241700	244180	Écoute, c'est vrai que ça fait longtemps qu'on n'a pas...
244180	247020	C'est vrai qu'il y a une époque, il y a une saison, je ne sais plus laquelle,
247560	251600	il y avait quand même des points réguliers sur ta santé gastrique.
251680	252600	Mais ça, c'est quand même dingue.
252860	257480	Ma meuf, hier, m'a appris que Freud détermine...
257480	261080	En fait, Freud a fait plus ou moins une astrologie du caca.
261080	262080	C'est-à-dire que...
262740	263940	Pas surpris.
264060	265460	Pas surpris par cette info.
265600	267200	Ouais, de la Missing Moon.
267380	272840	Mais en gros, lui, il détermine ton caractère par comment tu fais caca.
273040	275640	Et comment tu fais caca, ça a déjà un rapport avec ton enfance.
276200	280160	Si c'est genre que t'es constipé, c'est que tes parents, ils étaient pas cools avec...
280160	282560	Ouais, genre, ils te shamaient quand tu te chais dessus.
282760	282960	Voilà, exact.
283480	285880	Et du coup, n'empêche que...
285880	289000	Bon, tu ne me crois pas que quand je dis que le signe cancer me correspond,
289180	291700	voilà, on a décidé, c'était un point entre nous.
292000	296880	Mais par contre, l'overchieur, le gars qui chie beaucoup,
296880	300020	et tu me connais, on est au moins minimum trois par an.
300020	301500	Ça, c'est cancer deuxième décan.
302740	306540	Mais en tout cas, le caractère selon Freud du gars qui chie beaucoup,
306900	308300	j'ai toutes les caractéristiques.
308360	308760	Ah ouais ?
308760	309080	Toutes.
309080	310600	Donc, est-ce que...
310600	314560	Est-ce que t'es allé voir les caractéristiques de celui qui ne chie pas ?
314560	315440	Pour voir si...
315440	317400	Et bien, c'est plus...
