start	end	text
0	4480	Bon, les gars, c'est bon, ça y est, c'est rayé, c'est le moment pub, ça y est, on a percé.
4740	6620	T'es enfin compris dans une salle de plus de 12 ?
6620	8920	Ferme-la, non, j'ai trouvé un sponsor.
9340	11620	Mais qu'est-ce que c'est ? Une marque de bière, un shampoing ?
11620	14240	Non, bien vu, mais non, NordVPN, les gars.
14580	16880	Oh, NordVPN, le VPN le plus connu d'Internet !
16880	19960	Ah, voilà, je savais, Franjo, que tu serais parfait pour les pubs, tu es fait pour ça.
20280	23280	Mais Urbain, enfin, à quoi ça peut bien servir un VPN ?
23280	24260	Excellente question, Pierre.
24400	27960	Un VPN permet de chiffrer toute son activité en ligne et donc de renforcer sa confidentialité,
27960	31320	et aussi de faire croire à son ordinateur qu'on n'est pas à l'endroit où on est en changeant d'adresse IP
31320	34700	et donc d'emplacement virtuel, comme quand je dis à ma meuf que je travaille alors qu'en fait, je suis au bar.
34900	39020	Donc, on peut contourner les géorestrictions et mater des films pas disponibles en France sur les catalogues de streaming.
39280	41100	Mais exactement, Franjo !
41100	43460	Et toi, Pierre, pourquoi utilises-tu le VPN ?
43460	45740	Ouais, moi, les pubs, je vous laisse faire, les gars, vous le faites très bien sans moi.
46000	46940	Franchement, t'as déjà été pas mal.
47020	51160	Avec le code promo PODKSSOS, P-O-D-K-S-S-O, ouais, PODKSSOS, quoi,
51200	52640	ou en passant directement par le lien en description,
52640	56320	vous avez 4 mois offerts pour un abonnement de 2 ans et vous pouvez résulier au bout de 30 jours,
56420	57240	si vous n'êtes pas satisfait.
57360	58360	Mais c'est super, ça !
58360	59380	Ouais, carrément !
59380	61320	Non, mais fais plus d'entrains, fais la voix de pub !
61320	63040	Ah oui, trop bien, la vie !
63040	63640	Voilà !
64300	65540	Bon, voilà, vous avez tous les renseignements.
65660	67120	Merci NordVPN de nous sponsoriser.
67220	68740	Maintenant, on est des vrais gars d'Internet.
68880	70440	Allez, arrête ! Même dans les pubs, tu parles trop.
70600	72760	C'est vrai que je parlais un peu beaucoup, mais j'aime bien.
72760	75860	Vous savez qu'il y a un troisième ?
75860	79300	Et ce troisième, c'est bloquer le dos.
79800	81020	Comme une vieille personne.
81280	84000	Ah, ben, on voit que vous étiez fan de lui, super !
84000	85440	Apparemment, nous, on s'en bat les couilles.
86280	89180	Donc, il sera un peu avec nous aujourd'hui.
91080	92020	On va le mettre là.
93160	94700	Applaudissez pour Pierre Thévenoux, qui n'est pas là.
97600	100060	Mais on a retrouvé un replaçant.
100060	102420	Pour info, ce n'est pas demi-tour.
102480	103200	Il s'est vraiment bloqué le dos.
103300	104920	J'ai fait un pas d'aile avec lui hier.
105720	108480	Et véridique, pour ramasser les balles,
108640	110380	il me demandait de le faire à sa place.
110720	112160	C'était vraiment la vieille personne.
112620	113340	Mais du coup, il est bête.
113480	114180	Donc, il était déjà blessé.
114260	115300	Il continuait le sport ?
115300	115860	Exactement.
116500	117900	Ah, ça, je ne comprendrai jamais.
118480	120740	Déjà que le sport pas blessé, j'ai un peu du mal à comprendre.
121660	122000	D'accord.
122160	123800	Bon, alors, du bruit pour Pierre, encore une fois.
127440	129800	Du coup, on a un remplaçant.
130060	131400	Et pas des moindres.
131520	132640	Faites du bruit !
132640	134820	On a vraiment énormément de chance parce qu'il est venu.
135120	135760	C'était le...
135760	136840	On avait fait toute une liste.
136940	138180	C'était le gars numéro un.
138660	140600	C'était celui qu'on voulait parce qu'il est sympa
140600	142500	et parce que son emploi du temps, c'est un peu de la merde.
142800	145060	Du bruit pour Julien Santini, s'il vous plaît !
145060	146060	Applaudissements
146060	148060	Applaudissements
148060	150060	Applaudissements
150060	152060	Applaudissements
152060	156020	Julien Santini, ça me fait tellement plaisir de t'avoir avec nous.
157020	157820	Merci d'être là.
158080	158840	Merci infiniment.
159340	160260	Et ça marche ?
160260	161420	Non, ça marche pas.
161520	161940	Le micro-marre.
162060	162620	On s'en bat les couilles.
162780	165060	Du bruit pour Davidson, s'il vous plaît, à la magie !
165060	165400	Applaudissements
165400	166800	C'est pas du tout moi.
167400	167520	Applaudissements
167520	170560	Il y a des petits problèmes techniques, mais c'est parce qu'on a commencé à l'heure.
170720	170920	Faux.
171020	171880	On a une demi-heure de retard.
172000	172640	C'est bon, je suis bien.
172860	173260	Ouais, c'est bon.
173260	180200	Je voulais simplement dire merci beaucoup de m'accueillir et que j'y étais absolument pour rien sur la grave blessure de Pierre Thévenoux.
180660	182600	C'est pas moi.
182800	183260	Merci beaucoup.
184260	185880	Non, mais merci, merci Julien.
185980	187600	C'est la première fois que tu fais un podcast, majeur.
187900	188560	Alors, j'en ai fait.
188620	191840	J'ai pas mal d'expérience dans le podcast, mais j'ai pas celle-là, en tout cas.
192000	194320	Est-ce que t'avais fait des podcasts live ?
194320	195220	J'ai jamais fait.
195400	198840	Donc, c'est la quatrième de notre podcast live.
199060	199220	Oui.
199220	206940	Les deux dernières, on avait fait ce truc pour pas se casser le cul et faire des sujets, de vous faire faire les questions vous-même.
