start	end	text
0	4480	Bon, les gars, c'est bon, ça y est, c'est rayé, c'est le moment pub, ça y est, on a percé.
4740	6620	T'es enfin compris dans une salle de plus de 12 ?
6620	8900	Ferme-la. Non, j'ai trouvé un sponsor.
9340	11620	Mais qu'est-ce que c'est ? Une marque de bière, un shampoing ?
11620	14240	Non, bien vu, mais non, NordVPN, les gars.
14580	16880	Oh, NordVPN, le VPN le plus connu d'Internet !
16880	19960	Ah, voilà, je savais que Franjo, que tu serais parfait pour les pubs, tu es fait pour ça.
20280	23280	Mais Urbain, enfin ! À quoi ça peut bien servir, un VPN ?
23280	27960	Excellente question, Pierre. Un VPN permet de chiffrer toute son activité en ligne et donc de renforcer sa confidentialité,
27960	32480	et aussi de faire croire à son ordinateur qu'on n'est pas à l'endroit où on est en changeant d'adresse IP et donc d'emplacement virtuel.
32800	34680	Comme quand je dis à ma meuf que je travaille alors qu'en fait, je suis au bar.
34900	39020	Donc on peut contourner les géorestrictions et mater des films pas disponibles en France sur les catalogues de streaming.
39300	43460	Mais exactement, Franjo ! Et toi, Pierre, pourquoi utilises-tu le VPN ?
43460	45720	Ouais, moi, les pubs, je vous laisse faire, les gars. Vous le faites très bien sans moi.
45980	46940	Franchement, t'as déjà été pas mal.
47020	52640	Avec le code promo PODKASSOS, P-O-D-K-S-S-O, ouais, PODKASSOS, quoi, en passant directement par le lien en description,
52640	57240	vous avez 4 mois offerts pour un abonnement de 2 ans et vous pouvez résulier au bout de 30 jours si vous n'êtes pas satisfait.
57360	58360	Mais c'est super, ça !
58360	59380	Ah ouais, carrément !
59380	61300	Non, mais fais plus d'entrains, fais la voix de pub !
61300	63040	Ah oui, trop bien, la vie !
63040	63640	Voilà !
64300	65540	Bon, voilà, vous avez tous les renseignements.
65660	68740	Merci NordVPN de nous sponsoriser. Maintenant, on est des vrais gars d'Internet.
68880	70440	Allez, arrête ! Même dans les pubs, tu parles trop.
70600	72740	C'est vrai que je parlais un peu beaucoup, mais j'aime bien.
74640	77540	Et bonjour à tous et bienvenue sur PODKASSOS.
77780	78320	Ça va, c'est bien ?
78320	79020	Le problème, c'est que tu le stresses.
79020	80780	Tu m'as stressé du coup, je me dis mal.
81100	83160	Alors bien sûr, il n'est pas dans les meilleures conditions.
83240	85260	Voilà, bonjour à tous et bienvenue sur PODKASSOS.
85320	86100	Ça va, vous allez bien ?
86100	86660	Ah putain !
86660	90240	Et là, je n'avais pas vu, mais avec les deux vestes, là, il y a un côté, il est des chiens.
90900	92640	Il y a un côté, ouais, là, on a bien.
92760	93820	Le problème, c'est que...
93820	94660	Mec, tu es en train de boire...
94660	95580	Putain, tu bois une bière.
95620	97860	Mais attends, mais vous buvez du café, c'est hyper mauvais pour la santé.
97900	99280	Non, non, c'est très bon pour le cerveau.
99520	101800	C'est une bière ou c'est une sans alcool ?
101800	102300	Une vraie bière.
102420	102800	Je ne sais pas.
103100	104020	Non, c'est une vraie bière, c'est une corona.
104360	106600	Attends, je me sens mieux, je n'ai plus de problème dans ma vie, ça doit être une vraie.
109500	110760	Je ne l'ai pas fait à l'épisode.
110760	112300	Il est 10h30 !
112300	113060	Un mercredi !
113060	114040	Ouais, bah il fait ce qu'il veut.
114300	118000	Mais non, mais j'ai pris une cuite hier, du coup, si je ne la prends pas celle-là, je ne vais pas arriver à être bien.
118780	120800	Je ne l'ai pas fait à l'épisode précédent.
122800	125980	Bienvenue à tous ceux qui nous rejoignent, parce que toutes les semaines, quand même, des nouveaux auditeurs.
126140	127060	On va y arriver quand même.
127240	128040	Ah, il faut faire comme il fait.
128660	131480	Moscato, il fait ça dans sa version, il dit « Bonjour, vous êtes de plus en plus nombreux ».
131480	133900	Et c'est vrai, vous êtes de plus en plus nombreux, et ça, ça fait plaisir.
134440	134960	Ça, c'est vrai.
135300	136900	Et merci à ceux qui rattrapent tous les épisodes.
137000	137880	Merci, merci, merci.
138120	142280	Et puis, donc là, c'est Franjo, Pierre Thévenoux et Urbain qui parlent.
142280	143200	Et c'est important de le dire.
143700	145180	C'est bien de le dire, mais moi…
145180	148220	Parce qu'il y en a qui tombent dessus et disent « C'est qui qui parle ? »
148220	149060	C'est qui qui ?
149060	150960	Déjà, c'est quelqu'un qui ne sait pas parler français.
152680	153980	Mais c'est qui qui Franjo ?
153980	155280	C'est qui Franjo ?
155280	160340	C'est un mec qui n'a pas de culture et qui présente, enfin qui essaie de présenter un podcast.
160340	161760	Et tu vas-y, t'annonce.
162020	162100	Oui.
162340	164260	On fait la petite promo des gens qui nous accueillent quand même.
164420	164740	Merci.
164960	169400	Et puis, merci à ceux qui donnent du Tipeee et qui nous aident à toutes les semaines faire ce podcast.
169580	170580	Sans vous, on ne serait pas là.
170700	171560	Direct, ça parle d'oseille.
171860	172440	Direct, ouais.
172860	174940	Si vous voulez nous aider, il y a un Tipeee, on met le lien.
175160	175920	L'argent, tout ça.
176120	177720	Je vous le fais, je fais le petit remerciement.
177860	177980	Ouais.
