start	end	text
0	5000	...
5000	8000	Précédemment, dans la Grim Academy.
8000	16000	...
16000	21000	Le capitaine Pirate, Ulysses 51, nous mène vers une destination inconnu.
21000	24000	Je ne vais pas prendre le risque de vous dévoiler mon plan.
24000	29000	Non, d'obstain, vous allez participer à la plus grande découverte de tous les tard.
29000	32000	Les péripassis sont nombreuses.
32000	34000	Le bateau tângue !
34000	37000	La voie la craque aux ons nits !
37000	42000	Oh, le chphada ! Il avait un feu, sur le rame !
42000	46000	Ce sont des coûts de sang qui tombent du plafond.
46000	49000	Des créatures !
49000	51000	Ce drès se sur notre route.
51000	54000	Bah, il test que c'est que c'est monstre et aux huités.
54000	57000	Et l'absorbe mon pilet !
57000	59000	Toutefois !
59000	61000	Nous insortirons-nous encore une fois ?
61000	65000	Mais on se fait un mot frère, qui ne peut pas nous laisser dans l'expectative.
65000	68000	Vous faites trop durer le succès de sang.
68000	72000	Ça, il ne faut exprès pour compreine la version 1, à 12h90.
72000	73000	Quelle-dix ?
73000	75000	Non, non.
75000	80000	La Grim Academy 16 ans 7 est disponible dès aujourd'hui en entier et sans publicité,
80000	83000	au prix de 12h90, or taxe.
83000	87000	Pour la découverte avant tout le monde, cliquez sur le lien dans la description.
93000	96000	Stidio Fantasque est un label de podcast pour enfants.
96000	100000	Retrouvez toute nos sérieux dieux sur le site Fantasque.studio.
100000	105000	Il était une fois l'histoire de deux petits extraterrestres,
105000	107000	qui s'appelait Rodolfe et Galà.
107000	110000	Il parcourait l'univers à bord d'un vaisseau spatial,
110000	113000	à la recherche d'une planète ou agité.
113000	116000	Il fallait qu'elle ne soigne trop grande, ni trop petite.
116000	121000	Qu'il y ait des cailloux et pas de monstre, en vrai cas-stête.
121000	124000	Rodolfe, je vois une planète selon moi.
124000	126000	Je crois qu'il nous pourrieux, il jeter un aille.
126000	130000	Arbinate en dehors, dit-moi tout ce qu'il sait sur cette planète.
130000	132000	Il s'agit d'octmo.
132000	136000	Une planète de taille moyenne composée essentiellement de roche et de cailloux.
136000	140000	De cailloux y en paix, annoncer!
140000	142000	Arrouvez-vous à un autre moment?
142000	149000	Arrouvez sur la planète, Rodolfe est galade d'écouvrir des centaines de petits robots
149000	151000	qui s'activent dans tous les sens.
151000	154000	Qu'est-ce qu'il faut galà?
154000	156000	On dirait qu'il transporter des cailloux.
156000	158000	Ah, pourquoi faire?
158000	161000	C'est ce qu'ils allons découvrir, suivent-le.
162000	165000	Les deux petits extraterrestres suivient l'un des robots.
165000	168000	Il ramassait tous les cailloux qu'ils trouvaient sur son passage.
168000	172000	Et les déposins ont pied d'une immense montagne de cailloux.
172000	174000	Ooooooh!
174000	177000	Ce qui a mes faits en tant que cailloux!
177000	181000	Surtier alors de derrière la montagne, un extra robot,
181000	185000	un mélange entre un extraterrestre et un robot.
185000	188000	C'est impressionnant, ne se passe.
188000	190000	Ce sont des robots d'êtreilleurs.
190000	193000	Ils sont chargés de ramasser tous les cailloux qu'ils traînent.
193000	194000	Je m'appraisons.
194000	198000	Je m'appelle Racto Verso et je suis un chef des robots.
198000	203000	Ah, shanté, moi je m'appelle Galan et voici mon ami Rodolfe.
203000	205000	Vous êtes le bienvenu sur ma planète.
205000	206000	Merci beaucoup.
206000	208000	Rodolfe et Galà étaient heureux.
208000	211000	Ils se sont abriens sur cette planète.
211000	213000	Il y avait de la place.
213000	214000	Il y avait des cailloux.
214000	216000	Il n'y avait pas de gros monstre.
216000	218000	Racto Verso était gentil.
218000	222000	Le lendemain, Rodolfe serait vayat en pleine forme.
222000	227000	Oh, seulement mon idéal pour fabriquer une grande grande cailloux!
227000	231000	Il se m'y donc a empelé les cailloux qu'il trouvaient par terre,
231000	233000	quand il apercielait moins rectoverso.
233000	238000	Regarde, de verson, ta vieu ma grande dur!
238000	240000	Je n'arrête à faire de ta tour.
240000	243000	Boise-toi très gentil de ça!
243000	246000	Et pourquoi veux-tu que je suis gentil et de chous?
246000	248000	Ça meute un peu de détente de chous!
248000	251000	Tu préfères peut-être que je t'appelle Cropon Bouton Neu!
251000	255000	Rodolfe était tellement vexé qu'il en perdissait mou.
255000	258000	Et partit retrouvé Galà près de son vaisseau spatial.
258000	261000	Regarde, Rodolfe, recto Verso est trop gentil.
261000	264000	Il m'a donné un bidon d'huile pour réparer mon vaisseau.
264000	267000	Oh, c'est bien, c'est bien.
267000	271000	Et il a gentil en demandé à serre au beau d'une paramassée des cailloux à nuit,
271000	273000	pour que nous puissions dans mes recales.
274000	277000	Oh oui, c'est bien.
277000	280000	Tu sais, c'est qui ça va, Rodolfe?
280000	283000	Oh oui, c'est bien.
283000	286000	Galà trouva son ami un peu étrange,
286000	289000	mais elle mise cela sur le compte de la fatigue.
289000	293000	Après une bonne nuit de ce mai, tour reviendrait dans l'ordre.
293000	298000	Un peu plus tard, Rodolfe sentit son ventre Gaugui, il avait fin.
298000	302000	Il a trapa donc une étoile et au moment où il a la croquée,
302000	305000	recto Verso surgit devant lui.
305000	307000	Un petit croire, Rodolfe?
307000	310000	Rodolfe était méfiant et répondit.
310000	314000	Je juste t'as peu fait, je te souhaite en bon appétit.
314000	317000	Erecto Verso pour suvis son chemin.
317000	320000	Merci, Dr. Verso.
320000	323000	De quoi l'on remercit du espèce de tête de brocolis?
323000	325000	Oh, mais non, le tol rien.
325000	327000	De rien, après tout ce que je sais pour toi,
327000	330000	tu feras mieux de te rendre tient le gros plan de soe,
330000	332000	que de te renferer des trois.
332000	334000	Cette fois-ci, son été trop,
334000	337000	Rodolfe a la de ce pas retrouvé Gaugui.
337000	340000	On s'en va, au kit, au commun.
340000	343000	Où est-ce que tu as écrit du rouge?
343000	345000	Je suis periard.
345000	347000	Tu en dis que tu as dû se t'échapper?
347000	350000	Bien avoir avec le caillou, c'est recto Verso en problème.
350000	353000	Peu peu? Mais il est si gentil.
353000	357000	Avec toi peut-être, mais avec moi, il est très méchant.
357000	358000	C'est douze-er.
359000	360000	Tu ne crois pas?
360000	361000	Et pas, je te le montrer.
361000	363000	Qu'achete-t'en ailleurs t'obesse-t'en.
363000	365000	Et couvre-que la tesilloux étaient en ténants.
366000	369000	Galas est cachat et ne fit plus embarré.
369000	371000	Rodolfe construise une tour de caillou
371000	375000	et appelait à recto Verso en octant grand piège.
375000	377000	recto Verso?
377000	379000	recto Verso!
379000	382000	Qu'est-ce que tu penses de ma tour?
382000	385000	Elle est très belle, Rodolfe. Fait l'hégitation.
385000	388000	Comment ça, elle est très belle, t'es de plus de moi?
388000	393000	Oh non, je veux dire un aspect actuelaire, impressionnante.
393000	395000	Extraordinaire.
395000	398000	Rodolfe qui ne comprenait plus rien à se recto Verso
398000	400000	voulu le faire réagir.
400000	404000	Alors il prie un caillou et lui lance un plan de tête.
404000	407000	Oh, tu n'es pas facile, normal!
407000	411000	Galas qui avait tout vu arriva par derrière,
411000	413000	très en colère contre Rodolfe.
414000	417000	Fait-ci, Rodolfe. Tu n'as que c'est pas bon.
417000	420000	Et toi là, l'obergie surpote, mais le tote des affaires.
420000	422000	Mais je pauvres votre défense.
422000	426000	Tu n'as pas mis un faire, espèce de gros bulles de tout bien.
426000	430000	Ah, tu vois Galas qui l'entremais j'entends de la victoire de dir!
430000	434000	Un petit robon étoilleur qui passait par là avait tout entendu.
434000	438000	Aussi, il s'adresse à haute de petits extraterrestres
438000	440000	pour leur expliquer la situation.
440000	443000	Recto Verso Ack de Fasse.
443000	445000	Recto Ack Janty.
445000	448000	Alors que Verso Ack Méchant.
448000	451000	Recto Ack Jot de Bonne humeur.
451000	455000	Alors que Verso Ack Jot en train de reler.
455000	458000	Si vous ne voulez pas avoir dans une nuit,
458000	461000	il ne faut parler qu'à Recto.
461000	463000	Petite démonstration.
463000	466000	Bon, Jot Recto Verso.
466000	468000	Bonjour.
469000	471000	Bon, Jot Recto Verso.
471000	474000	Dégage-toi mon chemin espèce de ta de ferai.
474000	477000	Et voilà, démonstration terminée.
477000	484000	Recto Verso portait vraiment bien son nom.
484000	487000	Et bien qu'il ne lui en voulait pas du tout.
487000	490000	Il trouve plus simple de chercher une planète deserte.
490000	492000	Ou il ne serait que tous les deux.
492000	496000	C'est ainsi qu'il reprire le chemin des étoiles
496000	498000	à bord de leur vaisseau spatiale.
498000	502000	Dans l'espoir de trouver leur planète idéale.
502000	506000	La suite dans le prochain épisode.
520000	523000	C'était les aventures de Rodolf et Galan.
523000	529000	Une histoire écrite, racontée et mise en musique par ses silets et géraltes.
531000	534000	On vous dit à bientôt pour de nouvelles aventures.
