start	end	text
0	180	...
180	8000	Précédemment, dans la Grim Academy...
8000	12000	...
16600	17000	...
17000	18000	...
18000	19000	...
19000	20000	...
20000	21000	...
21000	22000	...
22000	23000	...
23000	24000	...
24000	25000	...
25000	26000	...
26000	28000	...
28000	50000	...
50000	51000	...
51000	53000	...
53000	56520	Elle absorbe mon pied !
56520	58000	J'étouffant !
58840	61380	Nous en sortirons-nous encore une fois ?
61380	65000	Mais enfin mon frère, tu ne peux pas nous laisser dans l'expectative !
65000	68000	Vous faites trop durer le suspense !
68000	72480	Ça, ils le font exprès pour qu'on prenne la version premium à 12,90€ !
72480	73700	Qu'elle dit ?
73700	75000	Ma maman !
75000	82780	La Grime Academy saison 7 est disponible dès aujourd'hui en entier et sans publicité au prix de 12,90€ hors taxes.
83000	86100	Pour la découvrir avant tout le monde, cliquez sur le lien dans la description.
113000	114860	Sinon, c'est la grosse grosse colère !
114860	117360	Marc Repair, pour le meilleur et pour le prix.
117560	121000	Modalité, magasin et drive participants sur www.e.leclerc.
121000	128000	FANTASQUE
128000	130880	Studio Fantasque est un label de podcast pour enfants.
131280	134340	Retrouvez toutes nos séries audio sur le site fantasque.studio
134340	140220	Rodolphe et Gala est le pirate de l'espace.
141260	146320	Il était une fois l'histoire de deux petits extraterrestres qui s'appelaient Rodolphe et Gala.
146320	152020	Installés sur la planète Alpha, ils possédaient un fabuleux trésor.
152840	154660	Leurs cailloux étaient en or.
155760	159060	Toute la journée, ils construisaient des tours spectaculaires.
159480	163900	Et quand venait la nuit, Rodolphe écoutait bien sagement les histoires de Gala.
165040	167820	Ainsi, il faisait toujours de beaux rêves.
168560	171940	Mais cette nuit-là, il fit un terrible cauchemar.
171940	178360	Oh non, oh non, oh non, oh non, oh non, oh non, oh non !
178360	180420	Rodolphe, qu'est-ce qui t'arrive ?
180420	182060	Il est à moi !
182060	183280	Rodolphe !
183280	187220	Réveille-toi, Rodolphe, tu fais un cauchemar !
187220	197680	Le lendemain matin, Rodolphe se réveilla de très mauvaise humeur.
198300	200340	Impossible d'oublier son affreux cauchemar.
200340	205020	Il était très inquiet et pour se rassurer, une idée lui vint.
206780	209340	Un, deux, trois...
210120	212040	Qu'est-ce que tu fais, Rodolphe ?
212040	213660	Chut, je compte mes cailloux.
214340	217760	Quatre, cinq, six...
217760	220640	Mais il y en a beaucoup trop. Fais-tu que je t'aide ?
220640	225260	Sept, huit, neuf, dix...
225260	229340	Ordinateur de bord, peux-tu me dire combien il y a de cailloux sur la planète ?
229340	232860	Il y a 827 935 cailloux.
233200	236840	Mais Gala, pourquoi tu m'as dit ? Je voulais les compter !
236840	240360	Tu ne sais compter que jusqu'à 30, Rodolphe. Tu n'aurais jamais réussi.
240800	243380	Ouais, mais je voulais faire tout seul !
243380	245240	Désolée, je voulais juste t'aider.
246020	247160	Personne ne peut m'aider.
248000	251800	Je ne comprends pas. À quoi cela te sert de compter tes cailloux ?
251800	253740	Je veux les protéger !
253740	256360	Les protéger ? Mais de quoi ?
256360	257480	Du voleur !
257480	258800	Un voleur !
258800	264880	Voyant Gala complètement perdu, Rodolphe se décida enfin à lui raconter son cauchemar.
265800	270720	Il avait rêvé qu'on lui volait tous ses cailloux et que son trésor était perdu à jamais.
271940	275040	Comprenant enfin le problème, Gala lui proposa.
275600	276260	J'ai une idée.
276260	282100	Si tu veux protéger tes cailloux, il ne faut pas les compter, mais les cacher. Ce serait plus malin.
282820	283260	Oh !
283260	287160	Gala se mit alors à bouger bizarrement.
287840	293440	Elle cligna des yeux, remua son nez et tout à coup, une antenne apparut au-dessus de sa tête.
294280	296260	Qu'est-ce que tu fais, Gala ?
296260	299200	J'active ma télécommande pour chercher une grotte.
299540	301820	Mais je ne veux pas jouer à casse-casse !
301820	307860	Ce n'est pas pour toi, Rodolphe, mais pour le trésor. Nous allons le cacher à l'intérieur et ton problème sera réglé.
307860	313420	Youpi ! Une grotte pour mes cailloux !
313420	320860	Gala survola la planète à toute vitesse et en quelques secondes, elle dénicha l'endroit idéal pour mettre les cailloux en or.
321980	327100	C'était une grotte sombre et profonde dont l'entrée était cachée par de grands feuillages.
327940	329040	Elle appela Rodolphe.
329480	334580	C'est bon, Rodolphe, j'ai trouvé une grotte sombre et profonde. Tu peux aller mettre tes cailloux dedans.
