start	end	text
0	2700	On a beau être dans les années 60, je trouve ça bizarre.
2900	5920	C'est vrai qu'il n'y a pas grand chose qui remplace une bonne branlette des vieilles baby-sitons.
6340	7800	Il lui met le cul sur la tarte.
8440	11060	À un moment, ce pénis, il n'est pas à toi, il faut me laisser tranquille.
11900	15000	C'est dur de s'engueuler avec un mec parce que tu n'as pas réussi à baiser sa femme.
15840	21000	Si tu le mates avec papa-maman, il y a des chances que très vite tu puisses dire « quelqu'un revue des chips ».
27660	29220	Oh là là, quel générique.
29220	29960	C'est beau.
30180	33540	La première fois qu'on l'a enregistrait, on n'avait pas encore le générique, mais maintenant on le connaît.
34560	35760	Du coup, ça fait un peu différent.
35960	39380	C'est la première fois où tu mets des chaussures et la première fois où tu achètes des chaussures.
39660	41340	Tu trouves ça beau, mais quand tu es dedans, c'est encore mieux.
41960	44440	C'est une analogie très spécifique.
44900	47060	Oui, j'adore le cuir, donc c'est mon problème.
48520	50040	Sans douter.
50440	52960	Bienvenue à l'épisode 2 de Fucked Up Movies.
53380	54440	Ouais, super.
55520	56500	C'est cool, je suis content.
56500	57720	Moi aussi, je suis content.
57820	60120	Il arrive un peu tard et encore, là on l'enregistre.
60320	61740	Avant qu'il sorte, on ne sait même pas.
62280	63720	On va essayer de faire…
63720	66080	Ça va arriver du coup un mois et demi après la sortie du premier.
66200	67400	On aurait dû faire un mois.
67980	69480	Mais on a eu tous les deux…
69480	70900	Déjà, on n'est tous les deux pas au même endroit.
71000	71820	On a tous les deux déménagé.
72000	72640	Donc bravo à nous.
72780	74720	Bravo aux déménagers bretons.
75200	77020	Le capitalisme, parfois, ça a du bon.
77020	83300	Écoute, on est là pour parler du film de Marco Ferreri de 1973, La Grande Bouffe.
84200	84560	Exactement.
84680	87820	Donc tu disais qu'on avait trois semaines de retard, mais on a presque 38 ans de retard
87820	89040	par rapport à la sortie du film.
89300	92400	En même temps avec le Covid, du coup, on est récurrent par rapport aux dernières sorties ciné.
92520	96600	Mais franchement, moi, je ne pense pas qu'avec Fucked Up Movies, on fasse beaucoup de films récents.
96600	102880	Parce qu'en tout cas, il y a beaucoup plus de films bizarres, je pense, qui sortent dans le circuit bis.
103080	105180	Parce que plus de films sont produits pour peu de budget.
105600	107340	Merci les appareils téléphoniques.
107780	115300	Bravo à Apple et Samsung de donner à tous ces abrutis de jeunes l'occasion de faire du cinéma.
116260	119960	Mais du coup, je trouve qu'il y a quand même dans les grosses sorties mainstream,
120660	125340	à cause peut-être de la télé ou des gens qui sont devenus de Twitter,
125340	129820	je trouve que c'est très rare les gros films récents qui disent
129820	134220	« Ah, dis donc, on ne va pas y aller avec ça, Daronne, c'est vraiment chelou ce film. »
134220	136700	Non, non, puis c'est aussi un truc d'époque, je pense aussi,
136980	140580	sans passer pour la nostalgie du « c'était mieux avant, loin de là »,
